Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:00:00Z,"COP",2022-03-16T14:30:00Z,Buy,74.899949082,80.73854962,1,5.84,2,-0.38,11.12,5.28,1,"	1,6" 
2022-03-01T15:00:00Z,"XOM",2022-03-16T14:30:00Z,Buy,68.324678411,67.322594746,1,-1,2,-1,8.16,9.16,0,"	2,4" 
2022-03-01T15:00:00Z,"RTX",2022-03-16T14:30:00Z,Buy,93.99973869,89.350092414,1,-4.65,2,-7.18,0.03,7.21,0,"	3,5" 
2022-03-16T14:30:00Z,"CVX",2022-07-01T14:00:00Z,Buy,134.79849706,124.29992793,1,-10.5,2,-12.51,20.74,33.24,0,"	7,18" 
2022-03-16T14:30:00Z,"ABBV",2022-08-01T14:00:00Z,Buy,134.73378684,126.310232368,1,-8.42,2,-14.68,16.52,31.2,0,"	8,23" 
2022-04-01T14:00:00Z,"NVDA",2022-04-27T14:30:00Z,Buy,27.2369288576,18.7542116608,3,-25.45,2,-25.45,0.22,25.67,0,"	9,11" 
2022-04-01T14:00:00Z,"AVGO",2022-04-27T14:30:00Z,Buy,58.7229996864,52.2312768936,1,-6.49,2,-6.49,0.48,6.97,0,"	10,12" 
2022-05-02T14:00:00Z,"XOM",2022-05-04T14:30:00Z,Buy,74.197760065,76.838032678,1,2.64,2,0,2.64,0,1,"	13,14" 
2022-05-02T14:00:00Z,"XOM",2022-07-01T14:00:00Z,Buy,74.197760065,75.477170646,1,1.28,1,-0.58,17.86,17.06,1,"	13,17" 
2022-05-04T14:30:00Z,"COP",2022-11-01T14:00:00Z,Buy,84.285471244,112.331260944,1,28.05,2,-13.9,29.01,34.63,1,"	15,28" 
2022-06-01T14:00:00Z,"PFE",2022-07-01T14:00:00Z,Buy,43.211839808,42.70748475,3,-1.51,2,-16.16,2.03,18.18,0,"	16,19" 
2022-07-01T14:00:00Z,"MRK",2022-07-06T14:30:00Z,Buy,82.157257665,83.317442256,1,1.16,2,0,1.16,0,1,"	20,21" 
2022-08-01T14:00:00Z,"KO",2022-09-01T14:00:00Z,Buy,57.799581003,55.583795289,1,-2.22,2,-2.22,0.95,3.16,0,"	24,25" 
2022-10-03T14:00:00Z,"MRK",2023-02-01T15:00:00Z,Buy,78.123298911,98.025072732,1,19.9,2,0,26.67,8.59,1,"	26,35" 
2022-10-05T14:30:00Z,"XOM",2022-12-01T15:00:00Z,Buy,84.672432086,99.752971428,1,15.08,2,0,17.65,4.54,1,"	27,29" 
2022-12-01T15:00:00Z,"MS",2022-12-28T15:30:00Z,Buy,83.60704656,76.4271207,1,-7.18,2,-7.18,0,7.18,0,"	30,31" 
2022-12-28T15:30:00Z,"XOM",2023-01-04T15:30:00Z,Buy,98.731518204,95.398355052,1,-3.33,2,-3.33,0.12,3.45,0,"	32,33" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,2,-6.35,2,-7.34,2.61,9.95,0,"	38,39" 
2023-02-01T15:00:00Z,"MS",2023-03-15T14:30:00Z,Buy,88.16754846,81.47322828,1,-6.69,2,-8.44,3.17,11.61,0,"	36,42" 
2023-02-01T15:00:00Z,"GE",2023-05-01T14:00:00Z,Buy,63.256413137421,77.86146069332,1,14.61,2,0,15.53,3.1,1,"	37,51" 
2023-03-01T15:00:00Z,"UBER",2023-03-15T14:30:00Z,Buy,33.26,32.36,2,-1.8,2,-4.88,2.62,7.5,0,"	41,43" 
2023-03-01T15:00:00Z,"NVDA",2023-03-15T14:30:00Z,Buy,23.1919667968,24.0421734735,3,2.55,2,-1.55,2.9,3.64,1,"	40,44" 
2023-03-15T14:30:00Z,"GE",2023-06-01T14:00:00Z,Buy,71.725061851167,79.875458262026,1,8.15,2,-8.47,10.53,3.1,1,"	45,52" 
2023-03-15T14:30:00Z,"AVGO",2023-07-03T14:00:00Z,Buy,60.470291175,83.9780321778,1,23.51,2,-1.71,24.87,5.79,1,"	46,54" 
2023-03-15T14:30:00Z,"AVGO",2023-08-01T14:00:00Z,Buy,60.470291175,87.000517179,1,26.53,1,-1.71,28.4,5.79,1,"	46,55" 
2023-04-03T14:00:00Z,"NVDA",2023-05-01T14:00:00Z,Buy,27.7529590065,27.7249832405,5,-0.14,2,-7.67,0.94,8.61,0,"	47,49" 
2023-04-03T14:00:00Z,"ORCL",2023-05-01T14:00:00Z,Buy,89.61270563,91.760602893,1,2.15,2,0,3.82,2.66,1,"	48,50" 
2023-06-01T14:00:00Z,"NVDA",2023-09-06T14:30:00Z,Buy,37.801254673,48.5110015692,2,21.42,2,-0.71,23.03,13.27,1,"	53,65" 
2023-08-01T14:00:00Z,"UBER",2023-08-23T14:30:00Z,Buy,49.46,44.35,2,-10.22,2,-11.62,0,11.62,0,"	56,59" 
2023-08-01T14:00:00Z,"PLTR",2023-08-23T14:30:00Z,Buy,19.84,14.67,5,-25.85,2,-28.45,0.75,29.2,0,"	57,60" 
2023-08-01T14:00:00Z,"SOFI",2023-08-23T14:30:00Z,Buy,11.45,8.15,9,-29.7,2,-30.06,0,30.06,0,"	58,61" 
2023-08-23T14:30:00Z,"NVDA",2023-09-06T14:30:00Z,Buy,45.6331964172,48.5110015692,1,2.88,1,-8.19,3.68,1.14,1,"	62,65" 
2023-08-23T14:30:00Z,"GOOGL",2023-09-06T14:30:00Z,Buy,128.11202908,134.75186077,1,6.64,2,0,7.04,2.57,1,"	63,66" 
2023-08-23T14:30:00Z,"AMZN",2023-09-06T14:30:00Z,Buy,134.25,137.27,1,3.02,2,-2.41,3.87,3.68,1,"	64,67" 
2023-09-06T14:30:00Z,"UBER",2023-12-01T15:00:00Z,Buy,46.55,56.38,2,19.66,2,-11.86,19.7,16.64,1,"	68,80" 
