Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:00:00Z,"BAC",2018-03-28T14:30:00Z,Buy,26.367888,24.415649568,3,-5.86,2,-6.73,2.38,9.11,0,"	2,11" 
2018-02-01T15:00:00Z,"CSCO",2018-03-28T14:30:00Z,Buy,32.775072462,33.674532804,2,1.8,2,-4.37,6.33,4.94,1,"	6,13" 
2018-02-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,13,-6.47,2,-10.32,1.55,10.32,0,"	3,16" 
2018-02-01T15:00:00Z,"AMZN",2018-04-02T14:00:00Z,Buy,72.374310603,72.197227018,1,-0.18,2,-5.55,7.36,8.33,0,"	5,18" 
2018-02-01T15:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,27.03,28.367,3,4.01,2,-6.25,18.34,15.34,1,"	1,21" 
2018-02-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.91,47.34,1,0.43,2,-7.41,10.78,12.94,1,"	4,24" 
2018-03-01T15:00:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,86.450445078,82.486097058,1,-3.96,2,-6.08,2.77,8.84,0,"	8,12" 
2018-03-01T15:00:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,82.203948684,65.299018548,1,-16.9,2,-16.9,2.78,19.69,0,"	9,14" 
2018-03-01T15:00:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.86046385,86.967241339,1,-5.89,2,-6.83,2.04,8.87,0,"	10,15" 
2018-03-01T15:00:00Z,"INTC",2018-03-28T14:30:00Z,Buy,41.66222463,43.26819393,1,1.61,2,-1.23,2.7,2.39,1,"	7,17" 
2018-03-01T15:00:00Z,"INTC",2018-07-02T14:00:00Z,Buy,41.66222463,42.259728663,2,1.2,1,-2.45,13.73,14.15,1,"	7,36" 
2018-04-02T14:00:00Z,"COP",2018-04-04T14:30:00Z,Buy,45.02606897,45.580352787,4,2.22,2,-3.67,2.22,3.67,1,"	20,22" 
2018-04-02T14:00:00Z,"ADBE",2018-04-04T14:30:00Z,Buy,216.08,215.93,1,-0.15,2,-3.8,0,3.8,0,"	19,23" 
2018-04-02T14:00:00Z,"COP",2018-11-01T14:00:00Z,Buy,45.02606897,53.73763113,1,8.71,1,-0.92,16.13,10.66,1,"	20,73" 
2018-05-01T14:00:00Z,"NFLX",2018-05-02T14:30:00Z,Buy,31.246,31.33,2,0.17,2,0,0.17,0,1,"	26,28" 
2018-05-01T14:00:00Z,"CSCO",2018-05-02T14:30:00Z,Buy,35.225745899,35.655231173,2,0.86,2,0,0.86,0,1,"	27,29" 
2018-05-01T14:00:00Z,"CSCO",2018-06-01T14:00:00Z,Buy,35.225745899,33.969103801,2,-2.51,1,-2.51,3.2,5.71,0,"	27,30" 
2018-05-01T14:00:00Z,"NFLX",2018-08-01T14:00:00Z,Buy,31.246,33.745,2,5,1,-0.15,21.3,16.8,1,"	26,42" 
2018-05-01T14:00:00Z,"AMZN",2018-10-17T14:30:00Z,Buy,78.122792951,90.784518692,1,12.66,2,0,23.61,15.97,1,"	25,65" 
2018-06-01T14:00:00Z,"AAPL",2018-07-02T14:00:00Z,Buy,44.0145095415,43.5999671495,2,-0.83,2,-2.21,3.35,5.56,0,"	35,37" 
2018-06-01T14:00:00Z,"NVDA",2018-07-02T14:00:00Z,Buy,6.242411784375,5.86394128125,14,-5.3,2,-5.71,5.1,10.81,0,"	34,38" 
2018-06-01T14:00:00Z,"SQ",2018-08-01T14:00:00Z,Buy,58.25,64.65,1,6.4,2,0,14.28,7.88,1,"	31,44" 
2018-06-01T14:00:00Z,"NKE",2018-08-01T14:00:00Z,Buy,64.57238224,69.361198899,1,4.79,2,-0.23,7.32,4.05,1,"	33,45" 
2018-06-01T14:00:00Z,"MSFT",2018-10-17T14:30:00Z,Buy,91.519652616,103.1745777,1,11.65,2,-1.2,15.94,9.02,1,"	32,64" 
2018-07-02T14:00:00Z,"CRM",2018-08-01T14:00:00Z,Buy,134.76259984,135.464076716,1,0.7,2,0,12.32,11.62,1,"	39,43" 
2018-07-02T14:00:00Z,"V",2018-09-04T14:00:00Z,Buy,125.468467785,139.356481948,1,13.89,2,-0.95,14.04,5.79,1,"	41,55" 
2018-07-02T14:00:00Z,"AMD",2018-10-17T14:30:00Z,Buy,14.99,28.18,10,131.9,2,0,177.3,77.2,1,"	40,66" 
2018-08-01T14:00:00Z,"ABT",2018-09-04T14:00:00Z,Buy,57.460569608,58.600312368,1,1.14,2,-1.85,1.39,1.85,1,"	47,51" 
2018-08-01T14:00:00Z,"GOOGL",2018-09-04T14:00:00Z,Buy,60.8579993386,61.085122134,1,0.23,2,-0.56,1.86,2.41,1,"	49,52" 
2018-08-01T14:00:00Z,"PFE",2018-09-04T14:00:00Z,Buy,26.618801093926,27.900666778115,3,3.85,2,0,5.64,1.81,1,"	48,53" 
2018-08-01T14:00:00Z,"MRK",2018-09-04T14:00:00Z,Buy,49.905853790494,51.966639008501,2,4.12,2,-0.98,6.52,2.47,1,"	46,54" 
2018-08-01T14:00:00Z,"AAPL",2018-11-01T14:00:00Z,Buy,44.8200407805,51.73007789,2,13.82,2,0,20.06,9.37,1,"	50,75" 
2018-09-04T14:00:00Z,"NFLX",2018-10-01T14:00:00Z,Buy,36.768,37.413,4,2.58,2,-10.6,5.21,10.6,1,"	57,60" 
2018-09-04T14:00:00Z,"SQ",2018-10-17T14:30:00Z,Buy,88.63,78.76,1,-9.87,2,-19.59,10.37,29.96,0,"	56,68" 
2018-09-04T14:00:00Z,"NKE",2018-10-17T14:30:00Z,Buy,74.296489036,70.047359096,2,-8.5,2,-13.85,5.77,19.62,0,"	58,69" 
2018-09-04T14:00:00Z,"LLY",2018-11-07T15:30:00Z,Buy,95.47833495,95.7042657,1,0.23,2,-0.93,8.87,8.65,1,"	59,79" 
2018-10-01T14:00:00Z,"CRM",2018-10-17T14:30:00Z,Buy,157.120940268,145.670071264,1,-11.45,2,-20.96,0.82,21.78,0,"	61,67" 
2018-10-17T14:30:00Z,"COP",2018-11-01T14:00:00Z,Buy,56.73586806,53.73763113,1,-3,1,-12.63,4.42,6.23,0,"	71,73" 
2018-10-17T14:30:00Z,"PFE",2018-11-01T14:00:00Z,Buy,29.513810605325,28.935767400575,4,-2.31,2,-3.82,1.77,5.59,0,"	72,74" 
2018-10-17T14:30:00Z,"MRK",2018-12-12T15:30:00Z,Buy,54.327399038343,58.820355796779,1,4.49,2,-0.96,6.19,2,1,"	70,90" 
