Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:00:00Z,COP,74.899949082,1,Market,Filled,74.899949082,"" 
2022-02-01T15:00:00Z,WFC,48.3641018,2,Market,Filled,96.7282036,"" 
2022-02-01T15:00:00Z,BAC,41.443820046,2,Market,Filled,82.887640092,"" 
2022-02-01T15:00:00Z,XOM,65.4123657,1,Market,Filled,65.4123657,"" 
2022-02-01T15:00:00Z,KO,54.144630114,1,Market,Filled,54.144630114,"" 
2022-03-01T15:00:00Z,CVX,122.6215008,1,Market,Filled,122.6215008,"" 
2022-03-01T15:00:00Z,RTX,93.99973869,1,Market,Filled,93.99973869,"" 
2022-03-01T15:00:00Z,NVDA,24.3369981275,5,Market,Filled,121.6849906375,"" 
2022-03-01T15:00:00Z,AVGO,54.4157890752,2,Market,Filled,108.8315781504,"" 
2022-03-16T14:30:00Z,NVDA,22.9316853568,-5,Market,Filled,-114.658426784,"Liquidated" 
2022-03-16T14:30:00Z,BAC,37.4583399,-2,Market,Filled,-74.9166798,"Liquidated" 
2022-03-16T14:30:00Z,AVGO,54.9085917408,-2,Market,Filled,-109.8171834816,"Liquidated" 
2022-03-16T14:30:00Z,RTX,89.350092414,-1,Market,Filled,-89.350092414,"Liquidated" 
2022-03-16T14:30:00Z,WFC,45.258224676,-2,Market,Filled,-90.516449352,"Liquidated" 
2022-03-16T14:30:00Z,KO,53.316067376,-1,Market,Filled,-53.316067376,"Liquidated" 
2022-03-16T14:30:00Z,CVX,134.79849706,-1,Market,Filled,-134.79849706,"" 
2022-04-01T14:00:00Z,AVGO,58.7229996864,2,Market,Filled,117.4459993728,"" 
2022-04-01T14:00:00Z,NVDA,27.2369288576,4,Market,Filled,108.9477154304,"" 
2022-04-01T14:00:00Z,KO,55.4444176,2,Market,Filled,110.8888352,"" 
2022-04-01T14:00:00Z,MRK,73.19411376,1,Market,Filled,73.19411376,"" 
2022-04-27T14:30:00Z,NVDA,18.7542116608,-4,Market,Filled,-75.0168466432,"Liquidated" 
2022-04-27T14:30:00Z,AVGO,52.2312768936,-2,Market,Filled,-104.4625537872,"Liquidated" 
2022-04-27T14:30:00Z,MRK,75.361837056,-1,Market,Filled,-75.361837056,"Liquidated" 
2022-04-27T14:30:00Z,COP,77.801973456,-1,Market,Filled,-77.801973456,"Liquidated" 
2022-04-27T14:30:00Z,XOM,71.71433533,-1,Market,Filled,-71.71433533,"Liquidated" 
2022-04-27T14:30:00Z,KO,58.17192524,-1,Market,Filled,-58.17192524,"" 
2022-05-02T14:00:00Z,XOM,74.197760065,1,Market,Filled,74.197760065,"" 
2022-05-02T14:00:00Z,MRK,79.135281312,1,Market,Filled,79.135281312,"" 
2022-05-04T14:30:00Z,KO,56.410223584,-1,Market,Filled,-56.410223584,"Liquidated" 
2022-05-04T14:30:00Z,COP,84.285471244,1,Market,Filled,84.285471244,"" 
2022-06-01T14:00:00Z,MRK,82.195071808,-1,Market,Filled,-82.195071808,"Liquidated" 
2022-06-01T14:00:00Z,PFE,43.211839808,3,Market,Filled,129.635519424,"" 
2022-06-01T14:30:00Z,PFE,43.211839808,-1,Market,Filled,-43.211839808,"" 
2022-06-01T14:30:00Z,COP,96.157261032,-1,Market,Filled,-96.157261032,"" 
2022-07-01T14:00:00Z,PFE,42.70748475,-2,Market,Filled,-85.4149695,"Liquidated" 
2022-07-01T14:00:00Z,XOM,75.477170646,-1,Market,Filled,-75.477170646,"Liquidated" 
2022-07-01T14:00:00Z,MRK,82.157257665,1,Market,Filled,82.157257665,"" 
2022-07-01T14:00:00Z,ABBV,133.769424632,1,Market,Filled,133.769424632,"" 
2022-07-01T14:00:00Z,T,16.988536118,8,Market,Filled,135.908288944,"" 
2022-07-06T14:30:00Z,ABBV,134.187835448,-1,Market,Filled,-134.187835448,"" 
2022-07-06T14:30:00Z,T,17.150485938,-3,Market,Filled,-51.451457814,"" 
2022-07-06T14:30:00Z,KO,56.997934952,1,Market,Filled,56.997934952,"" 
2022-08-01T14:00:00Z,T,15.417471213,-5,Market,Filled,-77.087356065,"Liquidated" 
2022-08-01T14:00:00Z,MRK,80.385502902,-1,Market,Filled,-80.385502902,"Liquidated" 
2022-08-01T14:00:00Z,XOM,85.362972213,1,Market,Filled,85.362972213,"" 
2022-08-01T14:00:00Z,WFC,39.849218871,2,Market,Filled,79.698437742,"" 
2022-08-01T14:00:00Z,MS,75.034475161,1,Market,Filled,75.034475161,"" 
2022-09-01T14:00:00Z,KO,55.583795289,-1,Market,Filled,-55.583795289,"Liquidated" 
2022-09-01T14:00:00Z,COP,94.818209585,1,Market,Filled,94.818209585,"" 
2022-09-01T14:00:00Z,ORCL,70.94234546,1,Market,Filled,70.94234546,"" 
