Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,NFLX,27.03,5,Market,Filled,135.15,"" 
2018-02-01T15:00:00Z,ABBV,79.641950456,1,Market,Filled,79.641950456,"" 
2018-02-01T15:00:00Z,JPM,92.997141589,1,Market,Filled,92.997141589,"" 
2018-02-01T15:00:00Z,PYPL,84.86626824,1,Market,Filled,84.86626824,"" 
2018-02-01T15:00:00Z,BAC,26.367888,4,Market,Filled,105.471552,"" 
2018-03-01T15:00:00Z,PYPL,78.98769762,-1,Market,Filled,-78.98769762,"Liquidated" 
2018-03-01T15:00:00Z,CSCO,35.331433434,2,Market,Filled,70.662866868,"" 
2018-03-28T14:30:00Z,JPM,86.967241339,-1,Market,Filled,-86.967241339,"Liquidated" 
2018-03-28T14:30:00Z,CSCO,33.674532804,-2,Market,Filled,-67.349065608,"Liquidated" 
2018-03-28T14:30:00Z,BAC,24.415649568,-4,Market,Filled,-97.662598272,"Liquidated" 
2018-03-28T14:30:00Z,ABBV,65.299018548,-1,Market,Filled,-65.299018548,"Liquidated" 
2018-03-28T14:30:00Z,INTC,43.26819393,2,Market,Filled,86.53638786,"" 
2018-03-28T14:30:00Z,SQ,51.06,1,Market,Filled,51.06,"" 
2018-03-28T14:30:00Z,NFLX,30.069,-2,Market,Filled,-60.138,"" 
2018-03-28T14:30:00Z,AMZN,74.676896035,1,Market,Filled,74.676896035,"" 
2018-04-02T14:00:00Z,SQ,49.19,1,Market,Filled,49.19,"" 
2018-04-02T14:00:00Z,INTC,44.02046376,1,Market,Filled,44.02046376,"" 
2018-04-02T14:00:00Z,COP,45.02606897,3,Market,Filled,135.07820691,"" 
2018-04-04T14:30:00Z,NFLX,28.367,-3,Market,Filled,-85.101,"Liquidated" 
2018-04-04T14:30:00Z,INTC,42.05103825,-1,Market,Filled,-42.05103825,"" 
2018-04-04T14:30:00Z,COP,45.580352787,-2,Market,Filled,-91.160705574,"" 
2018-04-04T14:30:00Z,SQ,47.58,-1,Market,Filled,-47.58,"" 
2018-05-01T14:00:00Z,SQ,47.34,-1,Market,Filled,-47.34,"Liquidated" 
2018-05-01T14:00:00Z,NFLX,31.246,4,Market,Filled,124.984,"" 
2018-05-01T14:00:00Z,CSCO,35.225745899,3,Market,Filled,105.677237697,"" 
2018-05-02T14:30:00Z,CSCO,35.655231173,-1,Market,Filled,-35.655231173,"" 
2018-05-02T14:30:00Z,NFLX,31.33,-2,Market,Filled,-62.66,"" 
2018-06-01T14:00:00Z,CSCO,33.969103801,-2,Market,Filled,-67.938207602,"Liquidated" 
2018-06-01T14:00:00Z,SQ,58.25,2,Market,Filled,116.5,"" 
2018-06-01T14:00:00Z,NVDA,6.242411784375,8,Market,Filled,49.939294275,"" 
2018-07-02T14:00:00Z,INTC,42.259728663,-2,Market,Filled,-84.519457326,"Liquidated" 
2018-07-02T14:00:00Z,NVDA,5.86394128125,-8,Market,Filled,-46.91153025,"Liquidated" 
2018-07-02T14:00:00Z,NKE,71.895394308,1,Market,Filled,71.895394308,"" 
2018-07-02T14:00:00Z,AMD,14.99,3,Market,Filled,44.97,"" 
2018-08-01T14:00:00Z,SQ,64.65,-2,Market,Filled,-129.3,"Liquidated" 
2018-08-01T14:00:00Z,NFLX,33.745,-2,Market,Filled,-67.49,"Liquidated" 
2018-08-01T14:00:00Z,NKE,69.361198899,-1,Market,Filled,-69.361198899,"Liquidated" 
2018-08-01T14:00:00Z,MSFT,98.223439392,1,Market,Filled,98.223439392,"" 
2018-08-01T14:00:00Z,MRK,49.905853790494,2,Market,Filled,99.811707580987,"" 
2018-08-01T14:00:00Z,ABT,57.460569608,1,Market,Filled,57.460569608,"" 
2018-09-04T14:00:00Z,MRK,51.966639008501,-2,Market,Filled,-103.933278017,"Liquidated" 
2018-09-04T14:00:00Z,ABT,58.600312368,-1,Market,Filled,-58.600312368,"Liquidated" 
2018-09-04T14:00:00Z,SQ,88.63,1,Market,Filled,88.63,"" 
2018-09-04T14:00:00Z,NFLX,36.768,2,Market,Filled,73.536,"" 
2018-10-01T14:00:00Z,NFLX,37.413,-2,Market,Filled,-74.826,"Liquidated" 
2018-10-01T14:00:00Z,PFE,29.621353527139,2,Market,Filled,59.242707054278,"" 
2018-10-17T14:30:00Z,MSFT,103.1745777,-1,Market,Filled,-103.1745777,"Liquidated" 
2018-10-17T14:30:00Z,SQ,78.76,-1,Market,Filled,-78.76,"Liquidated" 
2018-10-17T14:30:00Z,AMZN,90.784518692,-1,Market,Filled,-90.784518692,"Liquidated" 
2018-10-17T14:30:00Z,AMD,28.18,-3,Market,Filled,-84.54,"Liquidated" 
