Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:00:00Z,"PYPL",2018-03-01T15:00:00Z,Buy,84.86626824,78.98769762,1,-5.88,2,-12.93,0,12.93,0,"	4,6" 
2018-02-01T15:00:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,1,-6.03,2,-6.96,2.49,9.45,0,"	3,8" 
2018-02-01T15:00:00Z,"BAC",2018-03-28T14:30:00Z,Buy,26.367888,24.415649568,4,-7.81,2,-8.97,3.17,12.14,0,"	5,10" 
2018-02-01T15:00:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,79.641950456,65.299018548,1,-14.34,2,-14.34,6.61,20.96,0,"	2,11" 
2018-02-01T15:00:00Z,"NFLX",2018-03-28T14:30:00Z,Buy,27.03,30.069,2,6.08,2,-4.17,12.23,6.15,1,"	1,14" 
2018-02-01T15:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,27.03,28.367,3,4.01,1,-6.25,18.34,15.34,1,"	1,19" 
2018-03-01T15:00:00Z,"CSCO",2018-03-28T14:30:00Z,Buy,35.331433434,33.674532804,2,-3.31,2,-3.72,1.22,4.94,0,"	7,9" 
2018-03-28T14:30:00Z,"INTC",2018-04-04T14:30:00Z,Buy,43.26819393,42.05103825,1,-1.22,2,-1.92,0.75,2.67,0,"	12,20" 
2018-03-28T14:30:00Z,"SQ",2018-04-04T14:30:00Z,Buy,51.06,47.58,1,-3.48,2,-3.67,0,3.67,0,"	13,22" 
2018-03-28T14:30:00Z,"INTC",2018-07-02T14:00:00Z,Buy,43.26819393,42.259728663,1,-1.01,1,-2.03,5.26,7.07,0,"	12,31" 
2018-03-28T14:30:00Z,"AMZN",2018-10-17T14:30:00Z,Buy,74.676896035,90.784518692,1,16.11,2,-6.24,27.06,15.97,1,"	15,49" 
2018-04-02T14:00:00Z,"COP",2018-04-04T14:30:00Z,Buy,45.02606897,45.580352787,2,1.11,2,-1.84,1.11,1.84,1,"	18,21" 
2018-04-02T14:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,49.19,47.34,1,-1.85,2,-4.44,2.27,6.71,0,"	16,23" 
2018-04-02T14:00:00Z,"INTC",2018-07-02T14:00:00Z,Buy,44.02046376,42.259728663,1,-1.76,1,-2.78,4.5,7.07,0,"	17,31" 
2018-04-02T14:00:00Z,"COP",2018-11-01T14:00:00Z,Buy,45.02606897,53.73763113,1,8.71,1,-0.92,16.13,10.66,1,"	18,54" 
2018-05-01T14:00:00Z,"CSCO",2018-05-02T14:30:00Z,Buy,35.225745899,35.655231173,1,0.43,2,0,0.43,0,1,"	25,26" 
2018-05-01T14:00:00Z,"NFLX",2018-05-02T14:30:00Z,Buy,31.246,31.33,2,0.17,2,0,0.17,0,1,"	24,27" 
2018-05-01T14:00:00Z,"CSCO",2018-06-01T14:00:00Z,Buy,35.225745899,33.969103801,2,-2.51,1,-2.51,3.2,5.71,0,"	25,28" 
2018-05-01T14:00:00Z,"NFLX",2018-08-01T14:00:00Z,Buy,31.246,33.745,2,5,1,-0.15,21.3,16.8,1,"	24,36" 
2018-06-01T14:00:00Z,"NVDA",2018-07-02T14:00:00Z,Buy,6.242411784375,5.86394128125,8,-3.03,2,-3.26,2.91,6.18,0,"	30,32" 
2018-06-01T14:00:00Z,"SQ",2018-08-01T14:00:00Z,Buy,58.25,64.65,2,12.8,2,0,28.56,15.76,1,"	29,35" 
2018-07-02T14:00:00Z,"NKE",2018-08-01T14:00:00Z,Buy,71.895394308,69.361198899,1,-2.53,2,-3.78,0,3.78,0,"	33,37" 
2018-07-02T14:00:00Z,"AMD",2018-10-17T14:30:00Z,Buy,14.99,28.18,3,39.57,2,0,53.19,23.16,1,"	34,50" 
2018-08-01T14:00:00Z,"MRK",2018-09-04T14:00:00Z,Buy,49.905853790494,51.966639008501,2,4.12,2,-0.98,6.52,2.47,1,"	39,41" 
2018-08-01T14:00:00Z,"ABT",2018-09-04T14:00:00Z,Buy,57.460569608,58.600312368,1,1.14,2,-1.85,1.39,1.85,1,"	40,42" 
2018-08-01T14:00:00Z,"MSFT",2018-10-17T14:30:00Z,Buy,98.223439392,103.1745777,1,4.95,2,0,9.24,9.02,1,"	38,47" 
2018-09-04T14:00:00Z,"NFLX",2018-10-01T14:00:00Z,Buy,36.768,37.413,2,1.29,2,-5.3,2.61,5.3,1,"	44,45" 
2018-09-04T14:00:00Z,"SQ",2018-10-17T14:30:00Z,Buy,88.63,78.76,1,-9.87,2,-19.59,10.37,29.96,0,"	43,48" 
2018-10-01T14:00:00Z,"PFE",2018-11-01T14:00:00Z,Buy,29.621353527139,28.935767400575,2,-1.37,2,-2.12,1.88,4.01,0,"	46,55" 
2018-10-17T14:30:00Z,"PFE",2018-11-01T14:00:00Z,Buy,29.513810605325,28.935767400575,1,-0.58,1,-0.95,1.05,1.4,0,"	53,55" 
2018-10-17T14:30:00Z,"MRK",2018-11-07T15:30:00Z,Buy,54.327399038343,55.921674017143,1,1.59,2,-0.96,1.82,1.99,1,"	51,64" 
2018-10-17T14:30:00Z,"AAPL",2019-08-14T14:30:00Z,Buy,52.507707225,50.158922821,1,-2.35,2,-18.78,0.14,18.92,0,"	52,106" 
2018-11-01T14:00:00Z,"PG",2018-11-07T15:30:00Z,Buy,73.758756408,76.112582306,1,2.35,2,0,2.35,0,1,"	58,61" 
2018-11-01T14:00:00Z,"LLY",2018-11-07T15:30:00Z,Buy,97.99972212,95.7042657,1,-2.3,2,-2.3,1.54,3.83,0,"	57,62" 
2018-11-01T14:00:00Z,"DIS",2018-11-07T15:30:00Z,Buy,109.970565818,111.752008532,1,1.78,2,0,1.78,0.88,1,"	59,63" 
2018-11-01T14:00:00Z,"KO",2018-11-07T15:30:00Z,Buy,38.304225036,39.288230817,1,0.98,2,-0.11,0.98,0.11,1,"	60,66" 
2018-11-01T14:00:00Z,"KO",2018-12-03T15:00:00Z,Buy,38.304225036,40.63907232,2,4.67,1,-0.22,4.67,2.85,1,"	60,67" 
2018-11-01T14:00:00Z,"MRK",2019-02-01T15:00:00Z,Buy,56.150517315535,57.174023983506,1,1.02,2,-2.78,4.37,5.87,1,"	56,76" 
2018-11-07T15:30:00Z,"ABT",2018-12-12T15:30:00Z,Buy,62.468209704,63.242900016,1,0.77,2,-2.51,2.91,4.27,1,"	65,71" 
2018-12-03T15:00:00Z,"PFE",2018-12-12T15:30:00Z,Buy,31.299365699466,29.809242251321,1,-1.49,2,-1.55,0,1.55,0,"	69,72" 
2018-12-03T15:00:00Z,"LLY",2018-12-12T15:30:00Z,Buy,107.620770112,103.9967776,1,-3.62,2,-4.46,0.03,4.49,0,"	68,73" 
2018-12-03T15:00:00Z,"PFE",2019-02-01T15:00:00Z,Buy,31.299365699466,29.003724772247,3,-6.89,1,-13.57,0,13.57,0,"	69,77" 
2018-12-03T15:00:00Z,"PG",2019-06-03T14:00:00Z,Buy,78.55789967,86.880450252,1,8.32,2,-5.9,12.71,7.72,1,"	70,93" 
2019-01-02T15:00:00Z,"ABT",2019-01-02T15:30:00Z,Buy,63.674261667,63.674261667,1,0,2,0,0,0,0,"	74,75" 
2019-01-02T15:00:00Z,"ABT",2019-05-01T14:00:00Z,Buy,63.674261667,70.651794096,1,6.98,1,-5.38,7.13,6.09,1,"	74,86" 
2019-02-01T15:00:00Z,"AMD",2019-03-01T15:00:00Z,Buy,24.41,23.53,5,-4.4,2,-8.7,1.5,9.2,0,"	78,81" 
2019-02-01T15:00:00Z,"CMCSA",2019-04-01T14:00:00Z,Buy,26.831973863447,29.333943534608,5,12.51,2,0,14.31,4.73,1,"	79,83" 
2019-02-01T15:00:00Z,"CSCO",2019-05-22T14:30:00Z,Buy,38.456667797,46.253599812,1,7.8,2,-0.48,8.15,4.62,1,"	80,89" 
2019-03-01T15:00:00Z,"MRK",2019-05-01T14:00:00Z,Buy,62.443590079527,60.872032513577,2,-3.14,2,-11.68,3.96,15.64,0,"	82,85" 
2019-04-01T14:00:00Z,"AVGO",2019-05-22T14:30:00Z,Buy,25.1364631698,23.0149393254,5,-10.61,2,-11.75,8.28,20.04,0,"	84,90" 
2019-05-01T14:00:00Z,"PYPL",2019-05-22T14:30:00Z,Buy,112.17028914,111.83209726,1,-0.34,2,-5.91,1.09,5.91,0,"	87,91" 
2019-05-01T14:00:00Z,"CMCSA",2019-05-22T14:30:00Z,Buy,32.105895451317,31.928881554962,1,-0.18,2,-0.92,0.01,0.92,0,"	88,92" 
2019-05-01T14:00:00Z,"CMCSA",2019-06-03T14:00:00Z,Buy,32.105895451317,30.239873960579,2,-3.73,1,-3.73,0.01,3.75,0,"	88,94" 
2019-06-03T14:00:00Z,"PEP",2019-06-05T14:30:00Z,Buy,103.4479616,104.312721904,1,0.86,2,0,0.86,0,1,"	95,98" 
2019-06-03T14:00:00Z,"SNAP",2019-06-05T14:30:00Z,Buy,11.88,12.94,4,4.24,2,-0.76,4.24,0.76,1,"	96,99" 
2019-06-03T14:00:00Z,"SNAP",2019-08-14T14:30:00Z,Buy,11.88,17,2,10.24,1,-0.38,12.04,4,1,"	96,110" 
2019-06-03T14:00:00Z,"SNAP",2019-09-03T14:00:00Z,Buy,11.88,15.83,5,19.75,1,-0.95,30.1,12,1,"	96,111" 
2019-07-01T14:00:00Z,"AVGO",2019-08-01T14:00:00Z,Buy,24.2930264266,24.4727809819,5,0.9,2,-5.64,6.71,10.91,1,"	102,103" 
2019-07-01T14:00:00Z,"GE",2019-08-14T14:30:00Z,Buy,50.750164182761,45.234893718666,2,-11.03,2,-13.93,1.84,15.77,0,"	100,108" 
2019-07-01T14:00:00Z,"MSFT",2019-08-14T14:30:00Z,Buy,126.052783268,130.41889938,1,4.37,2,-1.65,6.94,8.59,1,"	101,109" 
2019-08-01T14:00:00Z,"AAPL",2019-08-14T14:30:00Z,Buy,50.94228458,50.158922821,1,-0.78,1,-17.22,1.7,4.71,0,"	104,106" 
2019-08-01T14:00:00Z,"BAC",2019-08-14T14:30:00Z,Buy,26.016259568,23.506216272,3,-7.53,2,-7.73,0,7.73,0,"	105,107" 
2019-09-03T14:00:00Z,"PG",2019-09-04T14:30:00Z,Buy,102.125983855,103.12013812,1,0.99,2,0,0.99,0,1,"	112,113" 
2019-10-01T14:00:00Z,"CMCSA",2019-11-01T14:00:00Z,Buy,33.413396586367,33.376163616326,1,-0.04,2,-0.61,0.9,1.04,0,"	118,119" 
2019-10-01T14:00:00Z,"T",2019-12-02T15:00:00Z,Buy,19.212319485464,19.250872956301,7,0.27,2,-2.7,8.23,8.76,1,"	114,121" 
2019-10-01T14:00:00Z,"KO",2019-12-02T15:00:00Z,Buy,44.951793944,44.42241336,1,-0.53,2,-2.25,0.28,2.53,0,"	117,122" 
2019-10-01T14:00:00Z,"AAPL",2020-03-02T15:00:00Z,Buy,53.759362321,65.967590568,2,24.42,2,-2.41,50.4,25.99,1,"	116,129" 
2019-10-01T14:00:00Z,"MSFT",2020-03-04T15:30:00Z,Buy,131.259154501,156.269151217,1,25.01,2,-4.14,47.5,28.5,1,"	115,134" 
2019-11-01T14:00:00Z,"BAC",2020-02-03T15:00:00Z,Buy,26.691343409,28.175914144,1,1.48,2,0,3.9,2.42,1,"	120,126" 
2019-12-02T15:00:00Z,"WFC",2020-02-03T15:00:00Z,Buy,46.44095859,40.00385124,1,-6.44,2,-6.44,0,6.44,0,"	124,127" 
2019-12-02T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,39.15,45.48,3,18.99,2,-1.26,59.25,44.67,1,"	123,131" 
2019-12-02T15:00:00Z,"NVDA",2020-04-01T14:30:00Z,Buy,5.394214283,6.564387965,2,2.34,2,-1.01,4.88,5.88,1,"	125,146" 
2019-12-02T15:00:00Z,"NVDA",2020-09-30T14:30:00Z,Buy,5.394214283,13.18430314465,2,15.58,1,-1.01,17.81,5.88,1,"	125,159" 
2020-02-03T15:00:00Z,"INTC",2020-03-02T15:00:00Z,Buy,56.395855893,49.218163536,1,-7.18,2,-7.18,3.41,10.58,0,"	128,130" 
2020-03-02T15:00:00Z,"NFLX",2020-03-04T15:30:00Z,Buy,36.903,36.877,2,-0.05,2,-0.05,2.4,2.46,0,"	132,137" 
2020-03-02T15:00:00Z,"ABBV",2020-03-04T15:30:00Z,Buy,67.011763916,68.603175717,1,1.59,2,0,2.52,0.93,1,"	133,138" 
2020-03-02T15:00:00Z,"ABBV",2020-04-01T14:00:00Z,Buy,67.011763916,59.728899073,1,-7.28,1,-16.45,4.95,21.4,0,"	133,140" 
2020-03-02T15:00:00Z,"NFLX",2020-09-30T14:30:00Z,Buy,36.903,49.348,2,24.89,1,-14.04,37.5,17.32,1,"	132,154" 
