Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"INTC",2020-03-02T15:00:00Z,Buy,56.395855893,49.218163536,2,-14.36,2,-14.36,6.81,21.17,0,"	2,6" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,1,-8.73,2,-8.73,3.05,11.78,0,"	4,7" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.0517464614,55.4447407478,2,-31.21,2,-35.68,9.13,44.82,0,"	1,10" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.8842580185,5.410639503625,4,-1.89,2,-3.97,7.79,11.77,0,"	5,11" 
2020-02-03T15:00:00Z,"AAPL",2020-03-18T14:30:00Z,Buy,74.51450928675,61.020503918,1,-13.49,2,-16.06,4.45,20.51,0,"	3,14" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,1,-13.15,1,-20.37,4.45,24.82,0,"	3,15" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,3,-14.78,2,-21.06,4.43,25.48,0,"	8,12" 
2020-03-02T15:00:00Z,"T",2020-03-18T14:30:00Z,Buy,18.36091796698,17.599357164941,2,-1.52,2,-4.04,3.1,7.14,0,"	9,13" 
2020-04-01T14:00:00Z,"NVDA",2020-04-01T14:30:00Z,Buy,6.564387965,6.564387965,6,0,2,0,0,0,0,"	17,19" 
2020-04-01T14:00:00Z,"AMZN",2020-04-01T14:30:00Z,Buy,97.257297844,97.257297844,1,0,2,0,0,0,0,"	18,21" 
2020-04-01T14:00:00Z,"NFLX",2020-04-01T14:30:00Z,Buy,37.55,37.55,1,0,2,0,0,0,0,"	16,22" 
2020-04-01T14:00:00Z,"NFLX",2020-09-30T14:30:00Z,Buy,37.55,49.348,2,23.6,1,-2.75,36.21,17.32,1,"	16,33" 
2020-04-01T14:00:00Z,"NVDA",2020-09-30T14:30:00Z,Buy,6.564387965,13.18430314465,4,26.48,1,-2.05,30.95,9.7,1,"	17,34" 
2020-04-01T14:00:00Z,"NVDA",2020-11-02T15:00:00Z,Buy,6.564387965,12.4947209508,7,41.51,1,-3.58,54.16,16.98,1,"	17,42" 
2020-04-01T14:30:00Z,"INTC",2023-11-01T14:30:00Z,Buy,47.977071516,35.89957865,1,-12.08,2,-24.15,14.11,38.26,0,"	20,259" 
2020-05-01T14:00:00Z,"ABT",2020-06-01T14:00:00Z,Buy,83.00421258,85.66662888,1,2.66,2,-3.38,3.7,7.08,1,"	25,26" 
2020-05-01T14:00:00Z,"GOOGL",2020-09-01T14:00:00Z,Buy,66.783028071,80.8086045389,1,14.03,2,-1.46,14.75,5.07,1,"	24,30" 
2020-05-01T14:00:00Z,"AAPL",2020-09-30T14:30:00Z,Buy,70.90019794,110.626615506,1,39.73,2,-1.14,59.21,26.51,1,"	23,31" 
2020-06-01T14:00:00Z,"ABBV",2020-08-03T14:00:00Z,Buy,73.731819795,76.45950177,1,2.73,2,-1.57,7.46,4.74,1,"	27,28" 
2020-08-03T14:00:00Z,"AMD",2020-09-30T14:30:00Z,Buy,77.43,81.77,1,4.34,2,-2.7,14.75,17.45,1,"	29,32" 
2020-09-30T14:30:00Z,"SNAP",2020-10-07T14:30:00Z,Buy,25.99,26.73,3,2.22,2,0,4.65,2.43,1,"	35,40" 
2020-09-30T14:30:00Z,"SNAP",2020-11-04T15:30:00Z,Buy,25.99,41.17,1,15.18,1,0,17.18,3.78,1,"	35,49" 
2020-10-01T14:00:00Z,"NKE",2020-10-07T14:30:00Z,Buy,115.902557834,117.850577565,1,1.95,2,0,2.19,0.24,1,"	38,39" 
2020-10-01T14:00:00Z,"UPS",2020-10-07T14:30:00Z,Buy,132.876893984,135.029973344,1,2.15,2,0,2.15,0.61,1,"	36,41" 
2020-10-01T14:00:00Z,"SNAP",2021-04-01T14:00:00Z,Buy,26.11,52.29,2,52.36,2,-0.24,88.68,41.76,1,"	37,67" 
2020-11-02T15:00:00Z,"CAT",2020-11-04T15:30:00Z,Buy,142.47305874,152.125483732,1,9.65,2,0,9.65,0,1,"	45,46" 
2020-11-02T15:00:00Z,"GM",2020-11-04T15:30:00Z,Buy,33.23695509,34.02624855,4,3.16,2,0,3.16,0,1,"	44,47" 
2020-11-02T15:00:00Z,"QCOM",2021-03-01T15:00:00Z,Buy,109.584931584,121.504400777,1,11.92,2,0,37.43,26.1,1,"	43,60" 
2020-11-04T15:30:00Z,"MS",2021-02-01T15:00:00Z,Buy,43.40098079,57.114470808,2,27.43,2,0,42.87,15.44,1,"	48,57" 
2020-12-01T15:00:00Z,"GM",2021-01-04T15:00:00Z,Buy,42.19832352,40.08070692,4,-8.47,2,-11.32,3.23,14.55,0,"	50,53" 
2020-12-01T15:00:00Z,"F",2021-01-04T15:00:00Z,Buy,7.168699133,6.935923542,23,-5.35,2,-5.35,6.44,11.8,0,"	52,54" 
2020-12-01T15:00:00Z,"MS",2021-02-01T15:00:00Z,Buy,52.42200903,57.114470808,1,4.69,1,-9.02,12.41,7.72,1,"	51,57" 
2021-01-04T15:00:00Z,"AAPL",2021-03-01T15:00:00Z,Buy,128.883946578,117.957811302,1,-10.93,2,-11.19,10.17,21.36,0,"	55,61" 
2021-01-04T15:00:00Z,"AVGO",2021-04-01T14:00:00Z,Buy,39.389310009,42.0372424204,2,5.3,2,-2.99,9.38,12.36,1,"	56,68" 
2021-02-01T15:00:00Z,"F",2021-05-03T14:00:00Z,Buy,8.301014296,9.101920143,4,3.2,2,0,9,6.69,1,"	59,70" 
2021-02-01T15:00:00Z,"GM",2021-08-02T14:00:00Z,Buy,48.78218604,54.71151252,3,17.79,2,-0.23,38.23,28.13,1,"	58,79" 
2021-03-01T15:00:00Z,"NVDA",2021-04-01T14:00:00Z,Buy,13.67556042015,13.3149434466,1,-0.36,2,-2.12,0.13,2.24,0,"	65,66" 
2021-03-01T15:00:00Z,"BAC",2021-07-01T14:00:00Z,Buy,30.588312456,36.668263324,1,6.08,2,0,7.89,3.99,1,"	64,73" 
2021-03-01T15:00:00Z,"JPM",2021-07-01T14:00:00Z,Buy,129.601831439,137.779400682,1,8.18,2,0,17.83,16.41,1,"	62,74" 
2021-03-01T15:00:00Z,"MS",2021-10-01T14:00:00Z,Buy,65.508644748,83.865350656,1,18.36,2,0,25.4,8.45,1,"	63,97" 
2021-04-01T14:00:00Z,"WFC",2021-07-01T14:00:00Z,Buy,34.768764744,40.381587554,5,28.06,2,0,39.7,27.37,1,"	69,72" 
2021-05-03T14:00:00Z,"XOM",2021-08-02T14:00:00Z,Buy,47.287060128,48.21049825,1,0.92,2,-0.91,6.88,7.79,1,"	71,82" 
2021-07-01T14:00:00Z,"COP",2021-08-02T14:00:00Z,Buy,50.63543898,46.967589358,4,-14.67,2,-23.95,6.59,30.53,0,"	75,80" 
2021-07-01T14:00:00Z,"F",2021-08-02T14:00:00Z,Buy,11.71768653,11.00752371,1,-0.71,2,-1.24,0.07,1.31,0,"	78,81" 
2021-07-01T14:00:00Z,"GOOGL",2021-09-29T14:30:00Z,Buy,121.0886835327,134.716547158,1,13.63,2,0,22.94,9.31,1,"	76,90" 
2021-07-01T14:00:00Z,"NVDA",2021-09-29T14:30:00Z,Buy,19.9571623335,20.6557266706,2,1.4,2,-3.67,5.68,5.06,1,"	77,91" 
2021-08-02T14:00:00Z,"AXP",2021-09-01T14:00:00Z,Buy,162.026333967,157.731728739,1,-4.29,2,-10.93,0.76,11.69,0,"	84,86" 
2021-08-02T14:00:00Z,"WFC",2021-09-01T14:00:00Z,Buy,40.961142244,40.933464985,2,-0.06,2,-0.25,9.69,9.74,0,"	85,87" 
2021-08-02T14:00:00Z,"SNAP",2021-09-29T14:30:00Z,Buy,74.42,74.42,2,0,2,-7.12,17.34,17.34,0,"	83,93" 
2021-09-01T14:00:00Z,"CMCSA",2021-09-29T14:30:00Z,Buy,46.82410473284,42.248182829976,2,-9.15,2,-9.15,1.65,10.8,0,"	89,92" 
2021-09-01T14:00:00Z,"CSCO",2021-09-29T14:30:00Z,Buy,51.790941202,48.719638352,3,-9.21,2,-9.9,1.34,11.24,0,"	88,94" 
2021-09-29T14:30:00Z,"BAC",2021-10-06T14:30:00Z,Buy,38.581427508,39.528978786,1,0.95,2,-0.63,0.95,0.63,1,"	96,103" 
2021-09-29T14:30:00Z,"BAC",2021-11-01T14:00:00Z,Buy,38.581427508,42.711320814,2,8.26,1,-1.27,8.58,2.15,1,"	96,105" 
2021-09-29T14:30:00Z,"ORCL",2023-03-15T14:30:00Z,Buy,85.19185825,81.567819032,1,-3.62,2,-26.76,12.7,39.45,0,"	95,205" 
2021-10-01T14:00:00Z,"AXP",2021-10-06T14:30:00Z,Buy,159.175932267,166.026397686,1,6.85,2,0,6.85,1.2,1,"	98,101" 
2021-10-01T14:00:00Z,"RTX",2021-10-06T14:30:00Z,Buy,77.786553572,80.284120904,1,2.5,2,0,2.5,0,1,"	100,104" 
2021-10-01T14:00:00Z,"BAC",2021-11-01T14:00:00Z,Buy,37.946746935,42.711320814,1,4.76,1,0,4.93,1.07,1,"	99,105" 
2021-10-01T14:00:00Z,"RTX",2021-11-01T14:00:00Z,Buy,77.786553572,80.410809102,1,2.62,1,0,5.34,2.71,1,"	100,106" 
2021-10-06T14:30:00Z,"WFC",2021-12-01T15:00:00Z,Buy,42.94834786,42.94336697,3,-0.01,2,-7.15,10.88,10.9,0,"	102,112" 
2021-11-01T14:00:00Z,"GOOGL",2021-12-01T15:00:00Z,Buy,146.8324077196,140.7343094335,1,-6.1,2,-6.1,1.78,7.88,0,"	108,111" 
2021-11-01T14:00:00Z,"NFLX",2021-12-01T15:00:00Z,Buy,69.031,64.19,2,-9.68,2,-9.68,0.28,9.96,0,"	110,113" 
2021-11-01T14:00:00Z,"AMD",2022-01-03T15:00:00Z,Buy,120.23,143.9,1,23.67,2,0,41.68,28.11,1,"	109,116" 
2021-11-01T14:00:00Z,"NVDA",2022-01-03T15:00:00Z,Buy,25.5135496298,29.3531044465,7,26.88,2,0,54.55,39.49,1,"	107,117" 
2021-12-01T15:00:00Z,"AVGO",2022-01-26T15:30:00Z,Buy,50.9625288072,49.4784992112,2,-2.97,2,-3.14,22.99,26.13,0,"	115,121" 
2021-12-01T15:00:00Z,"F",2022-01-26T15:30:00Z,Buy,15.2264256,15.82913828,13,7.84,2,-0.62,61.75,53.92,1,"	114,122" 
2022-01-03T15:00:00Z,"AAPL",2022-01-26T15:30:00Z,Buy,173.539906794,156.153665076,1,-17.39,2,-17.39,4.34,21.73,0,"	118,120" 
2022-01-03T15:00:00Z,"PFE",2022-01-26T15:30:00Z,Buy,47.28765335,42.06639171,4,-20.89,2,-24.02,0,24.02,0,"	119,123" 
2022-01-26T15:30:00Z,"COP",2022-02-02T15:30:00Z,Buy,73.623725621,77.367877894,1,3.74,2,-0.04,3.74,0.88,1,"	124,132" 
2022-01-26T15:30:00Z,"ABBV",2022-03-02T15:30:00Z,Buy,115.03540987,127.64617424,1,12.61,2,0,14.22,1.61,1,"	125,138" 
2022-01-26T15:30:00Z,"CVX",2022-03-02T15:30:00Z,Buy,111.732373172,127.449722394,1,15.72,2,-1.62,15.72,4.26,1,"	126,139" 
2022-02-01T15:00:00Z,"PG",2022-02-02T15:30:00Z,Buy,144.90990163,144.22355285,1,-0.69,2,-0.69,0,0.69,0,"	129,130" 
2022-02-01T15:00:00Z,"AAPL",2022-02-02T15:30:00Z,Buy,170.813228076,170.647086362,1,-0.17,2,-0.17,0,0.17,0,"	128,131" 
2022-02-01T15:00:00Z,"COP",2022-04-27T14:30:00Z,Buy,74.899949082,77.801973456,1,2.9,2,-1.32,16.41,13.51,1,"	127,144" 
2022-02-02T15:30:00Z,"WFC",2022-09-14T14:30:00Z,Buy,49.977736795,39.501830146,2,-20.95,2,-32.01,6.71,38.71,0,"	133,176" 
2022-02-02T15:30:00Z,"MS",2022-09-14T14:30:00Z,Buy,90.82074591,77.4685789395,1,-13.35,2,-26.56,4.22,30.78,0,"	134,177" 
2022-03-01T15:00:00Z,"RTX",2022-03-02T15:30:00Z,Buy,93.99973869,94.027197231,1,0.03,2,0,0.03,0,1,"	136,137" 
2022-03-01T15:00:00Z,"XOM",2022-03-02T15:30:00Z,Buy,68.324678411,68.978211236,1,0.65,2,0,0.65,0,1,"	135,140" 
2022-03-01T15:00:00Z,"XOM",2022-04-27T14:30:00Z,Buy,68.324678411,71.71433533,1,3.39,1,-1.29,8.84,9.45,1,"	135,146" 
2022-04-01T14:00:00Z,"NVDA",2022-04-27T14:30:00Z,Buy,27.2369288576,18.7542116608,6,-50.9,2,-50.9,0.44,51.34,0,"	142,145" 
2022-04-01T14:00:00Z,"AVGO",2022-04-27T14:30:00Z,Buy,58.7229996864,52.2312768936,3,-19.48,2,-19.48,1.45,20.92,0,"	141,147" 
2022-04-01T14:00:00Z,"KO",2022-04-27T14:30:00Z,Buy,55.4444176,58.17192524,1,2.73,2,0,3.76,1.04,1,"	143,148" 
2022-04-01T14:00:00Z,"KO",2022-05-04T14:30:00Z,Buy,55.4444176,56.410223584,1,0.97,1,0,3.76,2.8,1,"	143,151" 
2022-05-02T14:00:00Z,"XOM",2022-05-04T14:30:00Z,Buy,74.197760065,76.838032678,1,2.64,2,0,2.64,0,1,"	149,153" 
2022-05-02T14:00:00Z,"MRK",2022-06-01T14:00:00Z,Buy,79.135281312,82.195071808,1,3.06,2,-1.44,5.34,2.28,1,"	150,154" 
2022-05-02T14:00:00Z,"XOM",2022-07-01T14:00:00Z,Buy,74.197760065,75.477170646,1,1.28,1,-0.58,17.86,17.06,1,"	149,160" 
2022-05-04T14:30:00Z,"COP",2022-07-01T14:00:00Z,Buy,84.285471244,77.455457989,1,-6.83,2,-9.07,20.73,29.8,0,"	152,159" 
2022-06-01T14:00:00Z,"CVX",2022-06-01T14:30:00Z,Buy,149.88452423,149.88452423,1,0,2,0,0,0,0,"	155,157" 
2022-06-01T14:00:00Z,"PFE",2022-06-01T14:30:00Z,Buy,43.211839808,43.211839808,1,0,2,0,0,0,0,"	156,158" 
2022-06-01T14:00:00Z,"PFE",2022-07-01T14:00:00Z,Buy,43.211839808,42.70748475,2,-1.01,1,-10.77,1.35,12.12,0,"	156,161" 
2022-07-01T14:00:00Z,"ABBV",2022-07-06T14:30:00Z,Buy,133.769424632,134.187835448,1,0.42,2,0,0.42,0,1,"	163,166" 
2022-07-01T14:00:00Z,"T",2022-07-06T14:30:00Z,Buy,16.988536118,17.150485938,3,0.49,2,0,0.81,0.33,1,"	164,167" 
2022-07-01T14:00:00Z,"T",2022-08-01T14:00:00Z,Buy,16.988536118,15.417471213,5,-7.86,1,-9.89,1.36,11.24,0,"	164,168" 
2022-07-01T14:00:00Z,"MRK",2022-08-01T14:00:00Z,Buy,82.157257665,80.385502902,1,-1.77,2,-1.77,3.23,5,0,"	162,169" 
2022-07-06T14:30:00Z,"KO",2022-09-01T14:00:00Z,Buy,56.997934952,55.583795289,1,-1.41,2,-1.73,1.75,3.16,0,"	165,174" 
2022-08-01T14:00:00Z,"KO",2022-09-01T14:00:00Z,Buy,57.799581003,55.583795289,1,-2.22,1,-2.53,0.95,3.16,0,"	172,174" 
2022-08-01T14:00:00Z,"WFC",2022-09-14T14:30:00Z,Buy,39.849218871,39.501830146,1,-0.35,1,-5.87,13.48,2.98,0,"	173,176" 
2022-08-01T14:00:00Z,"CVX",2022-09-14T14:30:00Z,Buy,140.586498125,138.11264019,1,-2.47,2,-10.84,2.08,10.84,0,"	171,179" 
2022-08-01T14:00:00Z,"XOM",2022-10-03T14:00:00Z,Buy,85.362972213,77.694911701,1,-7.67,2,-10.69,3.63,14.32,0,"	170,180" 
2022-09-01T14:00:00Z,"CSCO",2022-09-14T14:30:00Z,Buy,40.372661472,39.821961036,1,-0.55,2,-0.55,1.52,2.07,0,"	175,178" 
2022-10-03T14:00:00Z,"COP",2022-10-05T14:30:00Z,Buy,91.172822944,103.003730592,1,11.83,2,0,11.83,0,1,"	181,183" 
2022-10-03T14:00:00Z,"MRK",2022-12-28T15:30:00Z,Buy,78.123298911,102.323537424,1,24.2,2,0,24.2,3.58,1,"	182,195" 
2022-10-05T14:30:00Z,"XOM",2022-11-02T14:30:00Z,Buy,84.672432086,99.5518832,1,14.88,2,0,14.88,3.56,1,"	184,186" 
2022-11-02T14:30:00Z,"T",2024-08-07T14:30:00Z,Buy,15.319201383,17.907764769,6,15.53,2,-21.35,17.27,33.22,1,"	185,306" 
2022-12-01T15:00:00Z,"WFC",2022-12-28T15:30:00Z,Buy,44.080572864,37.759689216,1,-6.32,2,-6.64,0,6.64,0,"	190,191" 
2022-12-01T15:00:00Z,"JPM",2022-12-28T15:30:00Z,Buy,127.757897862,121.803629066,1,-5.95,2,-8.22,0,8.22,0,"	188,192" 
2022-12-01T15:00:00Z,"MS",2022-12-28T15:30:00Z,Buy,83.60704656,76.4271207,1,-7.18,2,-7.18,0,7.18,0,"	187,193" 
2022-12-01T15:00:00Z,"PFE",2022-12-28T15:30:00Z,Buy,41.410989207,42.275010046,3,2.59,2,-0.95,10.93,8.33,1,"	189,194" 
2023-01-03T15:00:00Z,"JPM",2023-01-04T15:30:00Z,Buy,123.98562819,124.928695608,1,0.94,2,0,0.94,0,1,"	196,197" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,4,-12.69,2,-14.68,5.21,19.9,0,"	198,203" 
