Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:00:00Z,COP,74.899949082,2,Market,Filled,149.799898164,"" 
2022-02-01T15:00:00Z,PG,144.90990163,1,Market,Filled,144.90990163,"" 
2022-02-01T15:00:00Z,CVX,110.679009672,1,Market,Filled,110.679009672,"" 
2022-02-01T15:00:00Z,MS,89.631946926,1,Market,Filled,89.631946926,"" 
2022-03-01T15:00:00Z,PG,140.764716235,-1,Market,Filled,-140.764716235,"Liquidated" 
2022-03-01T15:00:00Z,MS,79.308626337,-1,Market,Filled,-79.308626337,"Liquidated" 
2022-03-01T15:00:00Z,XOM,68.324678411,2,Market,Filled,136.649356822,"" 
2022-03-01T15:00:00Z,KO,55.236219936,1,Market,Filled,55.236219936,"" 
2022-03-01T15:00:00Z,NVDA,24.3369981275,1,Market,Filled,24.3369981275,"" 
2022-03-16T14:30:00Z,NVDA,22.9316853568,-1,Market,Filled,-22.9316853568,"Liquidated" 
2022-03-16T14:30:00Z,KO,53.316067376,-1,Market,Filled,-53.316067376,"Liquidated" 
2022-03-16T14:30:00Z,XOM,67.322594746,-1,Market,Filled,-67.322594746,"" 
2022-03-16T14:30:00Z,CVX,134.79849706,-1,Market,Filled,-134.79849706,"" 
2022-03-16T14:30:00Z,COP,80.73854962,-1,Market,Filled,-80.73854962,"" 
2022-04-01T14:00:00Z,ABBV,140.11864373,1,Market,Filled,140.11864373,"" 
2022-04-01T14:00:00Z,AVGO,58.7229996864,2,Market,Filled,117.4459993728,"" 
2022-04-01T14:00:00Z,NVDA,27.2369288576,3,Market,Filled,81.7107865728,"" 
2022-04-27T14:30:00Z,XOM,71.71433533,-1,Market,Filled,-71.71433533,"Liquidated" 
2022-04-27T14:30:00Z,AVGO,52.2312768936,-2,Market,Filled,-104.4625537872,"Liquidated" 
2022-04-27T14:30:00Z,NVDA,18.7542116608,-3,Market,Filled,-56.2626349824,"Liquidated" 
2022-04-27T14:30:00Z,COP,77.801973456,-1,Market,Filled,-77.801973456,"Liquidated" 
2022-04-27T14:30:00Z,ABBV,136.297323312,-1,Market,Filled,-136.297323312,"" 
2022-04-27T14:30:00Z,KO,58.17192524,1,Market,Filled,58.17192524,"" 
2022-05-02T14:00:00Z,XOM,74.197760065,1,Market,Filled,74.197760065,"" 
2022-05-02T14:00:00Z,KO,57.778448728,1,Market,Filled,57.778448728,"" 
2022-05-02T14:00:00Z,MRK,79.135281312,1,Market,Filled,79.135281312,"" 
2022-05-04T14:30:00Z,KO,56.410223584,-2,Market,Filled,-112.820447168,"Liquidated" 
2022-05-04T14:30:00Z,COP,84.285471244,1,Market,Filled,84.285471244,"" 
2022-06-01T14:00:00Z,MRK,82.195071808,-1,Market,Filled,-82.195071808,"Liquidated" 
2022-06-01T14:00:00Z,PFE,43.211839808,3,Market,Filled,129.635519424,"" 
2022-06-01T14:30:00Z,PFE,43.211839808,-1,Market,Filled,-43.211839808,"" 
2022-06-01T14:30:00Z,COP,96.157261032,-1,Market,Filled,-96.157261032,"" 
2022-07-01T14:00:00Z,XOM,75.477170646,-1,Market,Filled,-75.477170646,"Liquidated" 
2022-07-01T14:00:00Z,PFE,42.70748475,-2,Market,Filled,-85.4149695,"Liquidated" 
2022-07-01T14:00:00Z,MRK,82.157257665,1,Market,Filled,82.157257665,"" 
2022-07-01T14:00:00Z,ABBV,133.769424632,1,Market,Filled,133.769424632,"" 
2022-07-01T14:00:00Z,T,16.988536118,8,Market,Filled,135.908288944,"" 
2022-07-06T14:30:00Z,ABBV,134.187835448,-1,Market,Filled,-134.187835448,"" 
2022-07-06T14:30:00Z,KO,56.997934952,1,Market,Filled,56.997934952,"" 
2022-07-06T14:30:00Z,T,17.150485938,-3,Market,Filled,-51.451457814,"" 
2022-08-01T14:00:00Z,MRK,80.385502902,-1,Market,Filled,-80.385502902,"Liquidated" 
2022-08-01T14:00:00Z,T,15.417471213,-5,Market,Filled,-77.087356065,"Liquidated" 
2022-08-01T14:00:00Z,XOM,85.362972213,1,Market,Filled,85.362972213,"" 
2022-08-01T14:00:00Z,KO,57.799581003,1,Market,Filled,57.799581003,"" 
2022-08-01T14:00:00Z,WFC,39.849218871,3,Market,Filled,119.547656613,"" 
