Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:00:00Z,"PG",2022-03-01T15:00:00Z,Buy,144.90990163,140.764716235,1,-4.15,2,-7.89,3.32,11.22,0,"	2,5" 
2022-02-01T15:00:00Z,"MS",2022-03-01T15:00:00Z,Buy,89.631946926,79.308626337,1,-10.32,2,-10.32,5.41,15.73,0,"	4,6" 
2022-02-01T15:00:00Z,"CVX",2022-03-16T14:30:00Z,Buy,110.679009672,134.79849706,1,24.12,2,0,34.79,10.67,1,"	3,13" 
2022-02-01T15:00:00Z,"COP",2022-03-16T14:30:00Z,Buy,74.899949082,80.73854962,1,5.84,2,-0.38,11.12,5.28,1,"	1,14" 
2022-02-01T15:00:00Z,"COP",2022-04-27T14:30:00Z,Buy,74.899949082,77.801973456,1,2.9,1,-0.38,16.41,13.51,1,"	1,21" 
2022-03-01T15:00:00Z,"NVDA",2022-03-16T14:30:00Z,Buy,24.3369981275,22.9316853568,1,-1.41,2,-3.05,0,3.05,0,"	9,10" 
2022-03-01T15:00:00Z,"KO",2022-03-16T14:30:00Z,Buy,55.236219936,53.316067376,1,-1.92,2,-3.87,0.29,4.16,0,"	8,11" 
2022-03-01T15:00:00Z,"XOM",2022-03-16T14:30:00Z,Buy,68.324678411,67.322594746,1,-1,2,-1,8.16,9.16,0,"	7,12" 
2022-03-01T15:00:00Z,"XOM",2022-04-27T14:30:00Z,Buy,68.324678411,71.71433533,1,3.39,1,-1.29,8.84,9.45,1,"	7,18" 
2022-04-01T14:00:00Z,"AVGO",2022-04-27T14:30:00Z,Buy,58.7229996864,52.2312768936,2,-12.98,2,-12.98,0.96,13.95,0,"	16,19" 
2022-04-01T14:00:00Z,"NVDA",2022-04-27T14:30:00Z,Buy,27.2369288576,18.7542116608,3,-25.45,2,-25.45,0.22,25.67,0,"	17,20" 
2022-04-01T14:00:00Z,"ABBV",2022-04-27T14:30:00Z,Buy,140.11864373,136.297323312,1,-3.82,2,-5.02,11.13,16.15,0,"	15,22" 
2022-04-27T14:30:00Z,"KO",2022-05-04T14:30:00Z,Buy,58.17192524,56.410223584,1,-1.76,2,-1.76,1.02,2.78,0,"	23,27" 
2022-05-02T14:00:00Z,"KO",2022-05-04T14:30:00Z,Buy,57.778448728,56.410223584,1,-1.37,1,-1.37,1.41,1.37,0,"	25,27" 
2022-05-02T14:00:00Z,"MRK",2022-06-01T14:00:00Z,Buy,79.135281312,82.195071808,1,3.06,2,-1.44,5.34,2.28,1,"	26,29" 
2022-05-02T14:00:00Z,"XOM",2022-07-01T14:00:00Z,Buy,74.197760065,75.477170646,1,1.28,2,-0.58,17.86,17.06,1,"	24,33" 
2022-05-04T14:30:00Z,"COP",2022-06-01T14:30:00Z,Buy,84.285471244,96.157261032,1,11.87,2,-1.47,13.79,8.94,1,"	28,32" 
2022-06-01T14:00:00Z,"PFE",2022-06-01T14:30:00Z,Buy,43.211839808,43.211839808,1,0,2,0,0,0,0,"	30,31" 
2022-06-01T14:00:00Z,"PFE",2022-07-01T14:00:00Z,Buy,43.211839808,42.70748475,2,-1.01,1,-10.77,1.35,12.12,0,"	30,34" 
2022-07-01T14:00:00Z,"ABBV",2022-07-06T14:30:00Z,Buy,133.769424632,134.187835448,1,0.42,2,0,0.42,0,1,"	36,38" 
2022-07-01T14:00:00Z,"T",2022-07-06T14:30:00Z,Buy,16.988536118,17.150485938,3,0.49,2,0,0.81,0.33,1,"	37,40" 
2022-07-01T14:00:00Z,"MRK",2022-08-01T14:00:00Z,Buy,82.157257665,80.385502902,1,-1.77,2,-1.77,3.23,5,0,"	35,41" 
2022-07-01T14:00:00Z,"T",2022-08-01T14:00:00Z,Buy,16.988536118,15.417471213,5,-7.86,1,-9.89,1.36,11.24,0,"	37,42" 
2022-07-06T14:30:00Z,"KO",2022-09-01T14:00:00Z,Buy,56.997934952,55.583795289,1,-1.41,2,-1.73,1.75,3.16,0,"	39,47" 
2022-08-01T14:00:00Z,"KO",2022-09-01T14:00:00Z,Buy,57.799581003,55.583795289,1,-2.22,1,-2.53,0.95,3.16,0,"	44,47" 
2022-08-01T14:00:00Z,"MS",2022-09-14T14:30:00Z,Buy,75.034475161,77.4685789395,1,2.43,2,-0.68,6.87,6.76,1,"	46,50" 
2022-08-01T14:00:00Z,"WFC",2022-09-14T14:30:00Z,Buy,39.849218871,39.501830146,3,-1.04,2,-2.67,7.1,8.94,0,"	45,51" 
2022-08-01T14:00:00Z,"XOM",2022-10-03T14:00:00Z,Buy,85.362972213,77.694911701,1,-7.67,2,-10.69,3.63,14.32,0,"	43,55" 
2022-09-01T14:00:00Z,"CSCO",2022-09-14T14:30:00Z,Buy,40.372661472,39.821961036,1,-0.55,2,-0.55,1.52,2.07,0,"	49,52" 
2022-09-01T14:00:00Z,"COP",2022-09-14T14:30:00Z,Buy,94.818209585,97.313197649,1,2.49,2,-2.33,4.28,3.03,1,"	48,54" 
2022-09-14T14:30:00Z,"ORCL",2023-01-04T15:30:00Z,Buy,72.730245541,80.455857664,1,7.73,2,-14.29,8.11,14.29,1,"	53,69" 
2022-10-03T14:00:00Z,"MRK",2022-11-02T14:30:00Z,Buy,78.123298911,90.462373974,1,12.34,2,0,13.58,1.59,1,"	56,59" 
2022-11-01T14:00:00Z,"XOM",2022-11-02T14:30:00Z,Buy,98.503033002,99.5518832,1,1.05,2,0,1.05,0,1,"	57,58" 
2022-12-01T15:00:00Z,"MS",2022-12-28T15:30:00Z,Buy,83.60704656,76.4271207,1,-7.18,2,-7.18,0,7.18,0,"	61,65" 
2022-12-01T15:00:00Z,"WFC",2022-12-28T15:30:00Z,Buy,44.080572864,37.759689216,2,-12.64,2,-13.28,0,13.28,0,"	64,66" 
2022-12-01T15:00:00Z,"JPM",2022-12-28T15:30:00Z,Buy,127.757897862,121.803629066,1,-5.95,2,-8.22,0,8.22,0,"	62,67" 
2022-12-01T15:00:00Z,"PFE",2022-12-28T15:30:00Z,Buy,41.410989207,42.275010046,3,2.59,2,-0.95,10.93,8.33,1,"	63,68" 
2023-02-01T15:00:00Z,"XOM",2023-03-01T15:00:00Z,Buy,103.991106296,99.039803016,1,-4.95,2,-4.95,2.81,7.76,0,"	73,76" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,3,-9.52,2,-11.01,3.91,14.92,0,"	70,77" 
2023-02-01T15:00:00Z,"MS",2023-03-15T14:30:00Z,Buy,88.16754846,81.47322828,1,-6.69,2,-8.44,3.17,11.61,0,"	72,80" 
2023-02-01T15:00:00Z,"HOOD",2023-03-15T14:30:00Z,Buy,10.42,9.11,1,-1.31,2,-1.43,0.73,2.16,0,"	75,82" 
2023-02-01T15:00:00Z,"UBER",2023-04-03T14:00:00Z,Buy,30.93,31.7,1,0.77,2,-0.86,5.9,6.76,1,"	74,86" 
2023-02-01T15:00:00Z,"GE",2023-08-23T14:30:00Z,Buy,63.256413137421,87.909873776994,1,24.65,2,0,28.98,4.88,1,"	71,102" 
2023-03-01T15:00:00Z,"WFC",2023-03-15T14:30:00Z,Buy,43.296926344,37.17646691,2,-12.24,2,-15.44,0.19,15.63,0,"	79,81" 
2023-03-01T15:00:00Z,"NVDA",2023-03-15T14:30:00Z,Buy,23.1919667968,24.0421734735,1,0.85,2,-0.52,0.97,1.21,1,"	78,85" 
2023-03-01T15:00:00Z,"NVDA",2023-08-23T14:30:00Z,Buy,23.1919667968,45.6331964172,2,44.88,1,-1.03,48.53,13.27,1,"	78,103" 
2023-03-01T15:00:00Z,"NVDA",2023-09-20T14:30:00Z,Buy,23.1919667968,43.490415104,1,20.3,1,-0.52,26.13,6.63,1,"	78,108" 
2023-03-15T14:30:00Z,"UBER",2023-04-03T14:00:00Z,Buy,32.36,31.7,1,-0.66,1,-2.29,4.47,2.79,0,"	83,86" 
2023-03-15T14:30:00Z,"AVGO",2023-08-01T14:00:00Z,Buy,60.470291175,87.000517179,1,26.53,2,-1.71,28.4,5.79,1,"	84,96" 
2023-04-03T14:00:00Z,"NFLX",2023-05-01T14:00:00Z,Buy,34.548,32.993,3,-4.66,2,-7.3,0.84,8.14,0,"	88,89" 
2023-04-03T14:00:00Z,"ORCL",2023-08-01T14:00:00Z,Buy,89.61270563,113.953831805,1,24.34,2,0,32.99,11.81,1,"	87,97" 
2023-05-01T14:00:00Z,"MRK",2023-06-01T14:00:00Z,Buy,106.14104655,101.509437246,1,-4.63,2,-5.81,2.67,8.48,0,"	90,91" 
2023-06-01T14:00:00Z,"AMD",2023-07-03T14:00:00Z,Buy,118.21,113.91,1,-4.3,2,-10.7,10.98,21.68,0,"	92,93" 
2023-07-03T14:00:00Z,"UBER",2023-08-23T14:30:00Z,Buy,43.17,44.35,2,2.36,2,-2.12,12.58,11.62,1,"	94,100" 
2023-07-03T14:00:00Z,"SOFI",2023-08-23T14:30:00Z,Buy,8.34,8.15,4,-0.76,2,-1.16,12.44,13.36,0,"	95,101" 
2023-08-01T14:00:00Z,"PLTR",2023-08-23T14:30:00Z,Buy,19.84,14.67,5,-25.85,2,-28.45,0.75,29.2,0,"	98,99" 
2023-08-23T14:30:00Z,"CSCO",2023-09-06T14:30:00Z,Buy,51.70921247,53.38747757,1,1.68,2,-0.21,2.22,0.69,1,"	104,107" 
2023-09-01T14:00:00Z,"CSCO",2023-09-20T14:30:00Z,Buy,53.471390825,52.06351288,1,-1.41,2,-1.97,0.46,1.86,0,"	105,109" 
2023-09-06T14:30:00Z,"UBER",2023-10-04T14:30:00Z,Buy,46.55,44.51,1,-2.04,2,-2.28,2.39,4.67,0,"	106,114" 
2023-10-02T14:00:00Z,"PLTR",2023-10-04T14:30:00Z,Buy,16,14.9,7,-7.7,2,-7.7,0,7.7,0,"	110,113" 
2023-10-02T14:00:00Z,"UBER",2023-10-04T14:30:00Z,Buy,45.99,44.51,1,-1.48,1,-1.72,2.95,1.48,0,"	111,114" 
