Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,JPM,92.997141589,71,Market,Filled,6602.797052819,"" 
2018-02-01T15:00:00Z,LMT,285.097596805,23,Market,Filled,6557.244726515,"" 
2018-02-01T15:00:00Z,MSFT,87.184111809,76,Market,Filled,6625.992497484,"" 
2018-02-01T15:00:00Z,ADBE,199.76,33,Market,Filled,6592.08,"" 
2018-02-01T15:00:00Z,NKE,61.167737034,108,Market,Filled,6606.115599672,"" 
2018-02-01T15:00:00Z,MA,161.8793878,41,Market,Filled,6637.0548998,"" 
2018-02-01T15:00:00Z,NFLX,27.03,246,Market,Filled,6649.38,"" 
2018-02-01T15:00:00Z,NVDA,6.076371411,1097,Market,Filled,6665.779437867,"" 
2018-02-01T15:00:00Z,BLK,457.36525642,14,Market,Filled,6403.11358988,"" 
2018-02-01T15:00:00Z,GOOGL,58.6264553108,113,Market,Filled,6624.7894501204,"" 
2018-02-01T15:00:00Z,ABT,53.993468928,123,Market,Filled,6641.196678144,"" 
2018-02-01T15:00:00Z,ABBV,79.641950456,83,Market,Filled,6610.281887848,"" 
2018-02-01T15:00:00Z,AMZN,72.374310603,92,Market,Filled,6658.436575476,"" 
2018-02-01T15:00:00Z,CAT,136.980314124,48,Market,Filled,6575.055077952,"" 
2018-02-01T15:00:00Z,PYPL,84.86626824,78,Market,Filled,6619.56892272,"" 
2018-03-01T15:00:00Z,NKE,60.100753641,-108,Market,Filled,-6490.881393228,"Liquidated" 
2018-03-01T15:00:00Z,BLK,447.294754067,-14,Market,Filled,-6262.126556938,"Liquidated" 
2018-03-01T15:00:00Z,GOOGL,54.7435473488,-113,Market,Filled,-6186.0208504144,"Liquidated" 
2018-03-01T15:00:00Z,ABT,52.403892864,-123,Market,Filled,-6445.678822272,"Liquidated" 
2018-03-01T15:00:00Z,CAT,130.122041854,-48,Market,Filled,-6245.858008992,"Liquidated" 
2018-03-01T15:00:00Z,PYPL,78.98769762,-78,Market,Filled,-6161.04041436,"Liquidated" 
2018-03-01T15:00:00Z,MS,44.028437228,150,Market,Filled,6604.2655842,"" 
2018-03-01T15:00:00Z,INTU,159.589392534,41,Market,Filled,6543.165093894,"" 
2018-03-01T15:00:00Z,SQ,46.03,144,Market,Filled,6628.32,"" 
2018-03-01T15:00:00Z,ADBE,209.13,-2,Market,Filled,-418.26,"" 
2018-03-01T15:00:00Z,V,116.27290233,57,Market,Filled,6627.55543281,"" 
2018-03-01T15:00:00Z,MA,168.354563312,-2,Market,Filled,-336.709126624,"" 
2018-03-01T15:00:00Z,NFLX,29.138,-18,Market,Filled,-524.484,"" 
2018-03-01T15:00:00Z,AMZN,75.445089615,-4,Market,Filled,-301.78035846,"" 
2018-03-01T15:00:00Z,NVDA,5.98615072,13,Market,Filled,77.81995936,"" 
2018-03-01T15:00:00Z,AAPL,41.792420284,159,Market,Filled,6644.994825156,"" 
2018-03-01T15:00:00Z,ABBV,82.203948684,-3,Market,Filled,-246.611846052,"" 
2018-03-01T15:00:00Z,CRM,114.894008324,57,Market,Filled,6548.958474468,"" 
2018-03-28T14:30:00Z,JPM,86.967241339,-71,Market,Filled,-6174.674135069,"Liquidated" 
2018-03-28T14:30:00Z,MS,41.77278541,-150,Market,Filled,-6265.9178115,"Liquidated" 
2018-03-28T14:30:00Z,MSFT,82.486097058,-76,Market,Filled,-6268.943376408,"Liquidated" 
2018-03-28T14:30:00Z,V,111.042796995,-57,Market,Filled,-6329.439428715,"Liquidated" 
2018-03-28T14:30:00Z,MA,165.251076824,-39,Market,Filled,-6444.791996136,"Liquidated" 
2018-03-28T14:30:00Z,NFLX,30.069,-228,Market,Filled,-6855.732,"Liquidated" 
2018-03-28T14:30:00Z,ABBV,65.299018548,-80,Market,Filled,-5223.92148384,"Liquidated" 
2018-03-28T14:30:00Z,LMT,273.787610523,-23,Market,Filled,-6297.115042029,"Liquidated" 
2018-03-28T14:30:00Z,NVDA,5.5784988032,-1110,Market,Filled,-6192.133671552,"Liquidated" 
2018-03-28T14:30:00Z,AAPL,39.497732038,-159,Market,Filled,-6280.139394042,"Liquidated" 
2018-03-28T14:30:00Z,CRM,112.443779236,-57,Market,Filled,-6409.295416452,"Liquidated" 
2018-03-28T14:30:00Z,INTU,165.700960425,75,Market,Filled,12427.572031875,"" 
2018-03-28T14:30:00Z,SQ,51.06,235,Market,Filled,11999.1,"" 
2018-03-28T14:30:00Z,ADBE,213.8,59,Market,Filled,12614.2,"" 
2018-03-28T14:30:00Z,AMZN,74.676896035,171,Market,Filled,12769.749221985,"" 
2018-03-28T14:30:00Z,COP,44.904582106,431,Market,Filled,19353.874887686,"" 
2018-04-02T14:00:00Z,AMZN,72.197227018,-259,Market,Filled,-18699.081797662,"Liquidated" 
2018-04-02T14:00:00Z,INTU,165.796603115,-1,Market,Filled,-165.796603115,"" 
2018-04-02T14:00:00Z,SQ,49.19,10,Market,Filled,491.9,"" 
2018-04-02T14:00:00Z,ADBE,216.08,-2,Market,Filled,-432.16,"" 
2018-04-02T14:00:00Z,NFLX,29.535,648,Market,Filled,19138.68,"" 
2018-04-02T14:00:00Z,COP,45.02606897,-6,Market,Filled,-270.15641382,"" 
2018-04-04T14:30:00Z,NFLX,28.367,-648,Market,Filled,-18381.816,"Liquidated" 
2018-04-04T14:30:00Z,SQ,47.58,7,Market,Filled,333.06,"" 
2018-04-04T14:30:00Z,ADBE,215.93,-1,Market,Filled,-215.93,"" 
2018-04-04T14:30:00Z,NKE,59.98576456,314,Market,Filled,18835.53007184,"" 
2018-04-04T14:30:00Z,COP,45.580352787,-12,Market,Filled,-546.964233444,"" 
2018-05-01T14:00:00Z,SQ,47.34,-396,Market,Filled,-18746.64,"Liquidated" 
2018-05-01T14:00:00Z,ADBE,221.6,-87,Market,Filled,-19279.2,"Liquidated" 
2018-05-01T14:00:00Z,INTU,176.738126851,-4,Market,Filled,-706.952507404,"" 
2018-05-01T14:00:00Z,ISRG,146.926651974,134,Market,Filled,19688.171364516,"" 
2018-05-01T14:00:00Z,NFLX,31.246,630,Market,Filled,19684.98,"" 
2018-05-01T14:00:00Z,AMZN,78.122792951,252,Market,Filled,19686.943823652,"" 
2018-05-01T14:00:00Z,COP,49.73368495,-17,Market,Filled,-845.47264415,"" 
2018-05-02T14:30:00Z,NFLX,31.33,-630,Market,Filled,-19737.9,"Liquidated" 
2018-05-02T14:30:00Z,INTU,179.081372756,-1,Market,Filled,-179.081372756,"" 
2018-05-02T14:30:00Z,MSFT,87.584433,226,Market,Filled,19794.081858,"" 
2018-05-02T14:30:00Z,ISRG,149.183318415,-1,Market,Filled,-149.183318415,"" 
2018-05-02T14:30:00Z,AMZN,78.927400902,-1,Market,Filled,-78.927400902,"" 
2018-05-02T14:30:00Z,COP,49.893136459,1,Market,Filled,49.893136459,"" 
2018-06-01T14:00:00Z,INTU,192.81566304,-74,Market,Filled,-14268.35906496,"" 
2018-06-01T14:00:00Z,MSFT,91.519652616,-150,Market,Filled,-13727.9478924,"" 
2018-06-01T14:00:00Z,SQ,58.25,119,Market,Filled,6931.75,"" 
2018-06-01T14:00:00Z,ADBE,249.28,27,Market,Filled,6730.56,"" 
