Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:00:00Z,AAPL,170.813228076,39,Market,Filled,6661.715894964,"" 
2022-02-01T15:00:00Z,COP,74.899949082,89,Market,Filled,6666.095468298,"" 
2022-02-01T15:00:00Z,PEP,151.714643904,43,Market,Filled,6523.729687872,"" 
2022-02-01T15:00:00Z,LMT,347.729227784,19,Market,Filled,6606.855327896,"" 
2022-02-01T15:00:00Z,CVX,110.679009672,60,Market,Filled,6640.74058032,"" 
2022-02-01T15:00:00Z,AXP,171.70769043,38,Market,Filled,6524.89223634,"" 
2022-02-01T15:00:00Z,PG,144.90990163,46,Market,Filled,6665.85547498,"" 
2022-02-01T15:00:00Z,XOM,65.4123657,101,Market,Filled,6606.6489357,"" 
2022-02-01T15:00:00Z,MS,89.631946926,74,Market,Filled,6632.764072524,"" 
2022-02-01T15:00:00Z,UNH,438.302578847,15,Market,Filled,6574.538682705,"" 
2022-02-01T15:00:00Z,ABBV,118.26805269,56,Market,Filled,6623.01095064,"" 
2022-02-01T15:00:00Z,V,219.003826167,30,Market,Filled,6570.11478501,"" 
2022-02-01T15:00:00Z,KO,54.144630114,123,Market,Filled,6659.789504022,"" 
2022-02-01T15:00:00Z,RTX,82.09310256,81,Market,Filled,6649.54130736,"" 
2022-02-01T15:00:00Z,MCD,235.439796485,28,Market,Filled,6592.31430158,"" 
2022-03-01T15:00:00Z,AAPL,161.578060416,-39,Market,Filled,-6301.544356224,"Liquidated" 
2022-03-01T15:00:00Z,MS,79.308626337,-74,Market,Filled,-5868.838348938,"Liquidated" 
2022-03-01T15:00:00Z,UNH,441.363286277,-15,Market,Filled,-6620.449294155,"Liquidated" 
2022-03-01T15:00:00Z,V,209.61273486,-30,Market,Filled,-6288.3820458,"Liquidated" 
2022-03-01T15:00:00Z,MCD,223.353971235,-28,Market,Filled,-6253.91119458,"Liquidated" 
2022-03-01T15:00:00Z,COP,80.577157464,-5,Market,Filled,-402.88578732,"" 
2022-03-01T15:00:00Z,PEP,143.163645648,4,Market,Filled,572.654582592,"" 
2022-03-01T15:00:00Z,NVDA,24.3356667065,279,Market,Filled,6789.6510111135,"" 
2022-03-01T15:00:00Z,AMD,123.34,55,Market,Filled,6783.7,"" 
2022-03-01T15:00:00Z,ABNB,151.49,44,Market,Filled,6665.56,"" 
2022-03-01T15:00:00Z,LMT,390.230156995,-2,Market,Filled,-780.46031399,"" 
2022-03-01T15:00:00Z,CVX,122.6215008,-5,Market,Filled,-613.107504,"" 
2022-03-01T15:00:00Z,XOM,68.324678411,-2,Market,Filled,-136.649356822,"" 
2022-03-01T15:00:00Z,AXP,185.70632652,-2,Market,Filled,-371.41265304,"" 
2022-03-01T15:00:00Z,PG,140.764716235,2,Market,Filled,281.52943247,"" 
2022-03-01T15:00:00Z,ABBV,127.71532168,-3,Market,Filled,-383.14596504,"" 
2022-03-01T15:00:00Z,QCOM,156.272246676,43,Market,Filled,6719.706607068,"" 
2022-03-01T15:00:00Z,RTX,93.99973869,-9,Market,Filled,-845.99764821,"" 
2022-03-01T15:00:00Z,COST,495.12429495,13,Market,Filled,6436.61583435,"" 
2022-03-16T14:30:00Z,NVDA,22.930431031,-279,Market,Filled,-6397.590257649,"Liquidated" 
2022-03-16T14:30:00Z,ABNB,143.95,-44,Market,Filled,-6333.8,"Liquidated" 
2022-03-16T14:30:00Z,AXP,168.09821946,-36,Market,Filled,-6051.53590056,"Liquidated" 
2022-03-16T14:30:00Z,PEP,139.9336581,-47,Market,Filled,-6576.8819307,"Liquidated" 
2022-03-16T14:30:00Z,AMD,109.33,-55,Market,Filled,-6013.15,"Liquidated" 
2022-03-16T14:30:00Z,LMT,403.596113277,-17,Market,Filled,-6861.133925709,"Liquidated" 
2022-03-16T14:30:00Z,PG,135.707409435,-48,Market,Filled,-6513.95565288,"Liquidated" 
2022-03-16T14:30:00Z,KO,53.316067376,-123,Market,Filled,-6557.876287248,"Liquidated" 
2022-03-16T14:30:00Z,QCOM,131.577593367,-43,Market,Filled,-5657.836514781,"Liquidated" 
2022-03-16T14:30:00Z,RTX,89.350092414,-72,Market,Filled,-6433.206653808,"Liquidated" 
2022-03-16T14:30:00Z,COP,80.73854962,162,Market,Filled,13079.64503844,"" 
2022-03-16T14:30:00Z,XOM,67.322594746,196,Market,Filled,13195.228570216,"" 
2022-03-16T14:30:00Z,CVX,134.79849706,92,Market,Filled,12401.46172952,"" 
2022-03-16T14:30:00Z,ABBV,134.73378684,94,Market,Filled,12664.97596296,"" 
2022-03-16T14:30:00Z,COST,517.122402768,25,Market,Filled,12928.0600692,"" 
2022-04-01T14:00:00Z,AAPL,170.864493273,40,Market,Filled,6834.57973092,"" 
2022-04-01T14:00:00Z,COP,85.19708,-165,Market,Filled,-14057.5182,"" 
2022-04-01T14:00:00Z,AVGO,58.7229996864,118,Market,Filled,6929.3139629952,"" 
2022-04-01T14:00:00Z,NVDA,27.235439042,255,Market,Filled,6945.03695571,"" 
