Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2025-02-03T15:00:00Z,"AXP",2025-03-03T15:00:00Z,Buy,314.10737848,297.791011584,21,-342.64,2,-499.52,64,563.52,0,"	1,16" 
2025-02-03T15:00:00Z,"GE",2025-03-03T15:00:00Z,Buy,202.122108375,205.50785475,32,108.34,2,-154.41,220.18,374.6,1,"	3,17" 
2025-02-03T15:00:00Z,"AMZN",2025-03-03T15:00:00Z,Buy,237.68,212.28,28,-711.2,2,-810.32,122.64,932.96,0,"	4,18" 
2025-02-03T15:00:00Z,"CRM",2025-03-03T15:00:00Z,Buy,339.4837338,295.9181449,19,-827.75,2,-883.43,117.6,1001.03,0,"	10,19" 
2025-02-03T15:00:00Z,"BLK",2025-03-03T15:00:00Z,Buy,1048.0616289,952.834681084,6,-571.36,2,-763.67,0,763.67,0,"	15,20" 
2025-02-03T15:00:00Z,"V",2025-03-03T15:00:00Z,Buy,338.69105556,360.015608765,1,21.32,2,0,21.32,8.14,1,"	7,23" 
2025-02-03T15:00:00Z,"NFLX",2025-03-03T15:00:00Z,Buy,97.676,98.056,2,0.76,2,-2.74,16.37,19.11,1,"	9,24" 
2025-02-03T15:00:00Z,"ABT",2025-03-03T15:00:00Z,Buy,125.573772467,135.448486381,5,49.37,2,0,49.37,18.85,1,"	12,28" 
2025-02-03T15:00:00Z,"RTX",2025-03-03T15:00:00Z,Buy,126.170805125,130.782299505,2,9.22,2,-12.8,9.22,14.7,1,"	13,29" 
2025-02-03T15:00:00Z,"MA",2025-03-03T15:00:00Z,Buy,552.241442999,573.001577183,1,20.76,2,0,20.76,11.04,1,"	14,30" 
2025-02-03T15:00:00Z,"JPM",2025-03-19T14:30:00Z,Buy,261.92922129,230.248818281,25,-792.01,2,-1031.6,309.9,1341.49,0,"	2,32" 
2025-02-03T15:00:00Z,"ISRG",2025-03-19T14:30:00Z,Buy,571.88,483.95,11,-967.23,2,-1046.1,402.6,1448.7,0,"	5,34" 
2025-02-03T15:00:00Z,"MS",2025-03-19T14:30:00Z,Buy,134.812228851,115.023277827,49,-969.66,2,-1276.49,126.46,1402.95,0,"	6,35" 
2025-02-03T15:00:00Z,"V",2025-03-19T14:30:00Z,Buy,338.69105556,332.283161055,18,-115.34,1,-226.47,383.84,610.31,0,"	7,36" 
2025-02-03T15:00:00Z,"GS",2025-03-19T14:30:00Z,Buy,624.3064278,540.580852408,10,-837.26,2,-1101.48,309.91,1411.39,0,"	8,37" 
2025-02-03T15:00:00Z,"NFLX",2025-03-19T14:30:00Z,Buy,97.676,92.998,66,-308.75,1,-726.53,540.14,1266.67,0,"	9,38" 
2025-02-03T15:00:00Z,"META",2025-03-19T14:30:00Z,Buy,687.013631588,581.04590466,9,-953.71,2,-953.71,426.07,1379.78,0,"	11,41" 
2025-02-03T15:00:00Z,"ABT",2025-03-19T14:30:00Z,Buy,125.573772467,123.97379397,48,-76.8,1,-76.8,579.05,655.85,0,"	12,42" 
2025-02-03T15:00:00Z,"MA",2025-03-19T14:30:00Z,Buy,552.241442999,527.146338267,11,-276.05,1,-389.35,228.36,617.71,0,"	14,43" 
