Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:00:00Z,"HD",2016-03-01T15:00:00Z,Buy,99.10755744,97.81512428,67,-86.59,2,-734.46,58.08,774.06,0,"	4,21" 
2016-02-01T15:00:00Z,"PEP",2016-03-01T15:00:00Z,Buy,73.292740638,72.367887763,90,-83.24,2,-143.17,107.21,190.45,0,"	9,22" 
2016-02-01T15:00:00Z,"MSFT",2016-03-01T15:00:00Z,Buy,48.127544003,44.768762496,138,-463.51,2,-700.45,0,700.45,0,"	12,23" 
2016-02-01T15:00:00Z,"MCD",2016-03-01T15:00:00Z,Buy,97.031005842,92.561068344,68,-303.96,2,-446.7,44.24,490.94,0,"	13,24" 
2016-02-01T15:00:00Z,"GOOGL",2016-03-01T15:00:00Z,Buy,37.7820318175,35.592078361,176,-385.43,2,-526.92,170.84,697.76,0,"	14,25" 
2016-02-01T15:00:00Z,"QCOM",2016-03-01T15:00:00Z,Sell,34.20791917,38.67948003,58,-259.35,2,-275.69,104.15,379.83,0,"	18,26" 
2016-02-01T15:00:00Z,"AXP",2016-03-01T15:00:00Z,Sell,46.6127952,48.425030976,42,-76.11,2,-77.94,87.46,165.4,0,"	19,27" 
2016-02-01T15:00:00Z,"KO",2016-03-01T15:00:00Z,Buy,31.344463124,31.497826061,3,0.46,2.06,-1.12,2.72,2.26,1,"	2,30" 
2016-02-01T15:00:00Z,"NKE",2016-03-01T15:00:00Z,Buy,54.579620745,54.209947455,1,-0.37,2,-6.13,1.01,7.15,0,"	3,31" 
2016-02-01T15:00:00Z,"UNH",2016-03-01T15:00:00Z,Buy,98.097180408,101.45340558,2,6.71,2,-8.76,10.51,10,1,"	5,33" 
2016-02-01T15:00:00Z,"LMT",2016-03-01T15:00:00Z,Buy,161.5384772,166.453867563,2,9.83,2,-7.53,13.83,15.16,1,"	6,34" 
2016-02-01T15:00:00Z,"XOM",2016-03-01T15:00:00Z,Buy,49.904380125,51.844907275,6,11.64,2,-12.54,20.76,12.54,1,"	10,36" 
2016-02-01T15:00:00Z,"HON",2016-03-01T15:00:00Z,Buy,74.870129961707,74.262654024541,1,-0.61,2,-1.51,3.31,3.92,0,"	8,37" 
2016-02-01T15:00:00Z,"GE",2016-03-01T15:00:00Z,Buy,128.16391000409,129.36752076771,1,1.2,2,-7.27,2.36,7.62,1,"	15,38" 
2016-02-01T15:00:00Z,"ISRG",2016-03-01T15:00:00Z,Buy,60.0943789415,62.5621540294,5,12.34,2,-18.65,14.79,24.81,1,"	11,42" 
2016-02-01T15:00:00Z,"ABT",2016-03-01T15:00:00Z,Sell,31.383376705,32.121321362,2,-1.48,2,-2.95,2.55,5.51,0,"	20,47" 
2016-02-01T15:00:00Z,"XOM",2016-04-01T14:00:00Z,Buy,49.904380125,54.070066115,127,529.04,1,-265.4,606.26,265.4,1,"	10,48" 
2016-02-01T15:00:00Z,"NKE",2016-04-01T14:00:00Z,Buy,54.579620745,54.243814239,121,-40.63,1,-742.31,325.61,864.79,0,"	3,49" 
2016-02-01T15:00:00Z,"UNH",2016-04-01T14:00:00Z,Buy,98.097180408,110.25449899,65,790.23,1,-284.6,841.93,325.02,1,"	5,51" 
2016-02-01T15:00:00Z,"LMT",2016-04-01T14:00:00Z,Buy,161.5384772,170.85838855,39,363.48,1,-146.9,407.4,295.59,1,"	6,52" 
2016-02-01T15:00:00Z,"ISRG",2016-04-01T14:00:00Z,Buy,60.0943789415,66.7832605395,105,702.33,1,-391.65,725.9,520.92,1,"	11,53" 
2016-02-01T15:00:00Z,"COP",2016-04-01T14:00:00Z,Sell,28.140656056,29.223459787,71,-76.88,2,-218.57,356.44,575.01,0,"	16,56" 
