Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,ADBE,199.76,33,Market,Filled,6592.08,"" 
2018-02-01T15:00:00Z,PYPL,85.123217952,78,Market,Filled,6639.611000256,"" 
2018-02-01T15:00:00Z,ABBV,79.641950456,83,Market,Filled,6610.281887848,"" 
2018-02-01T15:00:00Z,AMZN,72.374310603,92,Market,Filled,6658.436575476,"" 
2018-02-01T15:00:00Z,SQ,46.91,142,Market,Filled,6661.22,"" 
2018-02-01T15:00:00Z,NKE,61.573741542,108,Market,Filled,6649.964086536,"" 
2018-02-01T15:00:00Z,NFLX,27.03,246,Market,Filled,6649.38,"" 
2018-02-01T15:00:00Z,MSFT,87.184111809,76,Market,Filled,6625.992497484,"" 
2018-02-01T15:00:00Z,BLK,459.91144638,14,Market,Filled,6438.76024932,"" 
2018-02-01T15:00:00Z,V,117.3076058,56,Market,Filled,6569.2259248,"" 
2018-02-01T15:00:00Z,JPM,92.997141589,71,Market,Filled,6602.797052819,"" 
2018-02-01T15:00:00Z,AXP,89.6319123,74,Market,Filled,6632.7615102,"" 
2018-02-01T15:00:00Z,CAT,136.980314124,48,Market,Filled,6575.055077952,"" 
2018-02-01T15:00:00Z,MA,161.8793878,41,Market,Filled,6637.0548998,"" 
2018-02-01T15:00:00Z,NVDA,6.07670447,1097,Market,Filled,6666.14480359,"" 
2018-02-01T15:00:00Z,AVGO,19.9052210384,-100,Market,Filled,-1990.52210384,"" 
2018-02-01T15:00:00Z,LLY,72.16655706,-27,Market,Filled,-1948.49704062,"" 
2018-02-01T15:00:00Z,GE,75.920754779215,-26,Market,Filled,-1973.9396242596,"" 
2018-02-01T15:00:00Z,MCD,141.855241988,-14,Market,Filled,-1985.973387832,"" 
2018-02-01T15:00:00Z,PG,69.89594262,-28,Market,Filled,-1957.08639336,"" 
2018-03-01T15:00:00Z,PYPL,79.226848776,-78,Market,Filled,-6179.694204528,"Liquidated" 
2018-03-01T15:00:00Z,NKE,60.499675983,-108,Market,Filled,-6533.965006164,"Liquidated" 
2018-03-01T15:00:00Z,AXP,87.91862625,-74,Market,Filled,-6505.9783425,"Liquidated" 
2018-03-01T15:00:00Z,CAT,130.122041854,-48,Market,Filled,-6245.858008992,"Liquidated" 
2018-03-01T15:00:00Z,AVGO,19.7792233888,100,Market,Filled,1977.92233888,"Liquidated" 
2018-03-01T15:00:00Z,MCD,131.57535072,14,Market,Filled,1842.05491008,"Liquidated" 
2018-03-01T15:00:00Z,ADBE,209.13,-1,Market,Filled,-209.13,"" 
2018-03-01T15:00:00Z,ABBV,82.203948684,-2,Market,Filled,-164.407897368,"" 
2018-03-01T15:00:00Z,ISRG,142.149985785,47,Market,Filled,6681.049331895,"" 
2018-03-01T15:00:00Z,LMT,286.252085196,23,Market,Filled,6583.797959508,"" 
2018-03-01T15:00:00Z,AMZN,75.445089615,-4,Market,Filled,-301.78035846,"" 
2018-03-01T15:00:00Z,SQ,46.03,3,Market,Filled,138.09,"" 
