Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:00:00Z,"AAPL",2022-03-01T15:00:00Z,Buy,170.813228076,161.578060416,39,-360.17,2,-552.9,65.73,618.63,0,"	1,21" 
2022-02-01T15:00:00Z,"MS",2022-03-01T15:00:00Z,Buy,89.631946926,79.308626337,74,-763.93,2,-763.93,400.4,1164.32,0,"	3,22" 
2022-02-01T15:00:00Z,"MRK",2022-03-01T15:00:00Z,Buy,72.00941088,67.70334714,92,-396.16,2,-645.08,46.37,691.45,0,"	5,23" 
2022-02-01T15:00:00Z,"PEP",2022-03-01T15:00:00Z,Buy,153.069609528,144.442242186,43,-370.98,2,-370.98,73.97,444.94,0,"	15,24" 
2022-02-01T15:00:00Z,"MCD",2022-03-01T15:00:00Z,Buy,236.75502637,224.60168631,28,-340.29,2,-368.44,72.31,440.75,0,"	9,25" 
2022-02-01T15:00:00Z,"DIS",2022-03-01T15:00:00Z,Sell,139.66106358,145.044291704,14,-75.37,2,-183.28,40.49,223.77,0,"	17,26" 
2022-02-01T15:00:00Z,"SQ",2022-03-01T15:00:00Z,Sell,122.29,127.51,16,-83.52,2,-85.12,537.12,620.64,0,"	19,27" 
2022-02-01T15:00:00Z,"AXP",2022-03-01T15:00:00Z,Buy,171.70769043,185.70632652,2,28,2,0,35.46,19.29,1,"	2,30" 
2022-02-01T15:00:00Z,"COP",2022-03-01T15:00:00Z,Buy,74.899949082,80.577157464,4,22.71,2,-1.52,22.71,19.67,1,"	4,32" 
2022-02-01T15:00:00Z,"CVX",2022-03-01T15:00:00Z,Buy,110.679009672,122.6215008,5,59.71,2,0,59.71,21.28,1,"	6,33" 
2022-02-01T15:00:00Z,"ABBV",2022-03-01T15:00:00Z,Buy,118.26805269,127.71532168,3,28.34,2,0,32.96,4.82,1,"	8,34" 
