Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:15:00Z,"FISV",2020-03-02T15:15:00Z,Buy,118.61,109.36,56,-518,2,-563.92,295.68,859.6,0,"	1,26" 
2020-02-03T15:15:00Z,"MCO",2020-03-02T15:15:00Z,Buy,243.597233997,228.168341478,27,-416.58,2,-416.58,730.48,1147.06,0,"	2,27" 
2020-02-03T15:15:00Z,"TDG",2020-03-02T15:15:00Z,Buy,534.656511136,463.618872772,12,-852.45,2,-935.63,123.57,1059.21,0,"	6,28" 
2020-02-03T15:15:00Z,"AAPL",2020-03-02T15:15:00Z,Buy,74.51450928675,65.967590568,89,-760.68,2,-760.68,395.68,1156.35,0,"	8,29" 
2020-02-03T15:15:00Z,"KSU",2020-03-02T15:15:00Z,Buy,166.017039474,148.292415128,40,-708.98,2,-708.98,335.01,1043.99,0,"	9,30" 
2020-02-03T15:15:00Z,"INFO",2020-03-02T15:15:00Z,Buy,77.437042274,70.10204786,86,-630.81,2,-630.81,204.45,835.26,0,"	11,31" 
2020-02-03T15:15:00Z,"TIF",2020-03-02T15:15:00Z,Buy,131.43180576,131.01010992,50,-21.08,2,-50.02,16.67,66.69,0,"	12,32" 
2020-02-03T15:15:00Z,"BX",2020-03-02T15:15:00Z,Buy,49.133673076,43.667275008,135,-737.96,2,-789.5,429.87,1219.37,0,"	13,33" 
2020-02-03T15:15:00Z,"GOOGL",2020-03-02T15:15:00Z,Buy,71.101779139,66.4603482125,93,-431.65,2,-543.8,425.01,968.81,0,"	14,34" 
2020-02-03T15:15:00Z,"GOOG",2020-03-02T15:15:00Z,Buy,71.17765808055,66.46798128405,93,-438,2,-536.03,426.74,962.77,0,"	15,35" 
2020-02-03T15:15:00Z,"XLNX",2020-03-02T15:15:00Z,Sell,82.897714944,82.281832908,24,14.78,2,-166.87,109.39,166.87,1,"	16,36" 
2020-02-03T15:15:00Z,"AA",2020-03-02T15:15:00Z,Sell,13.32472752,13.248313312,150,11.46,2,-394.01,70.21,394.01,1,"	18,37" 
2020-02-03T15:15:00Z,"CXO",2020-03-02T15:15:00Z,Sell,74.671293132,67.220921446,26,193.71,2,-170.88,284.41,174.98,1,"	20,38" 
2020-02-03T15:15:00Z,"X",2020-03-02T15:15:00Z,Sell,8.775342954,7.776256962,227,226.79,2.27,-94.54,281.82,139.76,1,"	21,39" 
2020-02-03T15:15:00Z,"ALXN",2020-03-02T15:15:00Z,Sell,99.39,94.03,20,107.2,2,-116,146,116,1,"	23,40" 
2020-02-03T15:15:00Z,"ADS",2020-03-02T15:15:00Z,Sell,75.264495395343,63.263642746387,26,312.02,2,-77.29,312.02,119.18,1,"	25,41" 
2020-02-03T15:15:00Z,"ENPH",2020-03-02T15:15:00Z,Buy,31.52,48.97,70,1221.5,2.055,0,1929.9,723.1,1,"	3,43" 
2020-02-03T15:15:00Z,"RNG",2020-03-02T15:15:00Z,Buy,205.58,235.75,3,90.51,2,-1.26,129.63,43.92,1,"	4,44" 
2020-02-03T15:15:00Z,"NLOK",2020-03-02T15:15:00Z,Buy,15.128289988,17.639024986,48,120.52,3.2,0,193.26,77.19,1,"	7,53" 
2020-02-03T15:15:00Z,"DXCM",2020-03-02T15:15:00Z,Buy,60.1875,69,10,88.12,2,-9.15,154.4,66.28,1,"	10,55" 
2020-02-03T15:15:00Z,"ENPH",2020-03-18T14:30:00Z,Buy,31.52,29.28,141,-315.84,1,-573.87,3887.37,4461.24,0,"	3,67" 
2020-02-03T15:15:00Z,"RNG",2020-03-18T14:30:00Z,Buy,205.58,163.25,29,-1227.57,1,-1931.98,1253.09,3185.07,0,"	4,69" 
2020-02-03T15:15:00Z,"TSLA",2020-03-18T14:30:00Z,Buy,43.3713289962,28.679997132,153,-2247.77,2,-2247.77,2721.87,4969.64,0,"	5,70" 
2020-02-03T15:15:00Z,"NLOK",2020-03-18T14:30:00Z,Buy,15.128289988,15.423719168,392,115.81,1.96,0,1578.28,1462.47,1,"	7,75" 
2020-02-03T15:15:00Z,"DXCM",2020-03-18T14:30:00Z,Buy,60.1875,49.685,100,-1050.25,1,-1050.25,1544,2594.25,0,"	10,79" 
2020-02-03T15:15:00Z,"M",2020-04-01T14:15:00Z,Sell,12.875390275,4.1235133275,155,1356.54,2,-187.68,1370.22,234.55,1,"	19,84" 
2020-02-03T15:15:00Z,"DD",2020-04-01T14:15:00Z,Sell,7.9534079707679,5.3340598640835,251,657.46,2.8,-113.53,878.9,294.08,1,"	22,86" 
2020-02-03T15:15:00Z,"FANG",2020-05-01T14:15:00Z,Sell,60.2627352,35.481264126,33,817.79,2,-130.71,1570.23,769.92,1,"	24,113" 
2020-02-03T15:15:00Z,"AAL",2020-07-01T14:15:00Z,Sell,26.741177804,13.07,74,1011.67,2,-275.93,1309.89,833.98,1,"	17,199" 
2020-03-02T15:15:00Z,"DOCU",2020-03-18T14:30:00Z,Buy,86.31,70.94,80,-1229.6,2,-1410.4,259.2,1669.6,0,"	42,68" 
2020-03-02T15:15:00Z,"TSLA",2020-03-18T14:30:00Z,Buy,44.5326622134,28.679997132,2,-31.71,1,-31.71,33.26,42.57,0,"	45,70" 
2020-03-02T15:15:00Z,"SEDG",2020-03-18T14:30:00Z,Buy,124.72,84.71,55,-2200.55,2,-2394.15,705.1,3099.25,0,"	46,71" 
2020-03-02T15:15:00Z,"PODD",2020-03-18T14:30:00Z,Buy,189.97,130.11,36,-2154.96,2,-2154.96,0,2154.96,0,"	47,72" 
2020-03-02T15:15:00Z,"APT",2020-03-18T14:30:00Z,Buy,20.4,12.36,339,-2725.56,3.39,-3793.41,0,3793.41,0,"	48,73" 
2020-03-02T15:15:00Z,"NVAX",2020-03-18T14:30:00Z,Buy,16,9.5,432,-2808,4.32,-3926.88,0,3926.88,0,"	50,74" 
2020-03-02T15:15:00Z,"CODX",2020-03-18T14:30:00Z,Buy,396.9,320.4,17,-1300.5,2,-3233.4,2335.8,5569.2,0,"	49,76" 
2020-03-02T15:15:00Z,"MRNA",2020-03-18T14:30:00Z,Buy,25.93,28.18,266,598.5,2.66,-1231.58,1050.7,2282.28,1,"	51,77" 
2020-03-02T15:15:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,6.725509323625,5.410639503625,1028,-1351.69,10.28,-1885.96,369.67,2255.63,0,"	52,78" 
2020-03-02T15:15:00Z,"SHOP",2020-03-18T14:30:00Z,Buy,46.3,35.509,149,-1607.86,2,-2096.58,744.26,2840.83,0,"	56,80" 
2020-03-02T15:15:00Z,"TDOC",2020-04-01T14:15:00Z,Buy,124.96,155.01,55,1652.75,2,-452.1,2336.95,1613.15,1,"	54,81" 
2020-03-02T15:15:00Z,"VMW",2020-04-01T14:15:00Z,Sell,98.858807828,99.33456379,20,-9.52,2,-82.85,451.31,520.21,0,"	57,82" 
2020-03-02T15:15:00Z,"W",2020-04-01T14:15:00Z,Sell,63.205,53.44,32,312.48,2,0,1269.92,1009.92,1,"	59,83" 
2020-03-02T15:15:00Z,"M",2020-04-01T14:15:00Z,Sell,10.67164009,4.1235133275,39,255.38,1,-133.17,258.82,59.02,1,"	60,84" 
2020-03-02T15:15:00Z,"LYFT",2020-04-01T14:15:00Z,Sell,38.12,26.85,54,608.58,2,-116.1,1191.78,750.06,1,"	62,85" 
2020-03-02T15:15:00Z,"DD",2020-04-01T14:15:00Z,Sell,6.7105914419115,5.3340598640835,58,79.84,1,-98.32,131.01,67.95,1,"	63,86" 
2020-03-02T15:15:00Z,"BYND",2020-04-01T14:15:00Z,Sell,89.65,66.6,23,530.15,2,-281.52,819.49,436.54,1,"	66,87" 
2020-03-02T15:15:00Z,"OXY",2020-05-01T14:15:00Z,Sell,29.89083985,15.619294889,69,984.74,2,-15.11,1434.39,460.68,1,"	64,109" 
2020-03-02T15:15:00Z,"FANG",2020-05-01T14:15:00Z,Sell,50.218946,35.481264126,8,117.9,1,-112.04,300.31,186.65,1,"	65,113" 
2020-03-02T15:15:00Z,"UAL",2020-06-01T14:15:00Z,Sell,61.59,28.04,33,1107.15,2,0,1375.11,505.56,1,"	61,152" 
2020-03-02T15:15:00Z,"AAL",2020-07-01T14:15:00Z,Sell,19.05,13.07,34,203.32,1,-388.28,340.34,383.18,1,"	58,199" 
2020-04-01T14:15:00Z,"DOCU",2020-05-01T14:15:00Z,Buy,92.4,104.75,190,2346.5,2,-2546,3011.5,2546,1,"	88,103" 
2020-04-01T14:15:00Z,"REGN",2020-05-01T14:15:00Z,Buy,485.013378784,522.351134848,36,1344.16,2,0,2878.55,1882.32,1,"	89,104" 
2020-04-01T14:15:00Z,"KR",2020-05-01T14:15:00Z,Buy,26.54214299,27.836666885,661,855.68,6.61,0,1827.78,1018.67,1,"	91,105" 
2020-04-01T14:15:00Z,"LM",2020-05-01T14:15:00Z,Buy,48.45826208,49.430403264,362,351.92,3.62,-61.05,351.92,143.64,1,"	92,106" 
2020-04-01T14:15:00Z,"VTR",2020-05-01T14:15:00Z,Sell,22.06169568,26.63044236,79,-360.93,2,-455.23,278.34,733.57,0,"	93,107" 
2020-04-01T14:15:00Z,"CCL",2020-05-01T14:15:00Z,Sell,13.094471214,15.816886932,134,-364.8,2,-471.51,691.59,1163.1,0,"	98,108" 
2020-04-01T14:15:00Z,"OXY",2020-05-01T14:15:00Z,Sell,10.879906193,15.619294889,92,-436.02,1,-1769.16,163.51,521.24,0,"	101,109" 
2020-04-01T14:15:00Z,"RCL",2020-05-01T14:15:00Z,Sell,31.614462704,45.962338224,55,-789.13,2,-858.86,421.05,1279.91,0,"	94,110" 
2020-04-01T14:15:00Z,"TLRY",2020-05-01T14:15:00Z,Sell,68.8,80.5,25,-292.5,2,-380,335,715,0,"	96,111" 
2020-04-01T14:15:00Z,"NCLH",2020-05-01T14:15:00Z,Sell,10.95,16.4,160,-872,2,-875.2,408.8,1284,0,"	99,112" 
2020-04-01T14:15:00Z,"FANG",2020-05-01T14:15:00Z,Sell,21.35069178,35.481264126,41,-579.35,1,-1757.79,355.5,638.83,0,"	102,113" 
2020-04-01T14:15:00Z,"NLOK",2020-05-01T14:15:00Z,Buy,17.342415002,19.715294874,706,1675.25,8.59,-274.85,1681.8,680.57,1,"	90,121" 
2020-04-01T14:15:00Z,"AIG",2020-05-01T14:15:00Z,Sell,21.010187875,22.032539285,1,-1.02,2,-2.58,3.28,5.87,0,"	100,136" 
2020-04-01T14:15:00Z,"NLOK",2020-06-01T14:15:00Z,Buy,17.342415002,21.114923236,306,1154.39,1.53,-119.13,1154.39,473.67,1,"	90,146" 
2020-04-01T14:15:00Z,"UAL",2020-06-01T14:15:00Z,Sell,31.55,28.04,22,77.22,1,-660.88,255.86,236.94,1,"	97,152" 
2020-04-01T14:15:00Z,"AIG",2020-06-01T14:15:00Z,Sell,21.010187875,26.04396897,82,-412.77,1,-515.78,269.26,785.04,0,"	100,158" 
2020-04-01T14:15:00Z,"AAL",2020-07-01T14:15:00Z,Sell,12.19,13.07,36,-31.68,1,-658.08,113.4,405.72,0,"	95,199" 
2020-05-01T14:15:00Z,"ENPH",2020-06-01T14:15:00Z,Buy,46.83,58.19,128,1454.08,2,-458.24,2586.88,1438.72,1,"	115,139" 
2020-05-01T14:15:00Z,"TSLA",2020-06-01T14:15:00Z,Buy,52.1253281208,55.6666611,115,407.25,2,-617.63,407.25,617.63,1,"	116,140" 
2020-05-01T14:15:00Z,"NEM",2020-06-01T14:15:00Z,Buy,50.048708448,49.198856472,120,-101.98,2,-101.98,850.19,952.17,0,"	117,141" 
2020-05-01T14:15:00Z,"AMZN",2020-06-01T14:15:00Z,Buy,123.4097998,121.832009999,48,-75.73,2,-450.05,57.32,450.05,0,"	118,142" 
2020-05-01T14:15:00Z,"NFLX",2020-06-01T14:15:00Z,Buy,41.985,41.973,143,-1.72,2,-91.66,491.06,582.72,0,"	119,143" 
2020-05-01T14:15:00Z,"AAPL",2020-06-01T14:15:00Z,Buy,70.90019794,76.933388427,85,512.82,2,-97.02,539.35,151.38,1,"	123,144" 
2020-05-01T14:15:00Z,"MRNA",2020-06-01T14:15:00Z,Buy,45.99,61.5,131,2031.81,2,0,4455.31,3644.42,1,"	122,145" 
2020-05-01T14:15:00Z,"INO",2020-06-01T14:15:00Z,Buy,144.36,177,41,1338.24,2,-861,1849.92,1279.2,1,"	124,147" 
2020-05-01T14:15:00Z,"DXCM",2020-06-01T14:15:00Z,Buy,83.8,94.5775,72,775.98,2,0,1550.88,1111.14,1,"	126,148" 
2020-05-01T14:15:00Z,"GOLD",2020-06-01T14:15:00Z,Buy,23.092075491,21.6026592,261,-388.74,2.61,-423.98,576.23,1000.21,0,"	127,149" 
2020-05-01T14:15:00Z,"SHOP",2020-06-01T14:15:00Z,Buy,63.229,75.78,95,1192.34,2,-180.02,1832.36,767.03,1,"	128,150" 
2020-05-01T14:15:00Z,"LUV",2020-06-01T14:15:00Z,Sell,29.065511684,29.86565061,62,-49.61,2,-139.6,425.13,564.73,0,"	130,151" 
2020-05-01T14:15:00Z,"UAL",2020-06-01T14:15:00Z,Sell,29.58,28.04,6,9.24,1,-192.06,57.96,64.62,1,"	131,152" 
2020-05-01T14:15:00Z,"BUD",2020-06-01T14:15:00Z,Sell,43.197350868,43.531638192,41,-13.71,2,-36.55,266.5,303.05,0,"	134,153" 
2020-05-01T14:15:00Z,"JBLU",2020-06-01T14:15:00Z,Sell,9.74,10.07,185,-61.05,2,-214.6,342.25,556.85,0,"	135,154" 
2020-05-01T14:15:00Z,"BA",2020-06-01T14:15:00Z,Sell,140.87,145.85,12,-59.76,2,-107.4,250.44,357.84,0,"	137,155" 
2020-05-01T14:15:00Z,"DAL",2020-06-01T14:15:00Z,Sell,25.14814128,24.459284015,71,48.91,2,-27.55,463.6,491.16,1,"	138,156" 
2020-05-01T14:15:00Z,"SU",2020-06-01T14:15:00Z,Sell,13.859827065,13.293010608,130,73.69,2,-50.47,206.93,257.4,1,"	133,157" 
2020-05-01T14:15:00Z,"IPHI",2020-06-01T14:15:00Z,Buy,96.48,125.62,8,233.12,2,-34.24,233.12,58.16,1,"	120,164" 
2020-05-01T14:15:00Z,"OKTA",2020-06-01T14:15:00Z,Buy,151.3,195.58,5,221.4,2,-12.3,221.4,65.35,1,"	125,168" 
2020-05-01T14:15:00Z,"IPHI",2020-07-01T14:15:00Z,Buy,96.48,117.6,54,1140.48,1,-231.12,1573.56,885.06,1,"	120,184" 
2020-05-01T14:15:00Z,"OKTA",2020-07-01T14:15:00Z,Buy,151.3,200.23,34,1663.62,1,-83.64,1818.32,880.94,1,"	125,186" 
2020-05-01T14:15:00Z,"SGEN",2020-07-01T14:15:00Z,Buy,137.23,169.92,43,1405.67,2,0,1457.7,732.72,1,"	114,189" 
2020-05-01T14:15:00Z,"AAL",2020-07-01T14:15:00Z,Sell,12.01,13.07,6,-6.36,1,-110.76,17.82,67.62,0,"	129,199" 
2020-05-01T14:15:00Z,"WFC",2020-08-03T14:15:00Z,Sell,24.997734237,21.329447798,72,264.12,2,-309.4,373.63,683.03,1,"	132,239" 
2020-06-01T14:15:00Z,"DEAC",2020-07-01T14:15:00Z,Buy,39.7,33.26,172,-1107.68,2,-1107.68,688,1795.68,0,"	163,183" 
2020-06-01T14:15:00Z,"MASI",2020-07-01T14:15:00Z,Buy,240.19,227.99,28,-341.6,2,-721,0,721,0,"	165,185" 
2020-06-01T14:15:00Z,"VRTX",2020-07-01T14:15:00Z,Buy,287.96,290.31,23,54.05,2,-553.61,180.32,553.61,1,"	170,187" 
2020-06-01T14:15:00Z,"JD",2020-07-01T14:15:00Z,Buy,49.299302784,54.607620864,138,732.55,2,0,961.7,433.27,1,"	171,188" 
2020-06-01T14:15:00Z,"MRSN",2020-07-01T14:15:00Z,Buy,566,585,12,228,2,-1074,228,1074,1,"	160,190" 
2020-06-01T14:15:00Z,"REGN",2020-07-01T14:15:00Z,Buy,608.697799776,619.46505904,11,118.44,2,-266.82,339.91,424.81,1,"	161,191" 
2020-06-01T14:15:00Z,"BMRN",2020-07-01T14:15:00Z,Buy,106.55,123.34,64,1074.56,2,-172.16,1130.88,470.4,1,"	162,192" 
