Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:15:00Z,CONE,89.33293122,74,Market,Filled,6610.63691028,"" 
2022-02-01T15:15:00Z,MCK,251.467098048,26,Market,Filled,6538.144549248,"" 
2022-02-01T15:15:00Z,PLD,139.064635734,47,Market,Filled,6536.037879498,"" 
2022-02-01T15:15:00Z,EXC,35.463566679734,187,Market,Filled,6631.6869691103,"" 
2022-02-01T15:15:00Z,DVN,42.120830141,158,Market,Filled,6655.091162278,"" 
2022-02-01T15:15:00Z,CVS,92.612245019,71,Market,Filled,6575.469396349,"" 
2022-02-01T15:15:00Z,APA,29.116382634,228,Market,Filled,6638.535240552,"" 
2022-02-01T15:15:00Z,AA,54.286413085,122,Market,Filled,6622.94239637,"" 
2022-02-01T15:15:00Z,VCRA,79.01,84,Market,Filled,6636.84,"" 
2022-02-01T15:15:00Z,HPQ,31.811015556,209,Market,Filled,6648.502251204,"" 
2022-02-01T15:15:00Z,COP,74.899949082,89,Market,Filled,6666.095468298,"" 
2022-02-01T15:15:00Z,AZO,1986.35,3,Market,Filled,5959.05,"" 
2022-02-01T15:15:00Z,ZIM,18.165767664,366,Market,Filled,6648.670965024,"" 
2022-02-01T15:15:00Z,AAPL,170.813228076,39,Market,Filled,6661.715894964,"" 
2022-02-01T15:15:00Z,MRO,18.607860612,358,Market,Filled,6661.614099096,"" 
2022-02-01T15:15:00Z,PTON,27.33,-73,Market,Filled,-1995.09,"" 
2022-02-01T15:15:00Z,NIO,24.51,-81,Market,Filled,-1985.31,"" 
2022-02-01T15:15:00Z,ROKU,164.05,-12,Market,Filled,-1968.6,"" 
2022-02-01T15:15:00Z,DOCU,125.77,-15,Market,Filled,-1886.55,"" 
2022-02-01T15:15:00Z,AMC,141.65026183308,-14,Market,Filled,-1983.1036656632,"" 
2022-02-01T15:15:00Z,RUN,25.93,-77,Market,Filled,-1996.61,"" 
2022-02-01T15:15:00Z,GME,24.7568173896,-80,Market,Filled,-1980.545391168,"" 
2022-02-01T15:15:00Z,DKNG,22.09,-90,Market,Filled,-1988.1,"" 
2022-02-01T15:15:00Z,FTCH,21.71,-92,Market,Filled,-1997.32,"" 
2022-02-01T15:15:00Z,BILI,35.29,-56,Market,Filled,-1976.24,"" 
2022-02-24T05:00:00Z,VCRA,79.13,-84,Market,Filled,-6646.92,"Liquidate from delisting" 
2022-03-01T15:15:00Z,CONE,89.83005382,-74,Market,Filled,-6647.42398268,"Liquidated" 
2022-03-01T15:15:00Z,PLD,129.336673395,-47,Market,Filled,-6078.823649565,"Liquidated" 
2022-03-01T15:15:00Z,CVS,90.125426685,-71,Market,Filled,-6398.905294635,"Liquidated" 
2022-03-01T15:15:00Z,APA,31.238082302,-228,Market,Filled,-7122.282764856,"Liquidated" 
2022-03-01T15:15:00Z,HPQ,29.74975182,-209,Market,Filled,-6217.69813038,"Liquidated" 
2022-03-01T15:15:00Z,AZO,1863.39,-3,Market,Filled,-5590.17,"Liquidated" 
2022-03-01T15:15:00Z,ZIM,19.001632573,-366,Market,Filled,-6954.597521718,"Liquidated" 
2022-03-01T15:15:00Z,AAPL,161.578060416,-39,Market,Filled,-6301.544356224,"Liquidated" 
2022-03-01T15:15:00Z,PTON,29.06,73,Market,Filled,2121.38,"Liquidated" 
2022-03-01T15:15:00Z,NIO,22.87,81,Market,Filled,1852.47,"Liquidated" 
2022-03-01T15:15:00Z,DOCU,118.43,15,Market,Filled,1776.45,"Liquidated" 
2022-03-01T15:15:00Z,AMC,166.34644695965,14,Market,Filled,2328.8502574351,"Liquidated" 
2022-03-01T15:15:00Z,RUN,27.28,77,Market,Filled,2100.56,"Liquidated" 
2022-03-01T15:15:00Z,GME,28.0318172848,80,Market,Filled,2242.545382784,"Liquidated" 
2022-03-01T15:15:00Z,DKNG,23.68,90,Market,Filled,2131.2,"Liquidated" 
2022-03-01T15:15:00Z,BILI,31.61,56,Market,Filled,1770.16,"Liquidated" 
2022-03-01T15:15:00Z,MCK,269.794353976,-1,Market,Filled,-269.794353976,"" 
2022-03-01T15:15:00Z,BG,93.545934765,74,Market,Filled,6922.39917261,"" 
2022-03-01T15:15:00Z,EXC,36.818915616,2,Market,Filled,73.637831232,"" 
2022-03-01T15:15:00Z,DVN,49.600463415,-18,Market,Filled,-892.80834147,"" 
2022-03-01T15:15:00Z,AA,72.12023209,-26,Market,Filled,-1875.12603434,"" 
2022-03-01T15:15:00Z,MRO,21.632427552,-36,Market,Filled,-778.767391872,"" 
2022-03-01T15:15:00Z,COP,80.577157464,-3,Market,Filled,-241.731472392,"" 
2022-03-01T15:15:00Z,TRGP,59.86878765,116,Market,Filled,6944.7793674,"" 
2022-03-01T15:15:00Z,CVX,122.6215008,56,Market,Filled,6866.8040448,"" 
2022-03-01T15:15:00Z,CF,74.42557396,93,Market,Filled,6921.57837828,"" 
2022-03-01T15:15:00Z,PXD,204.9099932,34,Market,Filled,6966.9397688,"" 
2022-03-01T15:15:00Z,LNG,127.77452544,54,Market,Filled,6899.82437376,"" 
2022-03-01T15:15:00Z,OVV,41.33245452,168,Market,Filled,6943.85235936,"" 
2022-03-01T15:15:00Z,MPC,71.261967374,97,Market,Filled,6912.410835278,"" 
2022-03-01T15:15:00Z,CNQ,22.188399760141,314,Market,Filled,6967.1575246842,"" 
2022-03-01T15:15:00Z,BYND,46.78,-44,Market,Filled,-2058.32,"" 
2022-03-01T15:15:00Z,RNG,130.84,-16,Market,Filled,-2093.44,"" 
2022-03-01T15:15:00Z,PYPL,111.671844648,-18,Market,Filled,-2010.093203664,"" 
2022-03-01T15:15:00Z,ZM,132.6,-15,Market,Filled,-1989,"" 
2022-03-01T15:15:00Z,ROKU,139.53,-3,Market,Filled,-418.59,"" 
2022-03-01T15:15:00Z,TWLO,174.8,-11,Market,Filled,-1922.8,"" 
2022-03-01T15:15:00Z,SHOP,69.426,-30,Market,Filled,-2082.78,"" 
2022-03-01T15:15:00Z,EVBG,39.52,-52,Market,Filled,-2055.04,"" 
2022-03-01T15:15:00Z,BABA,99.93640485,-20,Market,Filled,-1998.728097,"" 
2022-03-01T15:15:00Z,FTCH,19.05,-17,Market,Filled,-323.85,"" 
2022-03-16T14:30:00Z,DVN,44.894354535,-140,Market,Filled,-6285.2096349,"Liquidated" 
2022-03-16T14:30:00Z,PXD,194.80988043,-34,Market,Filled,-6623.53593462,"Liquidated" 
2022-03-16T14:30:00Z,MPC,68.08643088,-97,Market,Filled,-6604.38379536,"Liquidated" 
2022-03-16T14:30:00Z,EXC,37.857042936,-189,Market,Filled,-7154.981114904,"Liquidated" 
2022-03-16T14:30:00Z,AA,70.637811426,-96,Market,Filled,-6781.229896896,"Liquidated" 
2022-03-16T14:30:00Z,COP,80.73854962,-86,Market,Filled,-6943.51526732,"Liquidated" 
2022-03-16T14:30:00Z,TRGP,59.4749743,-116,Market,Filled,-6899.0970188,"Liquidated" 
2022-03-16T14:30:00Z,CVX,134.79849706,-56,Market,Filled,-7548.71583536,"Liquidated" 
2022-03-16T14:30:00Z,CF,86.93831056,-93,Market,Filled,-8085.26288208,"Liquidated" 
2022-03-16T14:30:00Z,LNG,121.679036416,-54,Market,Filled,-6570.667966464,"Liquidated" 
2022-03-16T14:30:00Z,OVV,39.041443056,-168,Market,Filled,-6558.962433408,"Liquidated" 
2022-03-16T14:30:00Z,MRO,20.75984293,-322,Market,Filled,-6684.66942346,"Liquidated" 
2022-04-01T14:15:00Z,BG,99.147059123,-74,Market,Filled,-7336.882375102,"Liquidated" 
2022-04-01T14:15:00Z,CNQ,24.882932591866,-314,Market,Filled,-7813.2408338459,"Liquidated" 
2022-04-01T14:15:00Z,BYND,48.31,44,Market,Filled,2125.64,"Liquidated" 
2022-04-01T14:15:00Z,RNG,117.21,16,Market,Filled,1875.36,"Liquidated" 
2022-04-01T14:15:00Z,PYPL,115.38326484,18,Market,Filled,2076.89876712,"Liquidated" 
2022-04-01T14:15:00Z,ZM,117.23,15,Market,Filled,1758.45,"Liquidated" 
2022-04-01T14:15:00Z,TWLO,164.81,11,Market,Filled,1812.91,"Liquidated" 
2022-04-01T14:15:00Z,SHOP,67.596,30,Market,Filled,2027.88,"Liquidated" 
2022-04-01T14:15:00Z,EVBG,43.64,52,Market,Filled,2269.28,"Liquidated" 
2022-04-01T14:15:00Z,BABA,103.326816,20,Market,Filled,2066.53632,"Liquidated" 
2022-04-01T14:15:00Z,FTCH,15.12,109,Market,Filled,1648.08,"Liquidated" 
2022-04-01T14:15:00Z,MCK,300.378766303,-2,Market,Filled,-600.757532606,"" 
2022-04-01T14:15:00Z,EXC,41.205003543,173,Market,Filled,7128.465612939,"" 
2022-04-01T14:15:00Z,DLTR,160.15,44,Market,Filled,7046.6,"" 
2022-04-01T14:15:00Z,OXY,53.669582988,132,Market,Filled,7084.384954416,"" 
2022-04-01T14:15:00Z,HAL,35.015325317,203,Market,Filled,7108.111039351,"" 
2022-04-01T14:15:00Z,ADM,80.24371241,88,Market,Filled,7061.44669208,"" 
2022-04-01T14:15:00Z,AR,30.53,233,Market,Filled,7113.49,"" 
2022-04-01T14:15:00Z,EQT,32.421752349,220,Market,Filled,7132.78551678,"" 
2022-04-01T14:15:00Z,TRGP,69.11882215,103,Market,Filled,7119.23868145,"" 
2022-04-01T14:15:00Z,CF,94.47345304,75,Market,Filled,7085.508978,"" 
2022-04-01T14:15:00Z,OVV,48.955724166,145,Market,Filled,7098.58000407,"" 
2022-04-01T14:15:00Z,ZIM,24.536033126,290,Market,Filled,7115.44960654,"" 
2022-04-01T14:15:00Z,MRO,24.077582262,296,Market,Filled,7126.964349552,"" 
2022-04-01T14:15:00Z,ABBV,140.11864373,50,Market,Filled,7005.9321865,"" 
2022-04-01T14:15:00Z,MOS,60.514183359,117,Market,Filled,7080.159453003,"" 
2022-04-01T14:15:00Z,W,110.78,-19,Market,Filled,-2104.82,"" 
2022-04-01T14:15:00Z,ROKU,125.27,-2,Market,Filled,-250.54,"" 
2022-04-01T14:15:00Z,NVAX,73.65,-29,Market,Filled,-2135.85,"" 
2022-04-01T14:15:00Z,COUP,101.63,-21,Market,Filled,-2134.23,"" 
2022-04-01T14:15:00Z,CVNA,119.29,-17,Market,Filled,-2027.93,"" 
2022-04-01T14:15:00Z,PATH,21.51,-99,Market,Filled,-2129.49,"" 
2022-04-01T14:15:00Z,UPST,109.09,-19,Market,Filled,-2072.71,"" 
2022-04-01T14:15:00Z,CHWY,40.78,-52,Market,Filled,-2120.56,"" 
2022-04-01T14:15:00Z,DKNG,19.47,-109,Market,Filled,-2122.23,"" 
2022-04-01T14:15:00Z,BILI,25.58,-83,Market,Filled,-2123.14,"" 
2022-04-27T14:30:00Z,OXY,51.853481484,-132,Market,Filled,-6844.659555888,"Liquidated" 
2022-04-27T14:30:00Z,HAL,32.472622792,-203,Market,Filled,-6591.942426776,"Liquidated" 
2022-04-27T14:30:00Z,EQT,36.690003966,-220,Market,Filled,-8071.80087252,"Liquidated" 
2022-04-27T14:30:00Z,ABBV,136.297323312,-50,Market,Filled,-6814.8661656,"Liquidated" 
2022-04-27T14:30:00Z,EXC,41.888437362,-173,Market,Filled,-7246.699663626,"Liquidated" 
2022-04-27T14:30:00Z,ADM,80.58154324,-88,Market,Filled,-7091.17580512,"Liquidated" 
2022-04-27T14:30:00Z,CF,87.10331368,-75,Market,Filled,-6532.748526,"Liquidated" 
2022-04-27T14:30:00Z,TRGP,67.3695582,-103,Market,Filled,-6939.0644946,"Liquidated" 
2022-04-27T14:30:00Z,OVV,45.026228274,-145,Market,Filled,-6528.80309973,"Liquidated" 
2022-04-27T14:30:00Z,ZIM,17.74990156,-290,Market,Filled,-5147.4714524,"Liquidated" 
