Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-06T15:30:00Z,"SPY",2018-10-24T14:30:00Z,Buy,170.62970834,244.637765432,175,12951.41,3.01,-2716.86,15868,4471.09,1,"	1,611" 
2016-02-01T15:00:00Z,"MSFT",2016-03-01T15:00:00Z,Buy,48.127544003,44.768762496,95,-319.08,2,-482.19,0,482.19,0,"	5,17" 
2016-02-01T15:00:00Z,"GOOGL",2016-03-01T15:00:00Z,Buy,37.7820318175,35.592078361,122,-267.17,2,-365.25,118.42,483.67,0,"	6,18" 
2016-02-01T15:00:00Z,"PEP",2016-03-01T15:00:00Z,Buy,73.292740638,72.367887763,62,-57.34,2,-98.63,73.86,131.2,0,"	8,19" 
2016-02-01T15:00:00Z,"HD",2016-03-01T15:00:00Z,Buy,99.10755744,97.81512428,46,-59.45,2,-504.25,39.88,531.44,0,"	10,20" 
2016-02-01T15:00:00Z,"MCD",2016-03-01T15:00:00Z,Buy,97.031005842,92.561068344,47,-210.09,2,-308.75,30.58,339.33,0,"	12,21" 
2016-02-01T15:00:00Z,"GE",2016-03-01T15:00:00Z,Buy,128.16391000409,129.36752076771,1,1.2,2,-7.27,2.36,7.62,1,"	7,25" 
2016-02-01T15:00:00Z,"LMT",2016-03-01T15:00:00Z,Buy,161.5384772,166.453867563,1,4.92,2,-3.77,6.91,7.58,1,"	16,26" 
2016-02-01T15:00:00Z,"XOM",2016-03-01T15:00:00Z,Buy,49.904380125,51.844907275,4,7.76,2,-8.36,13.84,8.36,1,"	9,28" 
2016-02-01T15:00:00Z,"KO",2016-03-01T15:00:00Z,Buy,31.344463124,31.497826061,2,0.31,2,-0.74,1.81,1.5,1,"	11,30" 
2016-02-01T15:00:00Z,"UNH",2016-03-01T15:00:00Z,Buy,98.097180408,101.45340558,2,6.71,2,-8.76,10.51,10,1,"	13,31" 
2016-02-01T15:00:00Z,"ISRG",2016-03-01T15:00:00Z,Buy,60.0943789415,62.5621540294,3,7.4,2,-11.19,8.87,14.88,1,"	15,32" 
2016-02-01T15:00:00Z,"NKE",2016-04-01T14:00:00Z,Buy,54.579620745,54.243814239,84,-28.21,2,-515.32,226.04,600.35,0,"	2,35" 
2016-02-01T15:00:00Z,"ISRG",2016-04-01T14:00:00Z,Buy,60.0943789415,66.7832605395,73,488.29,1,-272.29,504.67,362.16,1,"	15,37" 
2016-02-01T15:00:00Z,"XOM",2016-04-01T14:00:00Z,Buy,49.904380125,54.070066115,88,366.58,1,-183.9,420.09,183.9,1,"	9,38" 
2016-02-01T15:00:00Z,"UNH",2016-04-01T14:00:00Z,Buy,98.097180408,110.25449899,45,547.08,1,-197.03,582.88,225.01,1,"	13,40" 
2016-02-01T15:00:00Z,"LMT",2016-04-01T14:00:00Z,Buy,161.5384772,170.85838855,27,251.64,1,-101.7,282.05,204.64,1,"	16,42" 
2016-02-01T15:00:00Z,"GE",2016-04-01T14:00:00Z,Buy,128.16391000409,141.13224039827,1,12.97,1,-7.27,13.15,7.62,1,"	7,47" 
2016-02-01T15:00:00Z,"KO",2016-04-01T14:00:00Z,Buy,31.344463124,34.14280805,3,8.4,1,-1.12,8.81,2.26,1,"	11,51" 
2016-02-01T15:00:00Z,"HON",2016-04-01T14:00:00Z,Buy,74.870129961707,82.127224471474,2,14.51,2,-3.02,15.88,7.83,1,"	14,53" 
2016-02-01T15:00:00Z,"PG",2016-05-02T14:00:00Z,Buy,62.169118868,61.458345444,74,-52.6,2,-103.03,126.78,211.73,0,"	4,57" 
2016-02-01T15:00:00Z,"KO",2016-05-02T14:00:00Z,Buy,31.344463124,32.972576,142,231.19,1,-52.89,449.62,337.57,1,"	11,60" 
2016-02-01T15:00:00Z,"META",2016-05-02T14:00:00Z,Buy,111.431621672,116.764371056,2,10.67,2,-25.16,10.67,30.88,1,"	3,65" 
2016-02-01T15:00:00Z,"HON",2016-05-02T14:00:00Z,Buy,74.870129961707,83.754376977736,1,8.88,1,-1.51,10.01,3.92,1,"	14,74" 
