Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-01-03T15:30:00Z,"SPY",2018-10-24T14:30:00Z,Buy,237.196163619,244.637765432,126,937.64,2.3,-1238.75,3037.59,3219.19,1,"	1,152" 
2018-02-01T15:00:00Z,"PYPL",2018-03-01T15:00:00Z,Buy,85.123217952,79.226848776,55,-324.3,2,-713.35,0,713.35,0,"	3,17" 
2018-02-01T15:00:00Z,"CAT",2018-03-01T15:00:00Z,Buy,136.980314124,130.122041854,34,-233.18,2,-480.38,26.04,480.38,0,"	5,18" 
2018-02-01T15:00:00Z,"AXP",2018-03-01T15:00:00Z,Buy,89.6319123,87.91862625,52,-89.09,2,-518.13,105.03,546.27,0,"	14,19" 
2018-02-01T15:00:00Z,"NKE",2018-03-01T15:00:00Z,Buy,61.573741542,60.499675983,76,-81.63,2,-393.05,98.09,393.05,0,"	15,20" 
2018-02-01T15:00:00Z,"AMZN",2018-03-01T15:00:00Z,Buy,72.374310603,75.445089615,3,9.21,2,-16.65,10.63,16.65,1,"	2,21" 
2018-02-01T15:00:00Z,"ADBE",2018-03-01T15:00:00Z,Buy,199.76,209.13,1,9.37,2,-14.6,12.39,14.6,1,"	4,23" 
2018-02-01T15:00:00Z,"MA",2018-03-01T15:00:00Z,Buy,161.8793878,168.354563312,2,12.95,2,-16.05,16.99,23.58,1,"	12,28" 
2018-02-01T15:00:00Z,"ABBV",2018-03-01T15:00:00Z,Buy,79.641950456,82.203948684,3,7.69,2,-7.96,19.84,16.73,1,"	13,29" 
2018-02-01T15:00:00Z,"NFLX",2018-03-01T15:00:00Z,Buy,27.03,29.138,15,31.62,2,-31.24,35.79,31.24,1,"	16,31" 
2018-02-01T15:00:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,50,-301.5,2,-348.13,124.62,472.74,0,"	6,33" 
2018-02-01T15:00:00Z,"BLK",2018-03-28T14:30:00Z,Buy,459.91144638,437.91908046,10,-219.92,2,-429.13,151,461.28,0,"	8,35" 
2018-02-01T15:00:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,87.184111809,82.486097058,54,-253.69,2,-495.52,109.74,495.52,0,"	9,36" 
2018-02-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,779,-387.86,7.805,-618.2,93.13,618.2,0,"	10,37" 
2018-02-01T15:00:00Z,"V",2018-03-28T14:30:00Z,Buy,117.3076058,111.042796995,40,-250.59,2,-392.38,55.51,447.89,0,"	11,38" 
2018-02-01T15:00:00Z,"MA",2018-03-28T14:30:00Z,Buy,161.8793878,165.251076824,27,91.04,1,-216.73,368.28,318.37,1,"	12,39" 
2018-02-01T15:00:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,79.641950456,65.299018548,56,-803.2,1,-803.2,370.4,1173.61,0,"	13,40" 
2018-02-01T15:00:00Z,"AMZN",2018-04-02T14:00:00Z,Buy,72.374310603,72.197227018,62,-10.98,1,-344.19,456.18,516.39,0,"	2,43" 
2018-02-01T15:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,27.03,28.367,160,213.92,2.295,-333.28,978.24,818.4,1,"	16,50" 
2018-02-01T15:00:00Z,"ADBE",2018-05-01T14:00:00Z,Buy,199.76,221.6,22,480.48,1,-321.2,690.8,384.34,1,"	4,51" 
2018-02-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.91,47.34,100,43,2.375,-741,1078,1294,1,"	7,52" 
2018-03-01T15:00:00Z,"MS",2018-03-28T14:30:00Z,Buy,44.028437228,41.77278541,106,-239.1,2,-329.07,240.77,569.84,0,"	22,32" 
2018-03-01T15:00:00Z,"LMT",2018-03-28T14:30:00Z,Buy,286.252085196,275.230518983,16,-176.35,2,-332.03,0,332.03,0,"	25,34" 
2018-03-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,5.986478025,5.578803819,3,-1.22,1,-2.11,0.63,1.85,0,"	26,37" 
2018-03-01T15:00:00Z,"CRM",2018-03-28T14:30:00Z,Buy,114.894008324,112.443779236,40,-98.01,2,-98.01,462.38,560.39,0,"	27,41" 
2018-03-01T15:00:00Z,"ISRG",2018-03-28T14:30:00Z,Buy,142.149985785,135.073319826,32,-226.45,2,-291.2,165.33,456.53,0,"	30,42" 
2018-03-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.03,47.34,1,1.31,1,-6.53,11.66,12.94,1,"	24,52" 
2018-04-02T14:00:00Z,"MA",2018-04-04T14:30:00Z,Buy,167.760686268,165.203183514,80,-204.6,2,-271.27,0,271.27,0,"	47,49" 
