Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-08T15:30:00Z,"SPY",2022-01-26T15:30:00Z,Buy,295.737379168,410.972776225,101,11638.78,2.03,-9113.59,15769.82,10558.34,1,"	1,413" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,43,-419.46,2,-419.46,96.17,515.63,0,"	6,17" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,456.08434288,400.439199008,10,-556.45,2,-556.45,390.31,946.76,0,"	5,18" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,107,-637.38,2,-637.38,360.8,998.18,0,"	7,19" 
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,363.75937269,316.344122787,12,-568.98,2,-568.98,120.23,689.21,0,"	8,20" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,67,-584.91,2,-584.91,204.23,789.13,0,"	12,21" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,206.156829,175.155301629,22,-682.03,2,-682.03,124.95,806.99,0,"	13,22" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,15,-373.09,2,-437.43,415.79,853.22,0,"	16,23" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	3,24" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.101779139,66.4603482125,1,-4.64,2,-5.85,4.57,10.42,0,"	9,27" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262147416,153.894384467,1,-7.37,2,-11.01,17.5,28.5,0,"	10,30" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,5,-7.6,2,-14.95,59.5,74.45,0,"	11,33" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.8842580185,6.725509323625,152,127.87,4.96,0,296.09,234.35,1,"	2,37" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.573496556,39.59232368,95,-853.21,2,-1006.28,137.51,1143.79,0,"	4,39" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.101779139,55.483783403,64,-999.55,1,-1142.66,292.48,1435.14,0,"	9,41" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,94,-481.28,1,-779.26,1118.6,1897.86,0,"	11,42" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.8842580185,5.410639503625,640,-303.12,3.2,-635.74,1246.71,1882.45,0,"	2,49" 
2020-02-03T15:00:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,351.14,318.24,12,-394.8,1,-793.68,385.68,1179.36,0,"	3,50" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,62,-815.23,2,-1262.89,275.64,1538.53,0,"	15,51" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,161.262147416,149.809785657,27,-309.21,1,-880.9,472.42,1353.31,0,"	10,57" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,35,513.98,2,-648.94,785.84,899.89,1,"	14,71" 
2020-03-02T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,44.497282596,39.59232368,1,-4.9,1,-6.52,5.52,11.03,0,"	26,39" 
2020-03-02T15:00:00Z,"JPM",2020-03-18T14:30:00Z,Buy,98.589558328,79.612066048,43,-816.03,2,-1024.51,197.53,1222.04,0,"	25,40" 
2020-03-02T15:00:00Z,"HD",2020-03-18T14:30:00Z,Buy,188.47580675,151.190379588,22,-820.28,2,-986.55,439.94,1426.49,0,"	36,43" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,25,-864,2,-1138.66,157.09,1295.76,0,"	28,44" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.011763916,57.220269633,64,-626.66,2,-626.66,317.09,943.75,0,"	29,45" 
2020-03-02T15:00:00Z,"PEP",2020-03-18T14:30:00Z,Buy,109.960419726,107.089107416,39,-111.98,2,-590.39,336.5,926.89,0,"	31,46" 
