Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,363.75937269,316.344122787,12,-568.98,2,-568.98,120.23,689.21,0,"	1,23" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,67,-584.91,2,-584.91,204.23,789.13,0,"	2,24" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,206.156829,175.155301629,22,-682.03,2,-682.03,124.95,806.99,0,"	14,25" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,107,-637.38,2,-637.38,360.8,998.18,0,"	6,26" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,15,-373.09,2,-437.43,415.79,853.22,0,"	8,27" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,43,-419.46,2,-419.46,96.17,515.63,0,"	10,28" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,456.08434288,400.439199008,10,-556.45,2,-556.45,390.31,946.76,0,"	12,29" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,4,-6.08,2,-11.96,47.6,59.56,0,"	3,31" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.8842580185,6.725509323625,144,121.14,4.965,0,280.51,222.02,1,"	9,35" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	13,39" 
2020-02-03T15:00:00Z,"XLP",2020-03-02T15:00:00Z,Buy,53.884573002,49.458157461,111,-491.33,2,-491.33,152.42,643.75,0,"	19,43" 
2020-02-03T15:00:00Z,"XLI",2020-03-02T15:00:00Z,Sell,73.637400588,66.347198064,27,196.84,2,-100.99,196.84,101.73,1,"	21,44" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,95,-486.4,1,-787.55,1130.5,1918.05,0,"	3,52" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.101779139,55.483783403,65,-1015.17,2,-1160.52,297.05,1457.56,0,"	4,56" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.8842580185,5.410639503625,649,-307.38,3.245,-644.68,1264.24,1908.92,0,"	9,57" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.573496556,39.59232368,96,-862.19,2,-1016.87,138.96,1155.83,0,"	5,61" 
2020-02-03T15:00:00Z,"XLC",2020-03-18T14:30:00Z,Buy,50.886883539,40.362143204,117,-1231.39,2,-1427.98,405.31,1833.29,0,"	17,62" 
2020-02-03T15:00:00Z,"XLU",2020-03-18T14:30:00Z,Buy,28.591871998,23.899787466,209,-980.65,2.13,-1547.2,173.26,1720.46,0,"	16,63" 
2020-02-03T15:00:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,351.14,318.24,12,-394.8,1,-793.68,385.68,1179.36,0,"	13,64" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,62,-815.23,2,-1262.89,275.64,1538.53,0,"	11,65" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,161.262147416,149.809785657,28,-320.67,2,-913.52,489.92,1403.44,0,"	7,77" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,35,513.98,2,-648.94,785.84,899.89,1,"	15,91" 
2020-02-03T15:00:00Z,"XLB",2020-05-01T14:00:00Z,Sell,25.5251482275,23.131888646,78,186.67,2,-116.08,657.22,525.84,1,"	20,93" 
2020-02-03T15:00:00Z,"XLK",2020-05-01T14:00:00Z,Buy,45.271416228,43.636812186,132,-215.77,2,-1539.68,467.64,2007.32,0,"	18,96" 
2020-02-03T15:00:00Z,"XLE",2020-05-01T14:00:00Z,Sell,20.738225664,15.0763309,22,124.56,2,-13.66,251.51,134.46,1,"	22,101" 
2020-02-03T15:00:00Z,"XLE",2020-12-01T15:00:00Z,Sell,20.738225664,15.01422683,35,200.34,1,-21.73,400.13,325,1,"	22,263" 
2020-02-03T15:00:00Z,"XLE",2021-02-01T15:00:00Z,Sell,20.738225664,16.274663994,8,35.71,1,-4.97,91.46,74.29,1,"	22,312" 
2020-02-03T15:00:00Z,"XLE",2021-03-01T15:00:00Z,Sell,20.738225664,19.9294270425,31,25.07,2.7,-19.25,354.4,356.79,1,"	22,340" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,25,-864,2,-1138.66,157.09,1295.76,0,"	30,51" 
2020-03-02T15:00:00Z,"JPM",2020-03-18T14:30:00Z,Buy,98.589558328,79.612066048,44,-835.01,2,-1048.34,202.12,1250.46,0,"	34,53" 
2020-03-02T15:00:00Z,"PEP",2020-03-18T14:30:00Z,Buy,109.960419726,107.089107416,39,-111.98,2,-590.39,336.5,926.89,0,"	33,54" 
2020-03-02T15:00:00Z,"HD",2020-03-18T14:30:00Z,Buy,188.47580675,151.190379588,23,-857.56,2,-1031.39,459.93,1491.33,0,"	32,55" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,118,-581.5,2,-828.24,174.17,1002.41,0,"	37,58" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.011763916,57.220269633,65,-636.45,2,-636.45,322.05,958.49,0,"	36,59" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,52,-2007.72,2,-2190.76,0,2190.76,0,"	38,60" 
2020-03-02T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,44.497282596,39.59232368,2,-9.81,1,-13.03,11.05,22.07,0,"	41,61" 
2020-03-02T15:00:00Z,"XLU",2020-03-18T14:30:00Z,Buy,25.773305318,23.899787466,8,-14.99,1,-36.67,29.18,58.36,0,"	46,63" 
2020-03-02T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,65.967590568,61.365593377,4,-18.41,1,-47.29,51.97,75.65,0,"	40,65" 
2020-03-02T15:00:00Z,"XLY",2020-04-01T14:00:00Z,Sell,55.0133716275,46.808866352,34,278.95,2,-82.68,458.29,234.02,1,"	50,71" 
