Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:00:00Z,"MRK",2022-03-01T15:00:00Z,Buy,72.00941088,67.70334714,64,-275.59,2,-448.75,32.26,481.01,0,"	3,23" 
2022-02-01T15:00:00Z,"MS",2022-03-01T15:00:00Z,Buy,90.126056424,79.745826988,51,-529.39,2,-529.39,277.47,806.86,0,"	4,24" 
2022-02-01T15:00:00Z,"AAPL",2022-03-01T15:00:00Z,Buy,170.973064386,161.7292608,27,-249.58,2,-383.13,45.55,428.68,0,"	5,25" 
2022-02-01T15:00:00Z,"MCD",2022-03-01T15:00:00Z,Buy,236.75502637,224.60168631,19,-230.91,2,-250.01,49.07,299.08,0,"	11,26" 
2022-02-01T15:00:00Z,"PEP",2022-03-01T15:00:00Z,Buy,153.069609528,144.442242186,30,-258.82,2,-258.82,51.61,310.43,0,"	13,27" 
2022-02-01T15:00:00Z,"ABBV",2022-03-01T15:00:00Z,Buy,119.219609559,128.742889048,3,28.57,2,0,33.22,4.86,1,"	1,28" 
2022-02-01T15:00:00Z,"RTX",2022-03-01T15:00:00Z,Buy,82.365773987,94.31194669,6,71.68,2,0,71.68,20.6,1,"	2,29" 
2022-02-01T15:00:00Z,"CVX",2022-03-01T15:00:00Z,Buy,111.761710962,123.8210352,3,36.18,2,0,36.18,12.89,1,"	7,30" 
2022-02-01T15:00:00Z,"XOM",2022-03-01T15:00:00Z,Buy,65.84836566,68.780091532,2,5.86,2,0,11.26,9.98,1,"	8,31" 
2022-02-01T15:00:00Z,"COP",2022-03-01T15:00:00Z,Buy,75.482829408,81.204220008,3,17.16,2,-1.15,17.16,14.87,1,"	9,32" 
2022-02-01T15:00:00Z,"AXP",2022-03-01T15:00:00Z,Buy,171.70769043,185.70632652,2,28,2,0,35.46,19.29,1,"	12,38" 
2022-02-01T15:00:00Z,"KO",2022-03-01T15:00:00Z,Buy,54.144630114,55.236219936,1,1.09,2,-0.64,1.63,1.8,1,"	14,40" 
2022-02-01T15:00:00Z,"LMT",2022-03-01T15:00:00Z,Buy,349.561824938,392.28673615,1,42.72,2,-6.33,42.72,12.49,1,"	15,41" 
2022-02-01T15:00:00Z,"XLB",2022-03-01T15:00:00Z,Sell,38.9212695525,38.428128541,51,25.15,2,-36.9,72.39,73.1,1,"	20,42" 
2022-02-01T15:00:00Z,"XLK",2022-03-01T15:00:00Z,Buy,78.4779716505,74.6502506155,76,-290.91,2,-542.04,76.96,619.01,0,"	18,43" 
2022-02-01T15:00:00Z,"XLE",2022-03-01T15:00:00Z,Buy,28.559332416,30.578241534,11,22.21,2.05,0,22.21,16.49,1,"	16,45" 
2022-02-01T15:00:00Z,"RTX",2022-03-16T14:30:00Z,Buy,82.365773987,89.646857214,50,364.05,1,0,598.69,361.82,1,"	2,50" 
2022-02-01T15:00:00Z,"UNH",2022-03-16T14:30:00Z,Buy,441.710092089,466.772550867,10,250.62,2,-155.91,250.62,394.54,1,"	6,51" 
2022-02-01T15:00:00Z,"PG",2022-03-16T14:30:00Z,Buy,145.938562552,136.670745324,31,-287.3,2,-486.07,103.76,589.83,0,"	10,53" 
2022-02-01T15:00:00Z,"KO",2022-03-16T14:30:00Z,Buy,54.144630114,53.316067376,85,-70.43,1,-236.11,138.8,374.91,0,"	14,57" 
2022-02-01T15:00:00Z,"AXP",2022-03-16T14:30:00Z,Buy,171.70769043,168.09821946,25,-90.24,1,-494.39,443.31,937.7,0,"	12,58" 
2022-02-01T15:00:00Z,"LMT",2022-03-16T14:30:00Z,Buy,349.561824938,405.72313329,12,673.94,1,-75.97,860.56,292.74,1,"	15,59" 
2022-02-01T15:00:00Z,"XLP",2022-03-16T14:30:00Z,Buy,68.295784092,66.012365748,87,-198.66,2,-354.3,67.26,421.56,0,"	19,61" 
2022-02-01T15:00:00Z,"ABBV",2022-04-01T14:00:00Z,Buy,119.219609559,141.246005303,3,66.08,1,0,70.37,8.91,1,"	1,62" 
2022-02-01T15:00:00Z,"CVX",2022-04-01T14:00:00Z,Buy,111.761710962,139.995157923,4,112.93,1,0,140.52,45.02,1,"	7,66" 
2022-02-01T15:00:00Z,"COP",2022-04-01T14:00:00Z,Buy,75.482829408,85.8601,3,31.13,1,-1.15,49.63,18.49,1,"	9,69" 
2022-02-01T15:00:00Z,"XOM",2022-04-01T14:00:00Z,Buy,65.84836566,72.473041224,3,19.87,1,0,33.43,28.53,1,"	8,70" 
2022-02-01T15:00:00Z,"XLE",2022-04-01T14:00:00Z,Buy,28.559332416,33.43380495,16,77.99,1,0,94.16,41.94,1,"	16,78" 
2022-02-01T15:00:00Z,"XLU",2022-04-01T14:00:00Z,Buy,30.65559,33.181959762,18,45.47,2,-33.63,46.12,34.34,1,"	17,81" 
2022-02-01T15:00:00Z,"CVX",2022-04-27T14:30:00Z,Buy,111.761710962,134.595184999,34,776.34,1,0,1283.87,507.53,1,"	7,84" 
2022-02-01T15:00:00Z,"XOM",2022-04-27T14:30:00Z,Buy,65.84836566,72.19234196,65,412.36,1,0,769.29,618.06,1,"	8,90" 
2022-02-01T15:00:00Z,"COP",2022-04-27T14:30:00Z,Buy,75.482829408,78.40744332,55,160.85,1,-21.02,909.8,748.94,1,"	9,91" 
2022-02-01T15:00:00Z,"XLE",2022-04-27T14:30:00Z,Buy,28.559332416,32.270357525,183,679.12,1,0,1258.62,587.51,1,"	16,94" 
2022-02-01T15:00:00Z,"ABBV",2022-05-02T14:00:00Z,Buy,119.219609559,129.011115732,33,323.12,1,0,1097.21,774.09,1,"	1,96" 
2022-02-01T15:00:00Z,"XLI",2022-05-02T14:00:00Z,Sell,94.564728666,89.604726258,21,104.16,2,-85.12,104.16,186.44,1,"	21,104" 
2022-02-01T15:00:00Z,"XLU",2022-05-02T14:00:00Z,Buy,30.65559,31.755928722,177,194.76,1,-330.66,644.36,449.6,1,"	17,105" 
2022-02-01T15:00:00Z,"XLC",2022-08-01T14:00:00Z,Sell,70.91779857,54.326874987,2,33.18,2,-4.09,39.77,14.88,1,"	22,162" 
2022-02-01T15:00:00Z,"XLC",2022-12-01T15:00:00Z,Sell,70.91779857,49.747976826,2,42.34,1,-4.09,54.12,14.88,1,"	22,251" 
2022-02-01T15:00:00Z,"XLC",2023-02-01T15:00:00Z,Sell,70.91779857,53.326451088,6,105.55,1,-12.26,162.37,58.04,1,"	22,304" 
2022-02-01T15:00:00Z,"XLC",2023-03-01T15:00:00Z,Sell,70.91779857,51.7967526,18,344.18,1,-36.77,487.1,245.57,1,"	22,329" 
2022-03-01T15:00:00Z,"NVDA",2022-03-16T14:30:00Z,Buy,24.3369981275,22.9316853568,194,-272.63,2,-590.8,0,590.8,0,"	33,52" 
2022-03-01T15:00:00Z,"PG",2022-03-16T14:30:00Z,Buy,141.763952044,136.670745324,2,-10.19,1,-23.01,15.04,23.01,0,"	36,53" 
2022-03-01T15:00:00Z,"AVGO",2022-03-16T14:30:00Z,Buy,54.4157890752,54.9085917408,87,42.87,2,-158.28,77.21,235.48,1,"	34,54" 
2022-03-01T15:00:00Z,"QCOM",2022-03-16T14:30:00Z,Buy,157.275584739,132.422375547,30,-745.6,2,-826.04,0,826.04,0,"	37,55" 
2022-03-01T15:00:00Z,"AMD",2022-03-16T14:30:00Z,Buy,123.34,109.33,38,-532.38,2,-801.42,0,801.42,0,"	39,56" 
2022-03-01T15:00:00Z,"XLF",2022-03-16T14:30:00Z,Buy,35.954976312,34.890888228,169,-179.83,2,-451.15,0,451.15,0,"	46,60" 
2022-03-01T15:00:00Z,"XLP",2022-03-16T14:30:00Z,Buy,67.33387164,66.012365748,3,-3.96,1,-9.33,5.21,11.95,0,"	47,61" 
2022-03-01T15:00:00Z,"COST",2022-04-01T14:00:00Z,Buy,495.800721925,549.844671585,1,54.04,2,0,54.64,9.25,1,"	35,71" 
2022-03-01T15:00:00Z,"XLY",2022-04-01T14:00:00Z,Sell,85.7326944595,89.52766975,23,-87.28,2,-159.97,158.25,318.22,0,"	49,77" 
2022-03-01T15:00:00Z,"COST",2022-05-02T14:00:00Z,Buy,495.800721925,508.533604992,8,101.86,1,0,678.32,576.46,1,"	35,97" 
2022-03-01T15:00:00Z,"XLU",2022-05-02T14:00:00Z,Buy,30.0712524,31.755928722,7,11.79,1,-8.99,29.57,17.78,1,"	44,105" 
2022-03-01T15:00:00Z,"XLC",2023-03-01T15:00:00Z,Sell,65.64331727,51.7967526,2,27.69,1,-14.63,43.57,27.29,1,"	48,329" 
2022-04-01T14:00:00Z,"AAPL",2022-04-27T14:30:00Z,Buy,171.02438365,153.580112,27,-471,2,-471,101.29,572.28,0,"	64,83" 
2022-04-01T14:00:00Z,"AVGO",2022-04-27T14:30:00Z,Buy,58.7229996864,52.2312768936,81,-525.83,2,-525.83,39.05,564.88,0,"	68,85" 
2022-04-01T14:00:00Z,"NVDA",2022-04-27T14:30:00Z,Buy,27.2369288576,18.7542116608,175,-1484.48,2,-1484.48,12.93,1497.4,0,"	67,86" 
2022-04-01T14:00:00Z,"ABNB",2022-04-27T14:30:00Z,Buy,171.76,153.04,27,-505.44,2,-505.44,142.02,647.46,0,"	73,87" 
2022-04-01T14:00:00Z,"PEP",2022-04-27T14:30:00Z,Buy,148.624384742,153.88102447,32,168.21,2,0,229.87,94.34,1,"	74,88" 
2022-04-01T14:00:00Z,"MRK",2022-04-27T14:30:00Z,Buy,73.19411376,75.361837056,65,140.9,2,0,329.93,189.03,1,"	63,89" 
2022-04-01T14:00:00Z,"MCD",2022-04-27T14:30:00Z,Buy,226.90486984,228.09775374,21,25.05,2,-8.67,165.14,140.09,1,"	72,92" 
