Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:00:00Z,NVDA,5.8842580185,1132,Market,Filled,6660.980076942,"" 
2020-02-03T15:00:00Z,LLY,129.684699657,51,Market,Filled,6613.919682507,"" 
2020-02-03T15:00:00Z,MS,43.280453424,154,Market,Filled,6665.189827296,"" 
2020-02-03T15:00:00Z,PEP,118.280533284,56,Market,Filled,6623.709863904,"" 
2020-02-03T15:00:00Z,ADBE,351.14,18,Market,Filled,6320.52,"" 
2020-02-03T15:00:00Z,BLK,456.08434288,14,Market,Filled,6385.18080032,"" 
2020-02-03T15:00:00Z,GOOGL,71.101779139,93,Market,Filled,6612.465459927,"" 
2020-02-03T15:00:00Z,MA,305.890074976,21,Market,Filled,6423.691574496,"" 
2020-02-03T15:00:00Z,KO,48.573496556,137,Market,Filled,6654.569028172,"" 
2020-02-03T15:00:00Z,GS,205.0777293,32,Market,Filled,6562.4873376,"" 
2020-02-03T15:00:00Z,RTX,69.054499737495,96,Market,Filled,6629.2319747996,"" 
2020-02-03T15:00:00Z,MSFT,161.262147416,41,Market,Filled,6611.748044056,"" 
2020-02-03T15:00:00Z,COST,278.943456792,23,Market,Filled,6415.699506216,"" 
2020-02-03T15:00:00Z,AAPL,74.51450928675,89,Market,Filled,6631.7913265207,"" 
2020-02-03T15:00:00Z,LMT,361.853308845,18,Market,Filled,6513.35955921,"" 
2020-03-02T15:00:00Z,BLK,400.439199008,-14,Market,Filled,-5606.148786112,"Liquidated" 
2020-03-02T15:00:00Z,MA,281.0172636,-21,Market,Filled,-5901.3625356,"Liquidated" 
2020-03-02T15:00:00Z,GS,174.238485424,-32,Market,Filled,-5575.631533568,"Liquidated" 
2020-03-02T15:00:00Z,RTX,60.32452402461,-96,Market,Filled,-5791.1543063625,"Liquidated" 
2020-03-02T15:00:00Z,COST,257.22538818,-23,Market,Filled,-5916.18392814,"Liquidated" 
2020-03-02T15:00:00Z,MS,37.32359163,-154,Market,Filled,-5747.83311102,"Liquidated" 
2020-03-02T15:00:00Z,HD,188.47580675,32,Market,Filled,6031.225816,"" 
2020-03-02T15:00:00Z,NVDA,6.725509323625,-218,Market,Filled,-1466.1610325502,"" 
2020-03-02T15:00:00Z,LLY,117.753353536,1,Market,Filled,117.753353536,"" 
2020-03-02T15:00:00Z,PEP,109.960419726,-1,Market,Filled,-109.960419726,"" 
2020-03-02T15:00:00Z,ABBV,67.011763916,91,Market,Filled,6098.070516356,"" 
2020-03-02T15:00:00Z,ADBE,345.12,-1,Market,Filled,-345.12,"" 
2020-03-02T15:00:00Z,AMD,45.48,135,Market,Filled,6139.8,"" 
2020-03-02T15:00:00Z,GOOGL,66.4603482125,-1,Market,Filled,-66.4603482125,"" 
2020-03-02T15:00:00Z,KO,44.497282596,1,Market,Filled,44.497282596,"" 
2020-03-02T15:00:00Z,JPM,98.589558328,62,Market,Filled,6112.552616336,"" 
2020-03-02T15:00:00Z,INTU,255.722577175,24,Market,Filled,6137.3418522,"" 
2020-03-02T15:00:00Z,MSFT,153.894384467,-2,Market,Filled,-307.788768934,"" 
2020-03-02T15:00:00Z,NKE,82.131165806,74,Market,Filled,6077.706269644,"" 
2020-03-02T15:00:00Z,AAPL,65.967590568,4,Market,Filled,263.870362272,"" 
2020-03-02T15:00:00Z,LMT,314.68650345,1,Market,Filled,314.68650345,"" 
2020-03-18T14:30:00Z,HD,151.190379588,-32,Market,Filled,-4838.092146816,"Liquidated" 
2020-03-18T14:30:00Z,ADBE,311.81,-17,Market,Filled,-5300.77,"Liquidated" 
2020-03-18T14:30:00Z,AMD,41.88,-135,Market,Filled,-5653.8,"Liquidated" 
2020-03-18T14:30:00Z,KO,39.59232368,-138,Market,Filled,-5463.74066784,"Liquidated" 
2020-03-18T14:30:00Z,INTU,230.058938435,-24,Market,Filled,-5521.41452244,"Liquidated" 
2020-03-18T14:30:00Z,LMT,270.9538158,-19,Market,Filled,-5148.1225002,"Liquidated" 
2020-03-18T14:30:00Z,MSFT,139.227825019,-39,Market,Filled,-5429.885175741,"Liquidated" 
2020-03-18T14:30:00Z,PEP,107.089107416,-55,Market,Filled,-5889.90090788,"Liquidated" 
2020-03-18T14:30:00Z,NVDA,5.410639503625,-914,Market,Filled,-4945.3245063132,"Liquidated" 
2020-03-18T14:30:00Z,JPM,79.612066048,-62,Market,Filled,-4935.948094976,"Liquidated" 
2020-03-18T14:30:00Z,NKE,64.166696221,-74,Market,Filled,-4748.335520354,"Liquidated" 
2020-03-18T14:30:00Z,LLY,133.78304576,70,Market,Filled,9364.8132032,"" 
2020-03-18T14:30:00Z,ABBV,57.220269633,195,Market,Filled,11157.952578435,"" 
2020-03-18T14:30:00Z,GOOGL,55.483783403,203,Market,Filled,11263.208030809,"" 
2020-03-18T14:30:00Z,COST,280.87650963,58,Market,Filled,16290.83755854,"" 
2020-03-18T14:30:00Z,AAPL,61.020503918,175,Market,Filled,10678.58818565,"" 
2020-04-01T14:00:00Z,ABBV,59.728899073,-286,Market,Filled,-17082.465134878,"Liquidated" 
2020-04-01T14:00:00Z,GOOGL,57.6618268475,-295,Market,Filled,-17010.238920012,"Liquidated" 
2020-04-01T14:00:00Z,NVDA,6.564387965,2489,Market,Filled,16338.761644885,"" 
2020-04-01T14:00:00Z,LLY,129.507216384,4,Market,Filled,518.028865536,"" 
2020-04-01T14:00:00Z,AMZN,97.257297844,168,Market,Filled,16339.226037792,"" 
2020-04-01T14:00:00Z,NFLX,37.55,435,Market,Filled,16334.25,"" 
2020-04-01T14:00:00Z,AAPL,61.365593377,-2,Market,Filled,-122.731186754,"" 
2020-04-01T14:30:00Z,AAPL,61.365593377,-266,Market,Filled,-16323.247838282,"Liquidated" 
2020-04-01T14:30:00Z,NVDA,6.564387965,-1,Market,Filled,-6.564387965,"" 
2020-04-01T14:30:00Z,ABBV,59.728899073,273,Market,Filled,16305.989446929,"" 
2020-04-01T14:30:00Z,AMZN,97.257297844,-1,Market,Filled,-97.257297844,"" 
2020-05-01T14:00:00Z,NVDA,7.2786013445,-1626,Market,Filled,-11835.005786157,"" 
2020-05-01T14:00:00Z,LLY,144.369924608,-83,Market,Filled,-11982.703742464,"" 
2020-05-01T14:00:00Z,ABT,83.00421258,75,Market,Filled,6225.3159435,"" 
