Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,456.08434288,400.439199008,14,-779.03,2,-779.03,546.44,1325.47,0,"	6,16" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,21,-522.33,2,-612.4,582.11,1194.5,0,"	8,17" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,205.0777293,174.238485424,32,-986.86,2,-986.86,180.8,1167.65,0,"	10,18" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,96,-838.08,2,-838.08,292.62,1130.7,0,"	11,19" 
2020-02-03T15:00:00Z,"COST",2020-03-02T15:00:00Z,Buy,278.943456792,257.22538818,23,-499.52,2,-499.52,404.09,903.61,0,"	13,20" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,154,-917.36,2,-917.36,519.28,1436.64,0,"	3,21" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.8842580185,6.725509323625,218,183.39,6.75,0,424.66,336.11,1,"	1,23" 
2020-02-03T15:00:00Z,"PEP",2020-03-02T15:00:00Z,Buy,118.280533284,109.960419726,1,-8.32,2,-8.32,4.14,12.46,0,"	4,25" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	5,27" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.101779139,66.4603482125,1,-4.64,2,-5.85,4.57,10.42,0,"	7,29" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262147416,153.894384467,2,-14.74,2,-22.01,34.99,57.01,0,"	12,33" 
2020-02-03T15:00:00Z,"ADBE",2020-03-18T14:30:00Z,Buy,351.14,311.81,17,-668.61,1,-1124.38,546.38,1670.76,0,"	5,38" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.573496556,39.59232368,137,-1230.42,2,-1451.16,198.3,1649.46,0,"	9,40" 
2020-02-03T15:00:00Z,"LMT",2020-03-18T14:30:00Z,Buy,361.853308845,270.9538158,18,-1636.19,2,-2103.82,179.4,2283.22,0,"	15,42" 
2020-02-03T15:00:00Z,"MSFT",2020-03-18T14:30:00Z,Buy,161.262147416,139.227825019,39,-859.34,1,-1272.41,682.38,1954.79,0,"	12,43" 
