Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:00:00Z,"PEP",2022-03-01T15:00:00Z,Buy,153.069609528,144.442242186,43,-370.98,2,-370.98,73.97,444.94,0,"	2,16" 
2022-02-01T15:00:00Z,"MS",2022-03-01T15:00:00Z,Buy,89.631946926,79.308626337,74,-763.93,2,-763.93,400.4,1164.32,0,"	9,17" 
2022-02-01T15:00:00Z,"MRK",2022-03-01T15:00:00Z,Buy,72.00941088,67.70334714,92,-396.16,2,-645.08,46.37,691.45,0,"	10,18" 
2022-02-01T15:00:00Z,"MCD",2022-03-01T15:00:00Z,Buy,235.463562105,223.376514552,28,-338.44,2,-366.43,71.91,438.35,0,"	15,19" 
2022-02-01T15:00:00Z,"CVX",2022-03-01T15:00:00Z,Buy,110.679009672,122.6215008,5,59.71,2,0,59.71,21.28,1,"	4,21" 
2022-02-01T15:00:00Z,"XOM",2022-03-01T15:00:00Z,Buy,65.4123657,68.324678411,2,5.82,2,0,11.19,9.91,1,"	5,22" 
2022-02-01T15:00:00Z,"LMT",2022-03-01T15:00:00Z,Buy,347.730123082,390.23115485,2,85,2,-12.6,85,24.85,1,"	6,23" 
2022-02-01T15:00:00Z,"ABBV",2022-03-01T15:00:00Z,Buy,118.26805269,127.71532168,3,28.34,2,0,32.96,4.82,1,"	8,24" 
2022-02-01T15:00:00Z,"RTX",2022-03-01T15:00:00Z,Buy,82.09310256,93.99973869,9,107.16,2,0,107.16,30.8,1,"	13,25" 
2022-02-01T15:00:00Z,"AXP",2022-03-01T15:00:00Z,Buy,171.70769043,185.70632652,2,28,2,0,35.46,19.29,1,"	11,27" 
2022-02-01T15:00:00Z,"COP",2022-03-01T15:00:00Z,Buy,74.899949082,80.577157464,5,28.39,2,-1.9,28.39,24.59,1,"	14,31" 
2022-02-01T15:00:00Z,"AAPL",2022-03-16T14:30:00Z,Buy,170.813228076,151.763210937,39,-742.95,2,-913.54,65.73,979.27,0,"	1,33" 
2022-02-01T15:00:00Z,"LMT",2022-03-16T14:30:00Z,Buy,347.730123082,403.59714531,17,949.74,1,-107.06,1212.74,412.55,1,"	6,34" 
2022-02-01T15:00:00Z,"RTX",2022-03-16T14:30:00Z,Buy,82.09310256,89.350092414,72,522.5,1,0,859.25,519.3,1,"	13,35" 
2022-02-01T15:00:00Z,"AXP",2022-03-16T14:30:00Z,Buy,171.70769043,168.09821946,36,-129.94,1,-711.93,638.36,1350.29,0,"	11,36" 
2022-02-01T15:00:00Z,"KO",2022-03-16T14:30:00Z,Buy,54.144630114,53.316067376,123,-101.91,2,-341.67,200.85,542.52,0,"	12,37" 
2022-02-01T15:00:00Z,"UNH",2022-03-16T14:30:00Z,Buy,441.710092089,466.772550867,15,375.94,2,-233.86,375.94,591.8,1,"	3,40" 
2022-02-01T15:00:00Z,"PG",2022-03-16T14:30:00Z,Buy,144.90990163,135.707409435,46,-423.31,2,-716.19,152.88,869.06,0,"	7,41" 
2022-02-01T15:00:00Z,"CVX",2022-04-01T14:00:00Z,Buy,110.679009672,138.638934342,55,1537.8,1,0,1913.41,613.06,1,"	4,51" 
2022-02-01T15:00:00Z,"XOM",2022-04-01T14:00:00Z,Buy,65.4123657,71.993176002,99,651.5,1,0,1095.77,935.13,1,"	5,52" 
2022-02-01T15:00:00Z,"ABBV",2022-04-01T14:00:00Z,Buy,118.26805269,140.11864373,53,1158.08,1,0,1233.21,156.21,1,"	8,54" 
