Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:15:00Z,"MA",2016-02-02T21:00:00Z,Buy,83.761277028,82.732778752,79,-81.25,2,-211.7,0,211.7,0,"	15,16" 
2016-02-01T15:15:00Z,"KO",2016-02-03T21:00:00Z,Buy,31.344463124,31.271433154,212,-15.48,2.12,-74.32,12.39,86.7,0,"	11,17" 
2016-02-01T15:15:00Z,"V",2016-02-04T21:00:00Z,Buy,68.90555112,68.7941436,96,-10.7,2,-72.19,13.37,85.56,0,"	1,18" 
2016-02-01T15:15:00Z,"PG",2016-02-05T21:00:00Z,Buy,62.169118868,61.309357464,107,-91.99,2,-121.3,0,121.3,0,"	12,19" 
2016-02-01T15:15:00Z,"MSFT",2016-03-01T15:15:00Z,Buy,48.127544003,44.768762496,138,-463.51,2,-700.45,0,700.45,0,"	10,20" 
2016-02-01T15:15:00Z,"JNJ",2016-03-01T15:15:00Z,Buy,79.263140068,80.426174787,2,2.33,2,-5.92,4.11,5.92,1,"	2,21" 
2016-02-01T15:15:00Z,"VZ",2016-03-01T15:15:00Z,Buy,29.483100791,29.955491751,5,2.36,2.13,-1.59,3.48,4.66,1,"	4,22" 
2016-02-01T15:15:00Z,"T",2016-03-01T15:15:00Z,Buy,15.152398200346,15.526375859756,11,4.11,3.195,0,6.06,4.21,1,"	6,23" 
2016-02-01T15:15:00Z,"XOM",2016-03-01T15:15:00Z,Buy,49.904380125,51.844907275,5,9.7,2,-10.45,17.3,10.45,1,"	7,24" 
2016-02-01T15:15:00Z,"PCLN",2016-03-01T15:15:00Z,Buy,1047.824834976,1244.841131168,1,197.02,2,-89.7,219.85,109.28,1,"	8,27" 
2016-02-01T15:15:00Z,"WMT",2016-03-01T15:15:00Z,Buy,18.436754928324,18.431198341547,1,-0.01,2.805,-0.62,0.47,0.94,0,"	14,35" 
2016-02-01T15:15:00Z,"MCD",2016-03-02T21:00:00Z,Buy,96.501722562,93.132330096,69,-232.49,2,-450.79,44.65,495.44,0,"	3,37" 
2016-02-01T15:15:00Z,"WMT",2016-03-17T20:00:00Z,Buy,18.436754928324,18.962283637105,360,189.19,1.8,-224.04,223.45,338.06,1,"	14,40" 
2016-02-01T15:15:00Z,"PCLN",2016-03-18T20:00:00Z,Buy,1047.824834976,1331.2177824,5,1416.96,1,-448.51,1416.96,546.41,1,"	8,41" 
2016-02-01T15:15:00Z,"VZ",2016-03-23T20:00:00Z,Buy,29.483100791,31.390379292,221,421.51,1.105,-70.47,482.84,206.19,1,"	4,42" 
2016-02-01T15:15:00Z,"T",2016-04-01T14:15:00Z,Buy,15.152398200346,16.459219010193,8,10.45,1,0,11.4,3.06,1,"	6,46" 
2016-02-01T15:15:00Z,"GOOGL",2016-04-01T14:15:00Z,Buy,37.7820318175,37.858950645,4,0.31,2,-11.98,3.88,15.86,1,"	5,47" 
2016-02-01T15:15:00Z,"FB",2016-04-01T14:15:00Z,Buy,111.431621672,113.30851112,1,1.88,2,-12.58,3.9,15.44,1,"	9,49" 
2016-02-01T15:15:00Z,"GOOG",2016-04-01T14:15:00Z,Buy,36.87096286575,36.97021843575,4,0.4,2,-12.87,4.31,17.18,1,"	13,54" 
2016-02-01T15:15:00Z,"GOOGL",2016-05-02T14:15:00Z,Buy,37.7820318175,35.128580394,172,-456.39,1,-514.95,224.74,705.2,0,"	5,63" 
2016-02-01T15:15:00Z,"GOOG",2016-05-02T14:15:00Z,Buy,36.87096286575,34.39255128285,176,-436.2,1,-566.34,206.66,755.88,0,"	13,65" 
2016-02-01T15:15:00Z,"T",2016-05-02T14:15:00Z,Buy,15.152398200346,16.514420693066,9,12.26,1,0,12.82,4.24,1,"	6,67" 
2016-02-01T15:15:00Z,"JNJ",2016-05-02T14:15:00Z,Buy,79.263140068,85.677841176,4,25.66,1,-11.84,30.25,11.84,1,"	2,68" 
2016-02-01T15:15:00Z,"XOM",2016-05-02T14:15:00Z,Buy,49.904380125,57.1814074,10,72.77,1,-20.9,73.16,20.9,1,"	7,69" 
2016-02-01T15:15:00Z,"FB",2016-05-02T14:15:00Z,Buy,111.431621672,116.764371056,3,16,1,-37.75,16,46.33,1,"	9,75" 
2016-02-01T15:15:00Z,"T",2016-05-25T14:30:00Z,Buy,15.152398200346,16.378289456029,411,503.84,2.055,0,687.43,215.06,1,"	6,89" 
2016-02-01T15:15:00Z,"JNJ",2016-05-27T20:00:00Z,Buy,79.263140068,87.028659504,78,605.71,1.16,-230.87,654.78,230.87,1,"	2,97" 
2016-02-01T15:15:00Z,"XOM",2016-06-01T14:15:00Z,Buy,49.904380125,58.066392896,118,963.12,1.145,-246.59,1058.56,246.59,1,"	7,100" 
2016-02-01T15:15:00Z,"FB",2016-06-01T14:15:00Z,Buy,111.431621672,117.985838792,55,360.48,1,-692.02,452.79,849.32,1,"	9,106" 
2016-03-01T15:15:00Z,"KO",2016-03-02T21:00:00Z,Buy,31.497826061,31.746127959,211,52.39,2.11,0,98.62,46.23,1,"	30,36" 
2016-03-01T15:15:00Z,"MCD",2016-03-02T21:00:00Z,Buy,92.056155229,93.132330096,3,3.23,1,-6.26,15.28,0.87,1,"	25,37" 
