Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:15:00Z,UNH,208.33467148,31,Market,Filled,6458.37481588,"" 
2018-02-01T15:15:00Z,BA,337.615838154,19,Market,Filled,6414.700924926,"" 
2018-02-01T15:15:00Z,ANTM,225.088026055,29,Market,Filled,6527.552755595,"" 
2018-02-01T15:15:00Z,MSFT,87.184111809,76,Market,Filled,6625.992497484,"" 
2018-02-01T15:15:00Z,NVDA,6.07670447,1097,Market,Filled,6666.14480359,"" 
2018-02-01T15:15:00Z,ABBV,79.641950456,83,Market,Filled,6610.281887848,"" 
2018-02-01T15:15:00Z,BABA,194.01319155,34,Market,Filled,6596.4485127,"" 
2018-02-01T15:15:00Z,INTC,40.415999582,164,Market,Filled,6628.223931448,"" 
2018-02-01T15:15:00Z,BRK.B,214.38,31,Market,Filled,6645.78,"" 
2018-02-01T15:15:00Z,BIDU,246.92,26,Market,Filled,6419.92,"" 
2018-02-01T15:15:00Z,CSCO,32.775072462,203,Market,Filled,6653.339709786,"" 
2018-02-01T15:15:00Z,BAC,26.5169504,251,Market,Filled,6655.7545504,"" 
2018-02-01T15:15:00Z,JPM,92.997141589,71,Market,Filled,6602.797052819,"" 
2018-02-01T15:15:00Z,NFLX,27.03,246,Market,Filled,6649.38,"" 
2018-02-01T15:15:00Z,WMT,31.264476353552,213,Market,Filled,6659.3334633066,"" 
2018-02-02T05:00:00Z,ANTM,219.820684715,-29,Market On Open,Filled,-6374.799856735,"Liquidated" 
2018-02-02T05:00:00Z,BIDU,237.49,-26,Market On Open,Filled,-6174.74,"Liquidated" 
2018-02-02T05:00:00Z,BRK.B,216.16,-31,Market On Open,Filled,-6700.96,"Liquidated" 
2018-02-02T05:00:00Z,WMT,30.883202251679,-213,Market On Open,Filled,-6578.1220796077,"Liquidated" 
2018-02-03T05:00:00Z,ABBV,80.1955124,-83,Market On Open,Filled,-6656.2275292,"Liquidated" 
2018-02-15T05:00:00Z,UNH,201.72687782,-31,Market On Open,Filled,-6253.53321242,"Liquidated" 
2018-03-01T15:15:00Z,BABA,176.38685235,-34,Market,Filled,-5997.1529799,"Liquidated" 
