Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:15:00Z,"ANTM",2018-02-02T21:00:00Z,Buy,225.088026055,219.820684715,29,-152.75,2,-228.34,0,228.34,0,"	3,16" 
2018-02-01T15:15:00Z,"BIDU",2018-02-02T21:00:00Z,Buy,246.92,237.49,26,-245.18,2,-357.5,0,357.5,0,"	10,17" 
2018-02-01T15:15:00Z,"BRK.B",2018-02-02T21:00:00Z,Buy,214.38,216.16,31,55.18,2,-180.42,90.52,270.94,1,"	9,18" 
2018-02-01T15:15:00Z,"WMT",2018-02-02T21:00:00Z,Buy,31.264476353552,30.883202251679,213,-81.21,2.13,-132.44,0,132.44,0,"	15,19" 
2018-02-01T15:15:00Z,"ABBV",2018-02-05T21:00:00Z,Buy,79.641950456,80.1955124,83,45.95,2,-159.63,242.69,402.32,1,"	6,20" 
2018-02-01T15:15:00Z,"UNH",2018-02-15T21:00:00Z,Buy,208.33467148,201.72687782,31,-204.84,2,-553.97,0,553.97,0,"	1,21" 
2018-02-01T15:15:00Z,"BABA",2018-03-01T15:15:00Z,Buy,194.01319155,176.38685235,34,-599.3,2,-1026.16,0,1026.16,0,"	7,22" 
2018-02-01T15:15:00Z,"INTC",2018-03-01T15:15:00Z,Buy,40.415999582,41.66222463,4,4.98,2,-17.13,7.08,17.13,1,"	8,26" 
2018-02-01T15:15:00Z,"CSCO",2018-03-01T15:15:00Z,Buy,32.775072462,35.331433434,15,38.35,2.015,-32.78,45.21,34.68,1,"	11,31" 
2018-02-01T15:15:00Z,"BAC",2018-03-01T15:15:00Z,Buy,26.5169504,26.59981587,1,0.08,2.255,-1.87,0.41,2.29,1,"	12,33" 
2018-02-01T15:15:00Z,"NFLX",2018-03-01T15:15:00Z,Buy,27.03,29.138,18,37.94,2.23,-37.49,42.95,37.49,1,"	14,34" 
2018-02-01T15:15:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,87.184111809,82.486097058,76,-357.05,2,-697.4,154.44,697.4,0,"	4,40" 
2018-02-01T15:15:00Z,"CSCO",2018-03-28T14:30:00Z,Buy,32.775072462,33.674532804,188,169.1,1,-410.88,594.81,464.28,1,"	11,41" 
2018-02-01T15:15:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,1097,-546.2,11.055,-870.56,131.14,870.56,0,"	5,42" 
2018-02-01T15:15:00Z,"NFLX",2018-03-28T14:30:00Z,Buy,27.03,30.069,228,692.89,1.14,-474.92,1393.99,701.1,1,"	14,43" 
2018-02-01T15:15:00Z,"BA",2018-03-28T14:30:00Z,Buy,337.615838154,307.53485784,19,-571.54,2,-599.2,216.9,816.1,0,"	2,44" 
2018-02-01T15:15:00Z,"BAC",2018-03-28T14:30:00Z,Buy,26.5169504,24.553676232,250,-490.82,1.25,-563.6,199.55,763.14,0,"	12,46" 
2018-02-01T15:15:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,71,-428.12,2,-494.34,176.96,671.3,0,"	13,47" 
2018-02-01T15:15:00Z,"INTC",2018-04-02T14:15:00Z,Buy,40.415999582,44.02046376,8,28.84,1,-34.25,31.54,34.25,1,"	8,56" 
2018-02-01T15:15:00Z,"INTC",2018-05-01T14:15:00Z,Buy,40.415999582,43.63165014,17,54.67,1,-72.79,83.26,72.79,1,"	8,69" 
2018-02-01T15:15:00Z,"INTC",2018-05-02T14:30:00Z,Buy,40.415999582,45.07702251,9,41.95,1,-38.54,44.08,38.54,1,"	8,75" 
2018-02-01T15:15:00Z,"INTC",2018-06-01T14:15:00Z,Buy,40.415999582,46.92691656,126,820.38,1.405,-539.49,871.79,539.49,1,"	8,84" 
2018-03-01T15:15:00Z,"PFE",2018-03-05T21:00:00Z,Buy,23.965571395697,23.642158286805,278,-89.91,2.78,-124.77,0,124.77,0,"	35,36" 
2018-03-01T15:15:00Z,"SQ",2018-03-05T21:00:00Z,Buy,46.03,45.51,144,-74.88,2,-74.88,632.16,707.04,0,"	25,37" 
2018-03-01T15:15:00Z,"BRK.B",2018-03-07T21:00:00Z,Buy,207.02,202.01,32,-160.32,2,-184,0,184,0,"	27,38" 
2018-03-01T15:15:00Z,"V",2018-03-19T20:00:00Z,Buy,116.27290233,117.152467965,57,50.14,2,-136.93,84.64,136.93,1,"	24,39" 
2018-03-01T15:15:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,86.450445078,82.486097058,1,-3.96,1,-8.44,2.77,8.84,0,"	23,40" 
2018-03-01T15:15:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,5.986478025,5.578803819,17,-6.93,1,-11.96,3.57,10.5,0,"	32,42" 
2018-03-01T15:15:00Z,"AAPL",2018-03-28T14:30:00Z,Buy,41.792420284,39.497732038,159,-364.86,2,-491.7,134.3,626,0,"	29,45" 
2018-03-01T15:15:00Z,"AMZN",2018-04-02T14:15:00Z,Buy,75.445089615,72.197227018,88,-285.81,2.305,-355.7,377.25,732.94,0,"	30,53" 
2018-03-01T15:15:00Z,"MU",2018-04-04T14:30:00Z,Buy,47.623765689,50.297175195,6,16.04,2,-6.97,72.24,64.92,1,"	28,65" 
2018-03-01T15:15:00Z,"MU",2018-05-01T14:15:00Z,Buy,47.623765689,44.862543462,134,-370,1.88,-370,1613.37,1983.38,0,"	28,67" 
2018-03-28T14:30:00Z,"AMZN",2018-04-02T14:15:00Z,Buy,74.676896035,72.197227018,173,-428.98,1,-566.37,874.53,566.37,0,"	52,53" 
