Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:15:00Z,TSLA,43.3713289962,153,Market,Filled,6635.8133364186,"" 
2020-02-03T15:15:00Z,V,190.710377257,34,Market,Filled,6484.152826738,"" 
2020-02-03T15:15:00Z,MSFT,161.630218722,41,Market,Filled,6626.838967602,"" 
2020-02-03T15:15:00Z,SPY,294.821017568,22,Market,Filled,6486.062386496,"" 
2020-02-03T15:15:00Z,AMD,47,141,Market,Filled,6627,"" 
2020-02-03T15:15:00Z,MU,51.799748421,128,Market,Filled,6630.367797888,"" 
2020-02-03T15:15:00Z,NVDA,5.8842580185,1132,Market,Filled,6660.980076942,"" 
2020-02-03T15:15:00Z,GS,206.156829,32,Market,Filled,6597.018528,"" 
2020-02-03T15:15:00Z,AAPL,74.584234152,89,Market,Filled,6637.996839528,"" 
2020-02-03T15:15:00Z,HD,197.2893925,33,Market,Filled,6510.5499525,"" 
2020-02-03T15:15:00Z,INTC,56.395855893,118,Market,Filled,6654.710995374,"" 
2020-02-03T15:15:00Z,JNJ,126.462578211,52,Market,Filled,6576.054066972,"" 
2020-02-03T15:15:00Z,MA,305.890043382,21,Market,Filled,6423.690911022,"" 
2020-02-03T15:15:00Z,GOOGL,71.101779139,93,Market,Filled,6612.465459927,"" 
2020-02-03T15:15:00Z,GOOG,71.17765808055,93,Market,Filled,6619.5222014911,"" 
2020-02-04T05:00:00Z,GS,210.5357648,-32,Market On Open,Filled,-6737.1444736,"Liquidated" 
2020-02-08T05:00:00Z,HD,204.641255,-33,Market On Open,Filled,-6753.161415,"Liquidated" 
2020-02-08T05:00:00Z,JNJ,128.936236224,-52,Market On Open,Filled,-6704.684283648,"Liquidated" 
2020-03-02T15:15:00Z,V,174.467116288,-34,Market,Filled,-5931.881953792,"Liquidated" 
2020-03-02T15:15:00Z,SPY,271.481287616,-22,Market,Filled,-5972.588327552,"Liquidated" 
2020-03-02T15:15:00Z,MA,281.017234575,-21,Market,Filled,-5901.361926075,"Liquidated" 
2020-03-02T15:15:00Z,TSLA,44.5326622134,-8,Market,Filled,-356.2612977072,"" 
2020-03-02T15:15:00Z,AMD,45.48,1,Market,Filled,45.48,"" 
2020-03-02T15:15:00Z,GILD,55.010532696,117,Market,Filled,6436.232325432,"" 
2020-03-02T15:15:00Z,MU,51.282629064,-2,Market,Filled,-102.565258128,"" 
2020-03-02T15:15:00Z,NVDA,6.725509323625,-171,Market,Filled,-1150.0620943399,"" 
2020-03-02T15:15:00Z,BABA,197.67901425,32,Market,Filled,6325.728456,"" 
2020-03-02T15:15:00Z,AAPL,66.02932209,8,Market,Filled,528.23457672,"" 
2020-03-02T15:15:00Z,INTC,49.218163536,13,Market,Filled,639.836125968,"" 
2020-03-02T15:15:00Z,BRK.B,206.44,31,Market,Filled,6399.64,"" 
2020-03-02T15:15:00Z,BMY,47.264395056,136,Market,Filled,6427.957727616,"" 
2020-03-02T15:15:00Z,JNJ,115.044264552,56,Market,Filled,6442.478814912,"" 
2020-03-02T15:15:00Z,GOOGL,66.4603482125,4,Market,Filled,265.84139285,"" 
2020-03-02T15:15:00Z,GOOG,66.46798128405,4,Market,Filled,265.8719251362,"" 
2020-03-02T15:15:00Z,ADBE,345.12,18,Market,Filled,6212.16,"" 
2020-03-03T05:00:00Z,BMY,48.704894736,-136,Market On Open,Filled,-6623.865684096,"Liquidated" 
2020-03-18T04:00:00Z,MU,33.398104887,-126,Market On Open,Filled,-4208.161215762,"Liquidated" 
2020-03-18T14:30:00Z,TSLA,28.679997132,-145,Market,Filled,-4158.59958414,"Liquidated" 
2020-03-18T14:30:00Z,MSFT,139.545603436,-41,Market,Filled,-5721.369740876,"Liquidated" 
2020-03-18T14:30:00Z,AMD,41.88,-142,Market,Filled,-5946.96,"Liquidated" 
2020-03-18T14:30:00Z,NVDA,5.410639503625,-961,Market,Filled,-5199.6245629836,"Liquidated" 
2020-03-18T14:30:00Z,JNJ,116.849316591,-56,Market,Filled,-6543.561729096,"Liquidated" 
2020-03-18T14:30:00Z,INTC,44.395634544,-131,Market,Filled,-5815.828125264,"Liquidated" 
2020-03-18T14:30:00Z,GOOGL,55.483783403,-97,Market,Filled,-5381.926990091,"Liquidated" 
2020-03-18T14:30:00Z,AAPL,61.0776060275,-97,Market,Filled,-5924.5277846675,"Liquidated" 
