Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:15:00Z,QCOM,160.723046536,41,Market,Filled,6589.644907976,"" 
2022-02-01T15:15:00Z,AAPL,170.813228076,39,Market,Filled,6661.715894964,"" 
2022-02-01T15:15:00Z,VZ,41.027166221,162,Market,Filled,6646.400927802,"" 
2022-02-01T15:15:00Z,V,219.003826167,30,Market,Filled,6570.11478501,"" 
2022-02-01T15:15:00Z,MA,377.942272198,17,Market,Filled,6425.018627366,"" 
2022-02-01T15:15:00Z,PFE,42.531472347,156,Market,Filled,6634.909686132,"" 
2022-02-01T15:15:00Z,JNJ,153.413132295,43,Market,Filled,6596.764688685,"" 
2022-02-01T15:15:00Z,XOM,65.4123657,101,Market,Filled,6606.6489357,"" 
2022-02-01T15:15:00Z,CVX,110.679009672,60,Market,Filled,6640.74058032,"" 
2022-02-01T15:15:00Z,GOOGL,134.2888590535,49,Market,Filled,6580.1540936215,"" 
2022-02-01T15:15:00Z,BAC,41.678105124,159,Market,Filled,6626.818714716,"" 
2022-02-01T15:15:00Z,WFC,48.3641018,137,Market,Filled,6625.8819466,"" 
2022-02-01T15:15:00Z,AMD,114.25,58,Market,Filled,6626.5,"" 
2022-02-01T15:15:00Z,MSFT,300.21371691,22,Market,Filled,6604.70177202,"" 
2022-02-01T15:15:00Z,UNH,441.710092089,15,Market,Filled,6625.651381335,"" 
2022-02-04T05:00:00Z,JNJ,152.2644705,-43,Market On Open,Filled,-6547.3722315,"Liquidated" 
2022-02-04T05:00:00Z,PFE,42.894575412,-156,Market On Open,Filled,-6691.553764272,"Liquidated" 
2022-02-05T05:00:00Z,VZ,41.042581275,-162,Market On Open,Filled,-6648.89816655,"Liquidated" 
2022-02-11T05:00:00Z,CVX,115.440212692,-60,Market On Open,Filled,-6926.41276152,"Liquidated" 
2022-02-11T05:00:00Z,UNH,453.029281236,-15,Market On Open,Filled,-6795.43921854,"Liquidated" 
2022-02-16T05:00:00Z,WFC,52.130034129,-137,Market On Open,Filled,-7141.814675673,"Liquidated" 
2022-02-26T05:00:00Z,QCOM,153.99272324,-41,Market On Open,Filled,-6313.70165284,"Liquidated" 
2022-03-01T15:15:00Z,MA,352.940448922,-17,Market,Filled,-5999.987631674,"Liquidated" 
2022-03-01T15:15:00Z,GOOGL,134.044207557,-49,Market,Filled,-6568.166170293,"Liquidated" 
2022-03-01T15:15:00Z,MSFT,289.042155524,-22,Market,Filled,-6358.927421528,"Liquidated" 
2022-03-01T15:15:00Z,V,209.61273486,-30,Market,Filled,-6288.3820458,"Liquidated" 
