Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:15:00Z,"JNJ",2022-02-04T21:00:00Z,Buy,153.413132295,152.2644705,43,-49.39,2,-53.99,18.38,67.77,0,"	7,16" 
2022-02-01T15:15:00Z,"PFE",2022-02-04T21:00:00Z,Buy,42.531472347,42.894575412,156,56.64,2,0,146.02,103.22,1,"	6,17" 
2022-02-01T15:15:00Z,"VZ",2022-02-07T21:00:00Z,Buy,41.027166221,41.042581275,162,2.5,2,-28.72,71.17,99.89,1,"	3,18" 
2022-02-01T15:15:00Z,"CVX",2022-02-11T21:00:00Z,Buy,110.679009672,115.440212692,60,285.67,2,0,379.21,126.4,1,"	9,19" 
2022-02-01T15:15:00Z,"UNH",2022-02-11T21:00:00Z,Buy,441.710092089,453.029281236,15,169.79,2,-58.33,357.94,279.99,1,"	15,20" 
2022-02-01T15:15:00Z,"WFC",2022-02-16T21:00:00Z,Buy,48.3641018,52.130034129,137,515.93,2,0,680.47,164.54,1,"	12,21" 
2022-02-01T15:15:00Z,"QCOM",2022-02-28T21:00:00Z,Buy,160.723046536,153.99272324,41,-275.94,2,-530.14,466.4,996.55,0,"	1,22" 
2022-02-01T15:15:00Z,"MA",2022-03-01T15:15:00Z,Buy,377.942272198,352.940448922,17,-425.03,2,-425.03,172.44,597.47,0,"	5,23" 
2022-02-01T15:15:00Z,"GOOGL",2022-03-01T15:15:00Z,Buy,134.2888590535,134.044207557,49,-11.99,2,-375.22,617.46,992.69,0,"	10,24" 
2022-02-01T15:15:00Z,"MSFT",2022-03-01T15:15:00Z,Buy,300.21371691,289.042155524,22,-245.77,2,-639.92,52.67,692.59,0,"	14,25" 
2022-02-01T15:15:00Z,"V",2022-03-01T15:15:00Z,Buy,219.003826167,209.61273486,30,-281.73,2,-286.68,268.71,555.39,0,"	4,26" 
2022-02-01T15:15:00Z,"XOM",2022-03-01T15:15:00Z,Buy,65.4123657,68.324678411,4,11.65,2,0,22.37,19.82,1,"	8,37" 
2022-02-01T15:15:00Z,"AMD",2022-03-01T15:15:00Z,Buy,114.25,123.34,5,45.45,2,-22.45,93,115.45,1,"	13,39" 
2022-02-01T15:15:00Z,"AAPL",2022-03-16T14:30:00Z,Buy,170.813228076,151.763210937,39,-742.95,2,-913.54,65.73,979.27,0,"	2,48" 
2022-02-01T15:15:00Z,"BAC",2022-03-16T14:30:00Z,Buy,41.678105124,37.6700978,159,-637.27,2,-1093.34,465.34,1558.69,0,"	11,53" 
2022-02-01T15:15:00Z,"AMD",2022-03-16T14:30:00Z,Buy,114.25,109.33,53,-260.76,1,-636,985.8,1621.8,0,"	13,54" 
2022-02-01T15:15:00Z,"XOM",2022-04-01T14:15:00Z,Buy,65.4123657,71.993176002,97,638.34,1,0,1073.64,916.24,1,"	8,68" 
2022-03-01T15:15:00Z,"KO",2022-03-02T21:00:00Z,Buy,55.236219936,54.952229088,120,-34.08,2,-34.08,20.23,54.31,0,"	38,42" 
2022-03-01T15:15:00Z,"UNH",2022-03-02T21:00:00Z,Buy,444.794594499,447.430442013,14,36.9,2,0,124.45,87.54,1,"	41,43" 
2022-03-01T15:15:00Z,"VZ",2022-03-02T21:00:00Z,Buy,41.366297409,41.343174828,160,-3.7,2,-7.4,57.96,61.66,0,"	27,44" 
2022-03-01T15:15:00Z,"PANW",2022-03-03T21:00:00Z,Buy,99.06665676,97.2549902745,67,-121.38,2,-234.39,0,234.39,0,"	31,45" 
2022-03-01T15:15:00Z,"BRK.B",2022-03-11T21:00:00Z,Buy,321.22,326.53,20,106.2,2,-87.6,130.2,184.4,1,"	34,46" 
2022-03-01T15:15:00Z,"LMT",2022-03-15T20:00:00Z,Buy,390.23115485,400.03527975,17,166.67,2,0,490.22,412.55,1,"	32,47" 
2022-03-01T15:15:00Z,"AAPL",2022-03-16T14:30:00Z,Buy,161.578060416,151.763210937,2,-19.63,1,-28.38,21.84,31.2,0,"	28,48" 
2022-03-01T15:15:00Z,"MU",2022-03-16T14:30:00Z,Buy,86.91418815,71.509073775,76,-1170.79,2,-1446.57,330.05,1776.63,0,"	40,49" 
2022-03-01T15:15:00Z,"TSLA",2022-03-16T14:30:00Z,Buy,290.143304319,267.296639937,22,-502.63,2,-763.11,69.37,832.48,0,"	29,50" 
2022-03-01T15:15:00Z,"AVGO",2022-03-16T14:30:00Z,Buy,54.4157890752,54.9085917408,122,60.12,2,-221.95,108.26,330.22,1,"	30,51" 
2022-03-01T15:15:00Z,"NVDA",2022-03-16T14:30:00Z,Buy,24.3369981275,22.9316853568,273,-383.65,2.73,-831.38,0,831.38,0,"	33,52" 
2022-03-01T15:15:00Z,"BAC",2022-03-16T14:30:00Z,Buy,39.92570972,37.6700978,7,-15.79,1,-35.87,32.75,35.87,0,"	35,53" 
2022-03-01T15:15:00Z,"CVX",2022-04-01T14:15:00Z,Buy,122.6215008,138.638934342,54,864.94,2,0,1233.73,601.92,1,"	36,67" 
2022-03-16T14:30:00Z,"BRK.B",2022-04-01T14:15:00Z,Buy,332.59,352.91,40,812.8,2,0,1076.8,264,1,"	56,66" 
2022-03-16T14:30:00Z,"CVX",2022-04-01T14:15:00Z,Buy,134.79849706,138.638934342,42,161.3,1,-511.43,448.13,232.47,1,"	57,67" 
2022-03-16T14:30:00Z,"XOM",2022-04-01T14:15:00Z,Buy,67.322594746,71.993176002,99,462.39,1,-189.11,906.66,243.27,1,"	58,68" 
2022-03-16T14:30:00Z,"BRK.B",2022-04-07T20:00:00Z,Buy,332.59,345.67,18,235.44,1,0,484.56,265.32,1,"	56,75" 
2022-03-16T14:30:00Z,"XOM",2022-04-27T14:30:00Z,Buy,67.322594746,71.71433533,92,404.04,1,-175.74,905.88,505.05,1,"	58,77" 
2022-03-16T14:30:00Z,"CVX",2022-04-27T14:30:00Z,Buy,134.79849706,133.291274446,48,-72.35,1,-584.5,637.22,709.57,0,"	57,83" 
2022-04-01T14:15:00Z,"AVGO",2022-04-04T20:00:00Z,Buy,58.7229996864,58.3219882224,113,-45.31,2,-45.31,54.48,99.8,0,"	62,73" 
2022-04-01T14:15:00Z,"COST",2022-04-06T20:00:00Z,Buy,549.09451179,547.359073722,12,-20.83,2,-20.83,102.3,123.12,0,"	64,74" 
2022-04-01T14:15:00Z,"AAPL",2022-04-27T14:30:00Z,Buy,170.864493273,153.43653024,39,-679.69,2,-679.69,146.17,825.86,0,"	61,76" 
2022-04-01T14:15:00Z,"GOOG",2022-04-27T14:30:00Z,Buy,138.60990722715,118.6163614842,48,-959.69,2,-959.69,190.24,1149.93,0,"	69,78" 
2022-04-01T14:15:00Z,"MSFT",2022-04-27T14:30:00Z,Buy,298.251571236,261.404234632,22,-810.64,2,-810.64,141.74,952.38,0,"	71,79" 
2022-04-01T14:15:00Z,"OXY",2022-04-27T14:30:00Z,Buy,53.669582988,51.853481484,124,-225.2,2,-225.2,593.49,818.68,0,"	59,80" 
2022-04-01T14:15:00Z,"TSLA",2022-04-27T14:30:00Z,Buy,359.19996408,292.139970786,18,-1207.08,2,-1207.08,407.1,1614.18,0,"	60,81" 
2022-04-01T14:15:00Z,"NVDA",2022-04-27T14:30:00Z,Buy,27.2369288576,18.7542116608,244,-2069.78,2.44,-2069.78,18.02,2087.81,0,"	65,82" 
2022-04-01T14:15:00Z,"GOOGL",2022-04-27T14:30:00Z,Buy,138.0246328175,117.76024365,48,-972.69,2,-972.69,185.99,1158.68,0,"	70,84" 
2022-04-01T14:15:00Z,"UNH",2022-05-02T14:15:00Z,Buy,478.078363089,476.747164635,1,-1.33,2,-1.33,33.79,35.12,0,"	72,94" 
2022-04-01T14:15:00Z,"UNH",2022-05-04T14:30:00Z,Buy,478.078363089,468.375613794,12,-116.43,1,-116.43,405.43,521.87,0,"	72,96" 
2022-04-01T14:15:00Z,"JNJ",2022-05-05T20:00:00Z,Buy,158.824894899,160.787466246,41,80.47,2,-27.92,322.6,339.87,1,"	63,101" 
2022-04-27T14:30:00Z,"KO",2022-05-02T14:15:00Z,Buy,58.17192524,57.778448728,3,-1.18,2.575,-1.18,3.06,4.24,0,"	88,93" 
2022-04-27T14:30:00Z,"UNH",2022-05-04T14:30:00Z,Buy,481.650099786,468.375613794,25,-331.86,1,-331.86,755.36,581.23,0,"	89,96" 
2022-04-27T14:30:00Z,"JNJ",2022-05-05T20:00:00Z,Buy,165.501222084,160.787466246,69,-325.25,1,-507.66,82.24,489.73,0,"	85,101" 
2022-04-27T14:30:00Z,"KO",2022-05-10T20:00:00Z,Buy,58.17192524,57.849989912,312,-100.44,1.58,-549.65,318.07,867.72,0,"	88,102" 
2022-05-02T14:15:00Z,"MRK",2022-05-03T20:00:00Z,Buy,79.135281312,77.600925728,228,-349.83,2.28,-349.83,0,349.83,0,"	90,95" 
2022-05-02T14:15:00Z,"XOM",2022-05-04T14:30:00Z,Buy,74.197760065,76.838032678,11,29.04,2.215,0,29.04,0,1,"	92,99" 
2022-05-02T14:15:00Z,"JNJ",2022-05-05T20:00:00Z,Buy,161.719463598,160.787466246,1,-0.93,1,-3.58,4.97,3.32,0,"	91,101" 
2022-05-02T14:15:00Z,"XOM",2022-06-01T14:15:00Z,Buy,74.197760065,84.579502632,13,134.96,1,-7.48,152.7,81.79,1,"	92,106" 
