Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:15:00Z,"GOOGL",2016-03-01T15:15:00Z,Buy,37.7820318175,35.592078361,176,-385.43,2,-526.92,170.84,697.76,0,"	1,18" 
2016-02-01T15:15:00Z,"FB",2016-03-01T15:15:00Z,Buy,111.431621672,106.178317344,59,-309.94,2,-742.34,168.74,911.09,0,"	4,19" 
2016-02-01T15:15:00Z,"ACN",2016-03-01T15:15:00Z,Buy,88.630921791,84.204834822,75,-331.96,2,-769.11,47.24,816.35,0,"	3,20" 
2016-02-01T15:15:00Z,"MSFT",2016-03-01T15:15:00Z,Buy,48.127544003,44.768762496,138,-463.51,2,-700.45,0,700.45,0,"	7,21" 
2016-02-01T15:15:00Z,"SAP",2016-03-01T15:15:00Z,Buy,69.249876002,65.371327628,96,-372.34,2,-510.61,0,510.61,0,"	8,22" 
2016-02-01T15:15:00Z,"GOOG",2016-03-01T15:15:00Z,Buy,36.87096286575,34.62877953945,180,-403.59,2,-579.22,193.85,773.06,0,"	10,23" 
2016-02-01T15:15:00Z,"V",2016-03-01T15:15:00Z,Buy,68.90555112,67.477353996,96,-137.11,2,-574.86,13.37,588.23,0,"	14,24" 
2016-02-01T15:15:00Z,"MCD",2016-03-01T15:15:00Z,Buy,96.501722562,92.056155229,69,-306.74,2,-450.79,44.65,495.44,0,"	15,25" 
2016-02-01T15:15:00Z,"JNJ",2016-03-01T15:15:00Z,Buy,79.263140068,80.426174787,4,4.65,2,-11.84,8.23,11.84,1,"	2,28" 
2016-02-01T15:15:00Z,"MMM",2016-03-01T15:15:00Z,Buy,75.563076467728,79.062659796577,7,24.5,2,-10.96,32.01,10.96,1,"	5,29" 
2016-02-01T15:15:00Z,"WMT",2016-03-01T15:15:00Z,Buy,18.436754928324,18.431198341547,10,-0.06,2.805,-6.22,4.67,9.39,0,"	6,30" 
2016-02-01T15:15:00Z,"PG",2016-03-01T15:15:00Z,Buy,62.169118868,61.073493716,2,-2.19,2,-2.78,1.42,4.2,0,"	9,32" 
2016-02-01T15:15:00Z,"XOM",2016-03-01T15:15:00Z,Buy,49.904380125,51.844907275,9,17.46,2,-18.81,31.15,18.81,1,"	12,37" 
2016-02-01T15:15:00Z,"BUD",2016-03-01T21:00:00Z,Buy,102.627214125,91.422621975,64,-717.09,2,-748.93,44.88,793.81,0,"	13,16" 
2016-02-01T15:15:00Z,"DUK",2016-03-01T21:00:00Z,Buy,49.47412892,49.525434333,134,6.87,2,-110.6,345.21,455.81,1,"	11,17" 
2016-02-01T15:15:00Z,"WMT",2016-04-01T14:15:00Z,Buy,18.436754928324,19.16939935506,351,257.16,1.755,-218.44,287.61,329.61,1,"	6,40" 
2016-02-01T15:15:00Z,"XOM",2016-04-01T14:15:00Z,Buy,49.904380125,54.070066115,124,516.55,1,-259.13,591.94,259.13,1,"	12,44" 
2016-02-01T15:15:00Z,"PG",2016-05-02T14:15:00Z,Buy,62.169118868,61.458345444,105,-74.63,1,-146.2,179.89,300.43,0,"	9,64" 
2016-02-01T15:15:00Z,"JNJ",2016-05-02T14:15:00Z,Buy,79.263140068,85.677841176,4,25.66,1,-11.84,30.25,11.84,1,"	2,68" 
2016-02-01T15:15:00Z,"MMM",2016-05-02T14:15:00Z,Buy,75.563076467728,84.36508986836,1,8.8,1,-1.57,9.95,1.75,1,"	5,70" 
2016-02-01T15:15:00Z,"JNJ",2016-06-01T14:15:00Z,Buy,79.263140068,86.759197094,76,569.7,1,-224.95,637.99,224.95,1,"	2,94" 
2016-02-01T15:15:00Z,"MMM",2016-06-01T14:15:00Z,Buy,75.563076467728,85.403794592451,80,787.26,1,-125.3,855.04,167.39,1,"	5,97" 
2016-03-01T15:15:00Z,"ORCL",2016-04-01T14:15:00Z,Buy,31.656568919,35.220838577,204,727.11,2.04,0,850.05,173.87,1,"	31,41" 
2016-03-01T15:15:00Z,"SPG",2016-04-01T14:15:00Z,Buy,114.992500432,125.818103544,56,606.23,2,0,606.23,125.18,1,"	34,42" 
2016-03-01T15:15:00Z,"UNH",2016-04-01T14:15:00Z,Buy,101.45340558,110.25449899,63,554.47,2,0,604.58,64.66,1,"	35,43" 
2016-03-01T15:15:00Z,"BRK.B",2016-04-01T14:15:00Z,Buy,134.17,141.89,48,370.56,2,0,397.92,108.48,1,"	38,45" 
2016-03-01T15:15:00Z,"HON",2016-04-01T14:15:00Z,Buy,73.895782027477,81.721499962286,87,680.84,2,0,739.85,105.33,1,"	39,46" 
2016-03-01T15:15:00Z,"UPS",2016-04-01T14:15:00Z,Buy,66.580677245,72.731890513,3,18.45,2,0,19.76,3.6,1,"	26,47" 
2016-03-01T15:15:00Z,"TXN",2016-04-01T14:15:00Z,Buy,40.279675744,43.622387424,3,10.03,2,0,12.19,2.19,1,"	33,54" 
2016-03-01T15:15:00Z,"UPS",2016-05-02T14:15:00Z,Buy,66.580677245,72.456051353,94,552.29,1,0,667.02,145.2,1,"	26,61" 
2016-03-01T15:15:00Z,"ADP",2016-05-02T14:15:00Z,Buy,67.947904908,71.399230452,1,3.45,2,0,5.39,1.94,1,"	27,67" 
2016-03-01T15:15:00Z,"TXN",2016-05-02T14:15:00Z,Buy,40.279675744,43.610268536,2,6.66,1,0,10.48,3.82,1,"	33,73" 
2016-03-01T15:15:00Z,"DOW",2016-05-02T14:15:00Z,Buy,20.34493041739,22.21728442597,16,29.96,2.585,0,37.12,9.78,1,"	36,75" 
2016-03-01T15:15:00Z,"DOW",2016-05-25T14:30:00Z,Buy,20.34493041739,22.305967750993,301,590.27,1.52,0,698.32,396.59,1,"	36,82" 
2016-03-01T15:15:00Z,"ADP",2016-05-25T14:30:00Z,Buy,67.947904908,70.608058518,94,250.05,1,0,506.56,432.56,1,"	27,84" 
2016-03-01T15:15:00Z,"TXN",2016-06-01T14:15:00Z,Buy,40.279675744,46.33208754,155,938.12,1.49,0,987.9,368.55,1,"	33,102" 
2016-04-01T14:15:00Z,"HD",2016-05-02T14:15:00Z,Buy,105.730265575,106.094770725,65,23.69,2,-36.05,173.58,209.63,1,"	50,62" 
2016-04-01T14:15:00Z,"MSFT",2016-05-02T14:15:00Z,Buy,48.596280516,43.880074404,141,-664.99,2,-664.99,152.6,817.58,0,"	51,63" 
2016-04-01T14:15:00Z,"PG",2016-05-02T14:15:00Z,Buy,62.625629348,61.458345444,4,-4.67,1,-7.4,5.03,11.44,0,"	53,64" 
2016-04-01T14:15:00Z,"INTC",2016-05-02T14:15:00Z,Buy,25.794379255,24.143857924,266,-439.04,2.66,-439.04,21.21,460.25,0,"	55,65" 
2016-04-01T14:15:00Z,"AVGO",2016-05-02T14:15:00Z,Buy,12.016773615,11.3362120025,572,-389.28,5.72,-389.28,221.56,610.84,0,"	57,66" 
2016-04-01T14:15:00Z,"MCD",2016-05-02T14:15:00Z,Buy,98.725297288,99.361575859,1,0.64,2,-0.14,2.5,2.64,1,"	58,77" 
2016-04-01T14:15:00Z,"KO",2016-05-02T20:00:00Z,Buy,34.14280805,32.81801705,201,-266.28,2.01,-403.86,73.97,477.83,0,"	59,60" 
2016-04-01T14:15:00Z,"SAP",2016-05-25T14:30:00Z,Buy,69.779163364,70.19875431,98,41.12,2,-315.47,51.02,335.88,1,"	52,80" 
2016-04-01T14:15:00Z,"DOW",2016-05-25T14:30:00Z,Buy,21.478256717446,22.305967750993,3,2.48,1,-3.4,3.56,3.95,1,"	56,82" 
2016-04-01T14:15:00Z,"MCD",2016-05-25T14:30:00Z,Buy,98.725297288,97.366331945,68,-92.41,1,-166.66,316.22,482.88,0,"	58,83" 
