Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:15:00Z,"UNH",2018-03-01T15:15:00Z,Buy,208.33467148,198.99049456,31,-289.67,2,-553.97,0,553.97,0,"	5,16" 
2018-02-01T15:15:00Z,"WMT",2018-03-01T15:15:00Z,Buy,31.264476353552,26.39589936041,213,-1037.01,2.13,-1037.01,0,1037.01,0,"	8,17" 
2018-02-01T15:15:00Z,"TM",2018-03-01T15:15:00Z,Buy,137.92,134.6,48,-159.36,2,-287.52,42.24,329.76,0,"	9,18" 
2018-02-01T15:15:00Z,"RIO",2018-03-01T15:15:00Z,Buy,30.788869974,30.020657214,216,-165.93,2.16,-455.13,330.68,503.73,0,"	12,19" 
2018-02-01T15:15:00Z,"CSCO",2018-03-01T15:15:00Z,Buy,32.775072462,35.331433434,17,43.46,2.015,-37.15,51.24,39.3,1,"	1,20" 
2018-02-01T15:15:00Z,"ABBV",2018-03-01T15:15:00Z,Buy,79.641950456,82.203948684,3,7.69,2,-7.96,19.84,16.73,1,"	7,23" 
2018-02-01T15:15:00Z,"ADBE",2018-03-01T15:15:00Z,Buy,199.76,209.13,2,18.74,2,-29.2,24.78,29.2,1,"	14,26" 
2018-02-01T15:15:00Z,"ACN",2018-03-01T15:15:00Z,Buy,140.47032871,140.741304453,1,0.27,2,-8.91,3.53,8.91,1,"	13,28" 
2018-02-01T15:15:00Z,"ASML",2018-03-01T21:00:00Z,Buy,187.504007416,178.441067365,35,-317.2,2,-745.64,0,745.64,0,"	3,15" 
2018-02-01T15:15:00Z,"V",2018-03-28T14:30:00Z,Buy,117.3076058,111.042796995,56,-350.83,2,-549.33,77.72,627.05,0,"	2,30" 
2018-02-01T15:15:00Z,"CSCO",2018-03-28T14:30:00Z,Buy,32.775072462,33.674532804,186,167.3,1,-406.51,588.48,459.34,1,"	1,31" 
2018-02-01T15:15:00Z,"BRK.B",2018-03-28T14:30:00Z,Buy,214.38,196.03,31,-568.85,2,-715.17,90.52,805.69,0,"	4,34" 
2018-02-01T15:15:00Z,"BA",2018-03-28T14:30:00Z,Buy,337.615838154,307.53485784,19,-571.54,2,-599.2,216.9,816.1,0,"	6,35" 
2018-02-01T15:15:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,79.641950456,65.299018548,80,-1147.43,1,-1147.43,529.15,1676.58,0,"	7,36" 
2018-02-01T15:15:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,71,-428.12,2,-494.34,176.96,671.3,0,"	10,38" 
2018-02-01T15:15:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,1097,-546.2,10.99,-870.56,131.14,870.56,0,"	11,39" 
2018-02-01T15:15:00Z,"ACN",2018-03-28T14:30:00Z,Buy,140.47032871,130.120803558,46,-476.08,1,-536.79,162.45,699.24,0,"	13,41" 
2018-02-01T15:15:00Z,"ADBE",2018-04-02T14:15:00Z,Buy,199.76,216.08,1,16.32,1,-14.6,29.99,17.21,1,"	14,49" 
2018-02-01T15:15:00Z,"ADBE",2018-04-04T14:30:00Z,Buy,199.76,215.93,2,32.34,1,-29.2,59.98,34.94,1,"	14,55" 
2018-02-01T15:15:00Z,"ADBE",2018-05-02T14:30:00Z,Buy,199.76,224.08,1,24.32,1,-14.6,31.4,17.47,1,"	14,69" 
2018-02-01T15:15:00Z,"ADBE",2018-06-01T14:15:00Z,Buy,199.76,249.28,27,1337.04,1,-394.2,1337.04,471.69,1,"	14,82" 
2018-03-01T15:15:00Z,"BAC",2018-03-28T14:30:00Z,Buy,26.59981587,24.553676232,247,-505.4,2.47,-577.3,176.68,753.99,0,"	22,32" 
2018-03-01T15:15:00Z,"MA",2018-03-28T14:30:00Z,Buy,168.354563312,165.251076824,39,-121.04,2,-143.82,279.43,423.25,0,"	29,33" 
2018-03-01T15:15:00Z,"AAPL",2018-03-28T14:30:00Z,Buy,41.792420284,39.497732038,157,-360.27,2,-485.51,132.61,618.13,0,"	24,37" 
2018-03-01T15:15:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,5.986478025,5.578803819,4,-1.63,1,-2.81,0.84,2.47,0,"	27,39" 
2018-03-01T15:15:00Z,"TXN",2018-03-28T14:30:00Z,Buy,86.490051615,81.868202064,76,-351.26,2,-424.06,198.99,623.05,0,"	25,40" 
2018-03-01T15:15:00Z,"INTC",2018-04-02T14:15:00Z,Buy,41.66222463,44.02046376,8,18.87,2,-9.8,21.57,19.47,1,"	21,47" 
2018-03-01T15:15:00Z,"INTC",2018-05-01T14:15:00Z,Buy,41.66222463,43.63165014,150,295.41,2.175,-183.84,547.72,467.84,1,"	21,58" 
2018-03-28T14:30:00Z,"STO",2018-04-02T14:15:00Z,Buy,14.484309539,14.521149665,3,0.11,7.45,-0.59,0.11,0.59,1,"	44,48" 
2018-03-28T14:30:00Z,"NEE",2018-04-04T14:30:00Z,Buy,33.328543668,33.2076024,9,-1.09,3.8,-1.09,1.44,2.53,0,"	43,54" 
2018-03-28T14:30:00Z,"STO",2018-04-04T14:30:00Z,Buy,14.484309539,14.61324998,33,4.26,1,-6.69,4.26,7.9,1,"	44,56" 
2018-03-28T14:30:00Z,"INTC",2018-05-01T14:15:00Z,Buy,43.26819393,43.63165014,274,99.59,1.37,-775.85,560.47,761.96,1,"	42,58" 
2018-03-28T14:30:00Z,"STO",2018-05-01T14:15:00Z,Buy,14.484309539,15.71845376,27,33.32,1,-5.47,42.94,20.23,1,"	44,64" 
2018-03-28T14:30:00Z,"NEE",2018-06-01T14:15:00Z,Buy,33.328543668,33.988596012,353,233,1.765,-446.46,233,555,1,"	43,74" 
2018-03-28T14:30:00Z,"ADBE",2018-06-01T14:15:00Z,Buy,213.8,249.28,32,1135.36,1,-916.48,1135.36,442.88,1,"	45,82" 
2018-03-28T14:30:00Z,"STO",2018-06-01T14:15:00Z,Buy,14.484309539,16.254396375,836,1479.79,4.18,-169.39,2075.11,1232.04,1,"	44,85" 
2018-03-28T14:30:00Z,"NEE",2018-07-02T14:15:00Z,Buy,33.328543668,34.47333422725,198,226.67,1,-250.42,269.58,379.28,1,"	43,88" 
2018-03-28T14:30:00Z,"AMZN",2018-07-02T14:15:00Z,Buy,74.676896035,84.79061346,171,1729.45,2.25,-1066.75,2158.33,1066.75,1,"	46,96" 
2018-03-28T14:30:00Z,"STO",2018-07-02T14:15:00Z,Buy,14.484309539,16.353470791,3,5.61,1,-0.61,7.45,4.42,1,"	44,100" 
2018-03-28T14:30:00Z,"ADBE",2018-08-01T14:15:00Z,Buy,213.8,244.68,24,741.12,1,-687.36,1184.88,500.4,1,"	45,107" 
2018-03-28T14:30:00Z,"AMZN",2018-08-01T14:15:00Z,Buy,74.676896035,88.663506288,2,27.97,1,-12.48,36.57,12.48,1,"	46,118" 
2018-03-28T14:30:00Z,"STO",2018-09-04T14:15:00Z,Buy,14.484309539,16.102296882,388,627.78,2.095,-78.62,1088.02,776.03,1,"	44,126" 
2018-03-28T14:30:00Z,"AMZN",2018-09-04T14:15:00Z,Buy,74.676896035,100.399409117,6,154.34,1,-37.43,154.34,37.43,1,"	46,134" 
2018-03-28T14:30:00Z,"AMZN",2018-10-01T14:15:00Z,Buy,74.676896035,99.9150481,71,1791.91,1,-442.92,1921.22,465.66,1,"	46,143" 
2018-04-02T14:15:00Z,"MA",2018-04-04T14:30:00Z,Buy,167.760686268,165.203183514,111,-283.88,2,-376.38,0,376.38,0,"	50,52" 
2018-04-02T14:15:00Z,"UNP",2018-04-04T14:30:00Z,Buy,112.738603731,112.696671646,3,-0.13,2,-3.35,0,3.35,0,"	51,57" 
2018-04-02T14:15:00Z,"UNP",2018-05-01T14:15:00Z,Buy,112.738603731,112.067690371,162,-108.69,1,-600.5,615.45,921.13,0,"	51,59" 
2018-04-04T14:30:00Z,"INTC",2018-05-01T14:15:00Z,Buy,42.05103825,43.63165014,11,17.39,1,-17.76,35.89,23.34,1,"	53,58" 
2018-05-01T14:15:00Z,"UNH",2018-05-02T14:30:00Z,Buy,208.68900288,209.08625352,92,36.55,2,0,36.55,0,1,"	61,65" 
2018-05-01T14:15:00Z,"CSCO",2018-05-02T14:30:00Z,Buy,35.225745899,35.655231173,6,2.58,3.735,0,2.58,0,1,"	60,66" 
2018-05-01T14:15:00Z,"CSCO",2018-06-01T14:15:00Z,Buy,35.225745899,33.969103801,541,-679.84,2.705,-679.84,864.86,1544.71,0,"	60,71" 
2018-05-01T14:15:00Z,"RIO",2018-06-01T14:15:00Z,Buy,31.17813545,32.1710697,414,411.07,5.16,-91.61,988.93,784.57,1,"	62,78" 
2018-05-01T14:15:00Z,"RIO",2018-07-02T14:15:00Z,Buy,31.17813545,31.47885268,204,61.35,1.045,-96.07,662.08,758.15,1,"	62,90" 
2018-05-01T14:15:00Z,"ADBE",2018-08-01T14:15:00Z,Buy,221.6,244.68,3,69.24,1,-109.32,124.71,62.55,1,"	63,107" 
2018-05-02T14:30:00Z,"INTC",2018-06-01T14:15:00Z,Buy,45.07702251,46.92691656,285,527.22,3.565,-252.94,643.52,358.58,1,"	67,73" 
2018-05-02T14:30:00Z,"INTC",2018-07-02T14:15:00Z,Buy,45.07702251,42.259728663,143,-402.87,1,-518.36,493.08,1011.45,0,"	67,87" 
