Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:15:00Z,UTX,69.054499737495,96,Market,Filled,6629.2319747996,"" 
2020-02-03T15:15:00Z,GOOGL,71.101779139,93,Market,Filled,6612.465459927,"" 
2020-02-03T15:15:00Z,INTC,56.395855893,118,Market,Filled,6654.710995374,"" 
2020-02-03T15:15:00Z,MSFT,161.262147416,41,Market,Filled,6611.748044056,"" 
2020-02-03T15:15:00Z,ADBE,351.14,18,Market,Filled,6320.52,"" 
2020-02-03T15:15:00Z,V,190.317928829,35,Market,Filled,6661.127509015,"" 
2020-02-03T15:15:00Z,ENB,26.387798157,252,Market,Filled,6649.725135564,"" 
2020-02-03T15:15:00Z,MA,305.890074976,21,Market,Filled,6423.691574496,"" 
2020-02-03T15:15:00Z,AAPL,74.51450928675,89,Market,Filled,6631.7913265207,"" 
2020-02-03T15:15:00Z,MDT,97.101409392,68,Market,Filled,6602.895838656,"" 
2020-02-03T15:15:00Z,GOOG,71.17765808055,93,Market,Filled,6619.5222014911,"" 
2020-02-03T15:15:00Z,ACN,185.63255558,35,Market,Filled,6497.1394453,"" 
2020-02-03T15:15:00Z,LMT,361.853308845,18,Market,Filled,6513.35955921,"" 
2020-02-03T15:15:00Z,NVDA,5.8842580185,1132,Market,Filled,6660.980076942,"" 
2020-02-03T15:15:00Z,NEE,57.421868085,116,Market,Filled,6660.93669786,"" 
2020-03-02T15:15:00Z,UTX,60.32452402461,-96,Market,Filled,-5791.1543063625,"Liquidated" 
2020-03-02T15:15:00Z,MA,281.0172636,-21,Market,Filled,-5901.3625356,"Liquidated" 
2020-03-02T15:15:00Z,MDT,84.677745006,-68,Market,Filled,-5758.086660408,"Liquidated" 
2020-03-02T15:15:00Z,ACN,163.36135282,-35,Market,Filled,-5717.6473487,"Liquidated" 
2020-03-02T15:15:00Z,V,174.10808576,-35,Market,Filled,-6093.7830016,"Liquidated" 
2020-03-02T15:15:00Z,MSFT,153.894384467,-1,Market,Filled,-153.894384467,"" 
2020-03-02T15:15:00Z,INTC,49.218163536,7,Market,Filled,344.527144752,"" 
2020-03-02T15:15:00Z,ADBE,345.12,-1,Market,Filled,-345.12,"" 
2020-03-02T15:15:00Z,ENB,24.751190123,-2,Market,Filled,-49.502380246,"" 
2020-03-02T15:15:00Z,JNJ,114.435903928,54,Market,Filled,6179.538812112,"" 
2020-03-02T15:15:00Z,BABA,197.67901425,31,Market,Filled,6128.04944175,"" 
2020-03-02T15:15:00Z,AAPL,65.967590568,4,Market,Filled,263.870362272,"" 
2020-03-02T15:15:00Z,ASML,261.415048447,23,Market,Filled,6012.546114281,"" 
2020-03-02T15:15:00Z,BRK.B,206.44,29,Market,Filled,5986.76,"" 
2020-03-02T15:15:00Z,LMT,314.68650345,1,Market,Filled,314.68650345,"" 
2020-03-02T15:15:00Z,NVDA,6.725509323625,-212,Market,Filled,-1425.8079766085,"" 
2020-03-02T15:15:00Z,NEE,54.398773397,-3,Market,Filled,-163.196320191,"" 
2020-03-18T14:30:00Z,GOOGL,55.483783403,-93,Market,Filled,-5159.991856479,"Liquidated" 
2020-03-18T14:30:00Z,MSFT,139.227825019,-40,Market,Filled,-5569.11300076,"Liquidated" 
2020-03-18T14:30:00Z,ADBE,311.81,-17,Market,Filled,-5300.77,"Liquidated" 
