Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:15:00Z,JNJ,153.413132295,43,Market,Filled,6596.764688685,"" 
2022-02-01T15:15:00Z,ABBV,118.26805269,56,Market,Filled,6623.01095064,"" 
2022-02-01T15:15:00Z,BRK.B,312.95,21,Market,Filled,6571.95,"" 
2022-02-01T15:15:00Z,PFE,42.531472347,156,Market,Filled,6634.909686132,"" 
2022-02-01T15:15:00Z,KO,54.144630114,123,Market,Filled,6659.789504022,"" 
2022-02-01T15:15:00Z,AAPL,170.813228076,39,Market,Filled,6661.715894964,"" 
2022-02-01T15:15:00Z,ENB,32.135792862,207,Market,Filled,6652.109122434,"" 
2022-02-01T15:15:00Z,GOOGL,134.2888590535,49,Market,Filled,6580.1540936215,"" 
2022-02-01T15:15:00Z,QCOM,160.723046536,41,Market,Filled,6589.644907976,"" 
2022-02-01T15:15:00Z,BAC,41.678105124,159,Market,Filled,6626.818714716,"" 
2022-02-01T15:15:00Z,PG,144.90990163,46,Market,Filled,6665.85547498,"" 
2022-02-01T15:15:00Z,DE,356.5386894,18,Market,Filled,6417.6964092,"" 
2022-02-01T15:15:00Z,UNH,441.710092089,15,Market,Filled,6625.651381335,"" 
2022-02-01T15:15:00Z,RIO,53.05591914,125,Market,Filled,6631.9898925,"" 
2022-02-25T05:00:00Z,ENB,32.20097352,-207,Market On Open,Filled,-6665.60151864,"Liquidated" 
2022-03-01T05:00:00Z,DE,342.19757421,-18,Market On Open,Filled,-6159.55633578,"Liquidated" 
2022-03-01T15:15:00Z,JNJ,147.479619441,-43,Market,Filled,-6341.623635963,"Liquidated" 
2022-03-01T15:15:00Z,AAPL,161.578060416,-39,Market,Filled,-6301.544356224,"Liquidated" 
2022-03-01T15:15:00Z,GOOGL,134.044207557,-49,Market,Filled,-6568.166170293,"Liquidated" 
2022-03-01T15:15:00Z,BAC,39.92570972,-159,Market,Filled,-6348.18784548,"Liquidated" 
2022-03-01T15:15:00Z,UNH,444.794594499,-15,Market,Filled,-6671.918917485,"Liquidated" 
2022-03-01T15:15:00Z,ABBV,127.71532168,-5,Market,Filled,-638.5766084,"" 
2022-03-01T15:15:00Z,WFC,48.165875982,137,Market,Filled,6598.725009534,"" 
2022-03-01T15:15:00Z,BRK.B,321.22,-1,Market,Filled,-321.22,"" 
2022-03-01T15:15:00Z,PFE,37.867615201,18,Market,Filled,681.617073618,"" 
2022-03-01T15:15:00Z,KO,55.236219936,-4,Market,Filled,-220.944879744,"" 
2022-03-01T15:15:00Z,COP,80.577157464,82,Market,Filled,6607.326912048,"" 
2022-03-01T15:15:00Z,NVDA,24.3369981275,272,Market,Filled,6619.66349068,"" 
2022-03-01T15:15:00Z,RTX,93.99973869,70,Market,Filled,6579.9817083,"" 
2022-03-01T15:15:00Z,UNP,224.05459639,29,Market,Filled,6497.58329531,"" 
2022-03-01T15:15:00Z,CVX,122.6215008,53,Market,Filled,6498.9395424,"" 
2022-03-01T15:15:00Z,QCOM,157.275584739,1,Market,Filled,157.275584739,"" 
2022-03-01T15:15:00Z,XOM,68.324678411,96,Market,Filled,6559.169127456,"" 
2022-03-01T15:15:00Z,PG,140.764716235,1,Market,Filled,140.764716235,"" 
2022-03-01T15:15:00Z,RIO,58.391234258,-12,Market,Filled,-700.694811096,"" 
2022-03-16T14:30:00Z,WFC,45.258224676,-137,Market,Filled,-6200.376780612,"Liquidated" 
2022-03-16T14:30:00Z,QCOM,132.422375547,-42,Market,Filled,-5561.739772974,"Liquidated" 
2022-03-16T14:30:00Z,XOM,67.322594746,-96,Market,Filled,-6462.969095616,"Liquidated" 
2022-03-16T14:30:00Z,PG,135.707409435,-47,Market,Filled,-6378.248243445,"Liquidated" 
2022-03-16T14:30:00Z,KO,53.316067376,-119,Market,Filled,-6344.612017744,"Liquidated" 
2022-03-16T14:30:00Z,NVDA,22.9316853568,-272,Market,Filled,-6237.4184170496,"Liquidated" 
2022-03-16T14:30:00Z,RTX,89.350092414,-70,Market,Filled,-6254.50646898,"Liquidated" 
2022-03-16T14:30:00Z,UNP,236.972238906,-29,Market,Filled,-6872.194928274,"Liquidated" 
2022-03-16T14:30:00Z,PFE,42.160300325,-174,Market,Filled,-7335.89225655,"Liquidated" 
2022-03-16T14:30:00Z,RIO,54.703429616,-113,Market,Filled,-6181.487546608,"Liquidated" 
2022-03-16T14:30:00Z,ABBV,134.73378684,95,Market,Filled,12799.7097498,"" 
2022-03-16T14:30:00Z,BRK.B,332.59,39,Market,Filled,12971.01,"" 
2022-03-16T14:30:00Z,COP,80.73854962,162,Market,Filled,13079.64503844,"" 
2022-03-16T14:30:00Z,CVX,134.79849706,93,Market,Filled,12536.26022658,"" 
2022-04-01T14:15:00Z,UPS,177.040547388,38,Market,Filled,6727.540800744,"" 
2022-04-01T14:15:00Z,ABBV,140.11864373,-98,Market,Filled,-13731.62708554,"" 
2022-04-01T14:15:00Z,BRK.B,352.91,-40,Market,Filled,-14116.4,"" 
2022-04-01T14:15:00Z,PFE,41.772990389,163,Market,Filled,6808.997433407,"" 
2022-04-01T14:15:00Z,NVDA,27.2369288576,250,Market,Filled,6809.2322144,"" 
2022-04-01T14:15:00Z,COP,85.19708,-165,Market,Filled,-14057.5182,"" 
2022-04-01T14:15:00Z,TSLA,359.19996408,18,Market,Filled,6465.59935344,"" 
2022-04-01T14:15:00Z,AAPL,170.864493273,39,Market,Filled,6663.715237647,"" 
2022-04-01T14:15:00Z,UNP,248.887807602,27,Market,Filled,6719.970805254,"" 
2022-04-01T14:15:00Z,CVX,138.638934342,-97,Market,Filled,-13447.976631174,"" 
2022-04-01T14:15:00Z,UNH,478.078363089,14,Market,Filled,6693.097083246,"" 
2022-04-01T14:15:00Z,XOM,71.993176002,94,Market,Filled,6767.358544188,"" 
2022-04-01T14:15:00Z,AVGO,58.7229996864,115,Market,Filled,6753.144963936,"" 
2022-04-01T14:15:00Z,RIO,63.66757008,106,Market,Filled,6748.76242848,"" 
2022-04-27T14:30:00Z,UPS,150.978950442,-38,Market,Filled,-5737.200116796,"Liquidated" 
2022-04-27T14:30:00Z,BRK.B,330.55,-19,Market,Filled,-6280.45,"Liquidated" 
2022-04-27T14:30:00Z,COP,77.801973456,-79,Market,Filled,-6146.355903024,"Liquidated" 
2022-04-27T14:30:00Z,AAPL,153.43653024,-39,Market,Filled,-5984.02467936,"Liquidated" 
2022-04-27T14:30:00Z,CVX,133.291274446,-49,Market,Filled,-6531.272447854,"Liquidated" 
2022-04-27T14:30:00Z,XOM,71.71433533,-94,Market,Filled,-6741.14752102,"Liquidated" 
2022-04-27T14:30:00Z,NVDA,18.7542116608,-250,Market,Filled,-4688.5529152,"Liquidated" 
2022-04-27T14:30:00Z,TSLA,292.139970786,-18,Market,Filled,-5258.519474148,"Liquidated" 
2022-04-27T14:30:00Z,UNP,212.794930558,-27,Market,Filled,-5745.463125066,"Liquidated" 
2022-04-27T14:30:00Z,PFE,39.562096171,-163,Market,Filled,-6448.621675873,"Liquidated" 
2022-04-27T14:30:00Z,AVGO,52.2312768936,-115,Market,Filled,-6006.596842764,"Liquidated" 
2022-04-27T14:30:00Z,RIO,54.434188648,-106,Market,Filled,-5770.023996688,"Liquidated" 
2022-04-27T14:30:00Z,JNJ,165.501222084,111,Market,Filled,18370.635651324,"" 
2022-04-27T14:30:00Z,ABBV,136.297323312,87,Market,Filled,11857.867128144,"" 
2022-04-27T14:30:00Z,LLY,273.255275034,67,Market,Filled,18308.103427278,"" 
2022-04-27T14:30:00Z,KO,58.17192524,318,Market,Filled,18498.67222632,"" 
2022-04-27T14:30:00Z,UNH,481.650099786,24,Market,Filled,11559.602394864,"" 
2022-05-02T14:15:00Z,ABBV,127.981408344,-135,Market,Filled,-17277.49012644,"Liquidated" 
2022-05-02T14:15:00Z,JNJ,161.719463598,2,Market,Filled,323.438927196,"" 
2022-05-02T14:15:00Z,LLY,282.043792044,-3,Market,Filled,-846.131376132,"" 
2022-05-02T14:15:00Z,KO,57.778448728,-2,Market,Filled,-115.556897456,"" 
2022-05-02T14:15:00Z,XOM,74.197760065,246,Market,Filled,18252.64897599,"" 
2022-05-04T14:30:00Z,UNH,468.375613794,-38,Market,Filled,-17798.273324172,"Liquidated" 
2022-05-04T14:30:00Z,LLY,278.1420768,-64,Market,Filled,-17801.0929152,"Liquidated" 
2022-05-04T14:30:00Z,KO,56.410223584,-316,Market,Filled,-17825.630652544,"Liquidated" 
2022-05-04T14:30:00Z,COP,84.285471244,215,Market,Filled,18121.37631746,"" 
2022-05-04T14:30:00Z,MRK,77.69905312,233,Market,Filled,18103.87937696,"" 
2022-05-04T14:30:00Z,CVX,138.255742152,131,Market,Filled,18111.502221912,"" 
2022-05-04T14:30:00Z,XOM,76.838032678,-10,Market,Filled,-768.38032678,"" 
2022-06-01T14:15:00Z,JNJ,160.886042889,-113,Market,Filled,-18180.122846457,"Liquidated" 
2022-06-01T14:15:00Z,COP,96.157261032,-12,Market,Filled,-1153.887132384,"" 
2022-06-01T14:15:00Z,MRK,82.195071808,5,Market,Filled,410.97535904,"" 
2022-06-01T14:15:00Z,CVX,149.88452423,-1,Market,Filled,-149.88452423,"" 
2022-06-01T14:15:00Z,PFE,43.211839808,452,Market,Filled,19531.751593216,"" 
2022-06-01T14:15:00Z,XOM,84.579502632,-5,Market,Filled,-422.89751316,"" 
2022-07-01T14:15:00Z,COP,77.455457989,-203,Market,Filled,-15723.457971767,"Liquidated" 
2022-07-01T14:15:00Z,CVX,124.29992793,-130,Market,Filled,-16158.9906309,"Liquidated" 
2022-07-01T14:15:00Z,XOM,75.477170646,-231,Market,Filled,-17435.226419226,"Liquidated" 
2022-07-01T14:15:00Z,ABBV,133.769424632,132,Market,Filled,17657.564051424,"" 
2022-07-01T14:15:00Z,LLY,314.361594896,56,Market,Filled,17604.249314176,"" 
