Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-02-01T15:15:00Z,"ENB",2022-02-25T21:00:00Z,Buy,32.135792862,32.20097352,207,13.49,2.07,-69.63,209.3,278.93,1,"	7,15" 
2022-02-01T15:15:00Z,"JNJ",2022-03-01T15:15:00Z,Buy,153.413132295,147.479619441,43,-255.14,2,-502.92,18.38,521.3,0,"	1,17" 
2022-02-01T15:15:00Z,"AAPL",2022-03-01T15:15:00Z,Buy,170.813228076,161.578060416,39,-360.17,2,-552.9,65.73,618.63,0,"	6,18" 
2022-02-01T15:15:00Z,"GOOGL",2022-03-01T15:15:00Z,Buy,134.2888590535,134.044207557,49,-11.99,2,-375.22,617.46,992.69,0,"	8,19" 
2022-02-01T15:15:00Z,"BAC",2022-03-01T15:15:00Z,Buy,41.678105124,39.92570972,159,-278.63,2,-364.81,465.34,830.15,0,"	10,20" 
2022-02-01T15:15:00Z,"UNH",2022-03-01T15:15:00Z,Buy,441.710092089,444.794594499,15,46.27,2,-233.86,357.94,591.8,1,"	13,21" 
2022-02-01T15:15:00Z,"ABBV",2022-03-01T15:15:00Z,Buy,118.26805269,127.71532168,5,47.24,2,0,54.93,8.04,1,"	2,22" 
2022-02-01T15:15:00Z,"BRK.B",2022-03-01T15:15:00Z,Buy,312.95,321.22,1,8.27,2,-4.48,9.25,13.73,1,"	3,24" 
2022-02-01T15:15:00Z,"KO",2022-03-01T15:15:00Z,Buy,54.144630114,55.236219936,4,4.37,2,-2.56,6.53,7.21,1,"	5,26" 
2022-02-01T15:15:00Z,"RIO",2022-03-01T15:15:00Z,Buy,53.05591914,58.391234258,12,64.02,2,0,67.41,31.57,1,"	14,35" 
2022-02-01T15:15:00Z,"DE",2022-03-01T21:00:00Z,Buy,356.5386894,342.19757421,18,-258.14,2,-662.91,323.95,986.87,0,"	12,16" 
2022-02-01T15:15:00Z,"QCOM",2022-03-16T14:30:00Z,Buy,160.723046536,132.422375547,41,-1160.33,2,-1270.26,466.4,1736.67,0,"	9,37" 
2022-02-01T15:15:00Z,"PG",2022-03-16T14:30:00Z,Buy,144.90990163,135.707409435,46,-423.31,2,-716.19,152.88,869.06,0,"	11,39" 
2022-02-01T15:15:00Z,"KO",2022-03-16T14:30:00Z,Buy,54.144630114,53.316067376,119,-98.6,1,-330.56,194.32,524.88,0,"	5,40" 
2022-02-01T15:15:00Z,"PFE",2022-03-16T14:30:00Z,Buy,42.531472347,42.160300325,156,-57.9,2,-876.1,146.02,1022.11,0,"	4,44" 
2022-02-01T15:15:00Z,"RIO",2022-03-16T14:30:00Z,Buy,53.05591914,54.703429616,113,186.17,1,0,1058,871.83,1,"	14,45" 
2022-02-01T15:15:00Z,"ABBV",2022-04-01T14:15:00Z,Buy,118.26805269,140.11864373,51,1114.38,1,0,1186.67,150.32,1,"	2,51" 
2022-02-01T15:15:00Z,"BRK.B",2022-04-01T14:15:00Z,Buy,312.95,352.91,20,799.2,1,-89.6,931.2,274.6,1,"	3,52" 
2022-03-01T15:15:00Z,"WFC",2022-03-16T14:30:00Z,Buy,48.165875982,45.258224676,137,-398.35,2,-931.54,0,931.54,0,"	23,36" 
2022-03-01T15:15:00Z,"QCOM",2022-03-16T14:30:00Z,Buy,157.275584739,132.422375547,1,-24.85,1,-27.53,14.82,27.53,0,"	32,37" 
2022-03-01T15:15:00Z,"XOM",2022-03-16T14:30:00Z,Buy,68.324678411,67.322594746,96,-96.2,2,-96.2,782.98,879.18,0,"	33,38" 
2022-03-01T15:15:00Z,"PG",2022-03-16T14:30:00Z,Buy,140.764716235,135.707409435,1,-5.06,1,-11.42,7.47,11.42,0,"	34,39" 
2022-03-01T15:15:00Z,"NVDA",2022-03-16T14:30:00Z,Buy,24.3369981275,22.9316853568,272,-382.25,2.72,-828.34,0,828.34,0,"	28,41" 
2022-03-01T15:15:00Z,"RTX",2022-03-16T14:30:00Z,Buy,93.99973869,89.350092414,70,-325.48,2,-502.95,1.92,504.87,0,"	29,42" 
2022-03-01T15:15:00Z,"UNP",2022-03-16T14:30:00Z,Buy,224.05459639,236.972238906,29,374.61,2,-92.99,493.49,294.83,1,"	30,43" 
2022-03-01T15:15:00Z,"PFE",2022-03-16T14:30:00Z,Buy,37.867615201,42.160300325,18,77.27,1,-17.14,100.8,17.57,1,"	25,44" 
2022-03-01T15:15:00Z,"COP",2022-04-01T14:15:00Z,Buy,80.577157464,85.19708,82,378.83,2,-2.79,880.42,501.59,1,"	27,55" 
2022-03-01T15:15:00Z,"CVX",2022-04-01T14:15:00Z,Buy,122.6215008,138.638934342,53,848.92,2,0,1210.88,590.77,1,"	31,59" 
2022-03-16T14:30:00Z,"ABBV",2022-04-01T14:15:00Z,Buy,134.73378684,140.11864373,47,253.09,1,-773.89,319.71,66.62,1,"	46,51" 
2022-03-16T14:30:00Z,"BRK.B",2022-04-01T14:15:00Z,Buy,332.59,352.91,20,406.4,1,-482.4,538.4,132,1,"	47,52" 
2022-03-16T14:30:00Z,"COP",2022-04-01T14:15:00Z,Buy,80.73854962,85.19708,83,370.06,1,-16.22,877.76,507.7,1,"	48,55" 
2022-03-16T14:30:00Z,"CVX",2022-04-01T14:15:00Z,Buy,134.79849706,138.638934342,44,168.98,1,-535.79,469.47,243.54,1,"	49,59" 
2022-03-16T14:30:00Z,"BRK.B",2022-04-27T14:30:00Z,Buy,332.59,330.55,19,-38.76,1,-458.28,511.48,550.24,0,"	47,65" 
