Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-04T20:45:00Z,"QCOM",2016-01-05T14:31:00Z,Buy,37.453133504,37.663038976,534,112.09,5.34,0,112.09,56.04,1,"	2,6" 
2016-01-04T20:45:00Z,"NVDA",2016-01-05T14:31:00Z,Buy,0.78585876855,0.799761297975,25449,353.81,201.79326093263,0,360.01,31.04,1,"	4,7" 
2016-01-04T20:45:00Z,"AMD",2016-01-05T14:31:00Z,Buy,2.78,2.78,7194,0,71.94,-71.94,0,71.94,0,"	1,8" 
2016-01-04T20:45:00Z,"AVGO",2016-01-05T14:31:00Z,Buy,10.9786344836,11.035225383,1821,103.05,18.21,0,115.76,39.53,1,"	5,9" 
2016-01-04T20:45:00Z,"AMZN",2016-01-05T14:31:00Z,Buy,31.433583405,32.129945897,636,442.89,6.36,0,442.89,19.67,1,"	3,10" 
2016-01-05T20:45:00Z,"QCOM",2016-01-06T14:31:00Z,Buy,36.868396832,36.328639904,546,-294.71,5.46,-294.71,24.56,319.27,0,"	11,16" 
2016-01-05T20:45:00Z,"NVDA",2016-01-06T14:31:00Z,Buy,0.806102802625,0.788053904775,24994,-451.11,199.22176372378,-451.11,0,451.11,0,"	12,17" 
2016-01-05T20:45:00Z,"XOM",2016-01-06T14:31:00Z,Buy,49.968483375,49.442836725,403,-211.84,4.03,-211.84,43.92,255.75,0,"	14,18" 
2016-01-05T20:45:00Z,"GOOGL",2016-01-06T14:31:00Z,Buy,37.9255472692,37.1147484802,531,-430.53,5.31,-430.53,0,430.53,0,"	13,19" 
2016-01-05T20:45:00Z,"MSFT",2016-01-06T14:31:00Z,Buy,48.276058842,47.428650643,417,-353.37,4.17,-353.37,0,353.37,0,"	15,20" 
2016-01-06T20:45:00Z,"QCOM",2016-01-07T14:31:00Z,Buy,36.441089264,35.75889648,541,-369.07,5.41,-369.07,12.17,381.23,0,"	25,26" 
2016-01-06T20:45:00Z,"NVDA",2016-01-07T14:31:00Z,Buy,0.7697611029,0.739273099775,25656,-782.2,193.57890751915,-782.2,0,782.2,0,"	22,27" 
2016-01-06T20:45:00Z,"CVX",2016-01-07T14:31:00Z,Buy,55.386839005,54.57982713,356,-287.3,3.56,-287.3,91.93,379.23,0,"	24,28" 
2016-01-06T20:45:00Z,"XOM",2016-01-07T14:31:00Z,Buy,49.65437745,49.1543721,397,-198.5,3.97,-198.5,2.54,201.05,0,"	23,29" 
2016-01-06T20:45:00Z,"COP",2016-01-07T14:31:00Z,Buy,32.662747152,32.029078336,604,-382.74,6.04,-382.74,8.7,391.43,0,"	21,30" 
2016-01-07T20:45:00Z,"NVDA",2016-01-08T14:31:00Z,Buy,0.7375657716,0.74390727625,26171,165.96,193.8900717376,0,172.35,63.83,1,"	35,36" 
