Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-05T13:28:00Z,NVDA,0.80443900805,5066,Market On Open,Filled,4075.2880147813,"" 
2016-01-05T15:05:00Z,MCD,92.170832662,43,Market,Filled,3963.345804466,"" 
2016-01-06T12:20:00Z,ORCL,30.56318185,130,Market On Open,Filled,3973.2136405,"" 
2016-01-06T13:24:00Z,LMT,166.767424116,23,Market On Open,Filled,3835.650754668,"" 
2016-01-06T23:06:00Z,MSFT,46.179708318,84,Market On Open,Filled,3879.095498712,"" 
2016-01-07T14:17:00Z,JPM,46.95108184,83,Market On Open,Filled,3896.93979272,"" 
2016-01-08T15:30:00Z,NVDA,0.7385813573,-5066,Market,Filled,-3741.6531560818,"Liquidated" 
2016-01-08T15:30:00Z,MSFT,45.680610219,-84,Market,Filled,-3837.171258396,"Liquidated" 
2016-01-08T15:30:00Z,JPM,46.086998412,-83,Market,Filled,-3825.220868196,"Liquidated" 
2016-01-08T20:50:00Z,MCD,90.665746774,-43,Market,Filled,-3898.627111282,"Liquidated" 
2016-01-11T20:50:00Z,ORCL,29.831387355,-130,Market,Filled,-3878.08035615,"Liquidated" 
2016-01-11T20:50:00Z,LMT,163.000744932,-23,Market,Filled,-3749.017133436,"Liquidated" 
2016-01-11T22:21:00Z,AAPL,22.62880799075,178,Market On Open,Filled,4027.9278223535,"" 
2016-01-11T22:21:00Z,META,98.352979328,41,Market On Open,Filled,4032.472152448,"" 
2016-01-11T22:21:00Z,JPM,45.4981982,88,Market On Open,Filled,4003.8414416,"" 
2016-01-12T03:47:57Z,KO,30.833253334,130,Market On Open,Filled,4008.32293342,"" 
2016-01-12T03:52:14Z,NVDA,0.736873936725,5484,Market On Open,Filled,4041.0166689999,"" 
2016-01-12T03:52:14Z,AMD,2.38,1696,Market On Open,Filled,4036.48,"" 
2016-01-12T04:42:21Z,NKE,53.1625398,75,Market On Open,Filled,3987.190485,"" 
2016-01-12T12:27:09Z,XOM,47.823568372,83,Market On Open,Filled,3969.356174876,"" 
2016-01-12T12:27:09Z,CVX,53.581723969,75,Market On Open,Filled,4018.629297675,"" 
2016-01-12T14:42:28Z,NFLX,11.497,345,Market,Filled,3966.465,"" 
2016-01-12T22:10:13Z,GE,127.23901580819,31,Market On Open,Filled,3944.4094900538,"" 
2016-01-12T22:10:13Z,LMT,167.862210952,23,Market On Open,Filled,3860.830851896,"" 
2016-01-12T22:11:53Z,AMZN,30.971170776,128,Market On Open,Filled,3964.309859328,"" 
2016-01-13T17:21:21Z,BLK,244.452969495,16,Market,Filled,3911.24751192,"" 
2016-01-14T00:00:27Z,ISRG,61.0321556971,64,Market On Open,Filled,3906.0579646144,"" 
2016-01-14T00:04:36Z,QCOM,34.864312855,112,Market On Open,Filled,3904.80303976,"" 
