Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-03T10:11:55Z,MS,42.158756874,93,Market On Open,Filled,3920.764389282,"" 
2020-01-03T10:18:40Z,BLK,433.917960576,9,Market On Open,Filled,3905.261645184,"" 
2020-01-03T11:35:10Z,AAPL,71.49069022875,55,Market On Open,Filled,3931.9879625813,"" 
2020-01-03T13:56:52Z,JPM,116.58208904,33,Market On Open,Filled,3847.20893832,"" 
2020-01-03T14:39:01Z,KO,45.745103196,87,Market,Filled,3979.823978052,"" 
2020-01-03T14:55:37Z,XOM,53.30629971,75,Market,Filled,3997.97247825,"" 
2020-01-03T19:19:24Z,MSFT,152.155872108,26,Market,Filled,3956.052674808,"" 
2020-01-03T19:19:24Z,PG,105.531778415,37,Market,Filled,3904.675801355,"" 
2020-01-05T15:19:27Z,GOOGL,67.051382558,59,Market On Open,Filled,3956.031570922,"" 
2020-01-06T10:20:37Z,GS,199.37598188,19,Market On Open,Filled,3788.14365572,"" 
2020-01-06T12:57:50Z,TMO,314.909122672,12,Market On Open,Filled,3778.909472064,"" 
2020-01-06T14:48:57Z,V,181.35537672,22,Market,Filled,3989.81828784,"" 
2020-01-06T14:48:57Z,MA,290.485887172,13,Market,Filled,3776.316533236,"" 
2020-01-06T14:48:57Z,COP,51.63778881,77,Market,Filled,3976.10973837,"" 
2020-01-06T20:50:00Z,MS,42.14229504,-93,Market,Filled,-3919.23343872,"Liquidated" 
2020-01-06T20:50:00Z,BLK,435.517953056,-9,Market,Filled,-3919.661577504,"Liquidated" 
2020-01-06T20:50:00Z,AAPL,71.60625019275,-55,Market,Filled,-3938.3437606012,"Liquidated" 
2020-01-06T20:50:00Z,JPM,117.465158032,-33,Market,Filled,-3876.350215056,"Liquidated" 
2020-01-06T20:50:00Z,KO,45.495539076,-87,Market,Filled,-3958.111899612,"Liquidated" 
2020-01-06T20:50:00Z,XOM,52.862707089,-75,Market,Filled,-3964.703031675,"Liquidated" 
