Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2020-01-03T14:39:01Z,"KO",2020-01-06T20:50:00Z,Buy,45.745103196,45.495539076,87,-21.71,2,21.71,0,"	5,19" 
2020-01-03T14:55:37Z,"XOM",2020-01-06T20:50:00Z,Buy,53.30629971,52.862707089,75,-33.27,2,33.27,0,"	6,20" 
2020-01-03T19:19:24Z,"MSFT",2020-01-08T20:50:00Z,Buy,152.155872108,149.276069772,26,-74.87,2,74.87,0,"	7,29" 
2020-01-03T19:19:24Z,"PG",2020-01-08T20:50:00Z,Buy,105.531778415,104.334594315,37,-44.3,2,44.3,0,"	8,30" 
2020-01-03T21:00:00Z,"MS",2020-01-06T20:50:00Z,Buy,42.158756874,42.14229504,93,-1.53,2,1.53,0,"	1,15" 
2020-01-03T21:00:00Z,"BLK",2020-01-06T20:50:00Z,Buy,433.917960576,435.517953056,9,14.4,2,0,1,"	2,16" 
2020-01-03T21:00:00Z,"AAPL",2020-01-06T20:50:00Z,Buy,71.49069022875,71.60625019275,55,6.36,2,0,1,"	3,17" 
2020-01-03T21:00:00Z,"JPM",2020-01-06T20:50:00Z,Buy,116.58208904,117.465158032,33,29.14,2,0,1,"	4,18" 
2020-01-06T14:48:57Z,"V",2020-01-09T20:50:00Z,Buy,181.35537672,183.574493144,22,48.82,2,19.15,1,"	12,41" 
2020-01-06T14:48:57Z,"MA",2020-01-09T20:50:00Z,Buy,290.485887172,295.39489104,13,63.82,2,12.07,1,"	13,42" 
2020-01-06T14:48:57Z,"COP",2020-01-09T20:50:00Z,Buy,51.63778881,51.040456702,77,-45.99,2,93.2,0,"	14,43" 
2020-01-06T21:00:00Z,"GOOGL",2020-01-08T20:50:00Z,Buy,67.051382558,69.2324035055,59,128.68,2,7.91,1,"	9,31" 
2020-01-06T21:00:00Z,"GS",2020-01-09T20:50:00Z,Buy,199.37598188,206.16550016,19,129,2,0,1,"	10,39" 
2020-01-06T21:00:00Z,"TMO",2020-01-09T20:50:00Z,Buy,314.909122672,322.45103075,12,90.5,2,0,1,"	11,40" 
2020-01-07T15:16:20Z,"SQ",2020-01-10T20:50:00Z,Buy,62.57,67.92,64,342.4,2,0,1,"	25,52" 
2020-01-07T21:00:00Z,"MS",2020-01-10T20:50:00Z,Buy,42.010600368,42.858384819,95,80.54,2,9.38,1,"	21,48" 
2020-01-07T21:00:00Z,"JPM",2020-01-10T20:50:00Z,Buy,116.726436856,116.700963712,34,-0.87,2,45.9,0,"	22,49" 
2020-01-07T21:00:00Z,"PYPL",2020-01-10T20:50:00Z,Buy,111.2428364,112.310368552,36,38.43,2,65.73,1,"	23,50" 
2020-01-07T21:00:00Z,"BLK",2020-01-10T20:50:00Z,Buy,435.8898432,443.76007648,9,70.83,2,0.93,1,"	24,51" 
2020-01-08T21:00:00Z,"CAT",2020-01-13T20:50:00Z,Buy,129.302095335,128.685658185,31,-19.11,2,42.31,0,"	26,59" 
2020-01-08T21:00:00Z,"MCD",2020-01-13T20:50:00Z,Buy,176.357570796,180.404864766,22,89.04,2,20.68,1,"	27,60" 
2020-01-08T21:00:00Z,"UNH",2020-01-13T20:50:00Z,Buy,264.33561055,267.627337021,15,49.38,2,22.85,1,"	28,61" 
2020-01-09T21:00:00Z,"KO",2020-01-13T20:50:00Z,Buy,45.753422,46.194318612,89,39.24,2,0,1,"	32,62" 
2020-01-09T21:00:00Z,"LMT",2020-01-13T20:50:00Z,Buy,348.836782842,351.581655576,11,30.19,2,11.31,1,"	33,63" 
2020-01-09T21:00:00Z,"AAPL",2020-01-13T20:50:00Z,Buy,73.97041445625,74.71192422525,55,40.78,2,0,1,"	34,64" 
2020-01-09T21:00:00Z,"MSFT",2020-01-13T20:50:00Z,Buy,153.311582256,152.837930556,26,-12.31,2,18.47,0,"	35,65" 
