Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-01-04T00:35:06Z,AMD,151,26,Market On Open,Filled,3926,"" 
2022-01-04T00:35:06Z,QCOM,171.0014207,23,Market On Open,Filled,3933.0326761,"" 
2022-01-04T00:35:06Z,JPM,147.457038528,27,Market On Open,Filled,3981.340040256,"" 
2022-01-04T00:35:06Z,GS,363.450523024,11,Market On Open,Filled,3997.955753264,"" 
2022-01-04T00:35:06Z,PYPL,195.5479456,20,Market On Open,Filled,3910.958912,"" 
2022-01-04T07:10:43Z,AVGO,61.4447113056,65,Market On Open,Filled,3993.906234864,"" 
2022-01-04T07:11:58Z,BLK,830.055990036,4,Market On Open,Filled,3320.223960144,"" 
2022-01-04T07:41:37Z,MS,88.5428952,45,Market On Open,Filled,3984.430284,"" 
2022-01-04T10:13:05Z,GE,60.532314950795,68,Market On Open,Filled,4116.1974166541,"" 
2022-01-04T10:29:38Z,KO,53.07078972,76,Market On Open,Filled,4033.38001872,"" 
2022-01-04T11:59:06Z,LLY,258.7124447,15,Market On Open,Filled,3880.6866705,"" 
2022-01-04T12:20:08Z,PEP,152.310965774,26,Market On Open,Filled,3960.085110124,"" 
2022-01-04T18:04:33Z,CVX,100.507731716,39,Market,Filled,3919.801536924,"" 
2022-01-05T11:40:34Z,ABBV,115.81298708,34,Market On Open,Filled,3937.64156072,"" 
2022-01-05T12:25:27Z,UNH,462.460381029,8,Market On Open,Filled,3699.683048232,"" 
2022-01-05T13:26:54Z,AAPL,175.533607362,22,Market On Open,Filled,3861.739361964,"" 
2022-01-05T13:26:54Z,GOOGL,143.33699442,27,Market On Open,Filled,3870.09884934,"" 
2022-01-05T15:30:00Z,AMD,144.42,-26,Market,Filled,-3754.92,"Liquidated" 
2022-01-06T11:20:33Z,COST,520.03396128,7,Market On Open,Filled,3640.23772896,"" 
2022-01-06T13:03:19Z,MSFT,301.80643677,12,Market On Open,Filled,3621.67724124,"" 
2022-01-06T15:30:00Z,PYPL,186.728334176,-20,Market,Filled,-3734.56668352,"Liquidated" 
2022-01-06T15:30:00Z,AVGO,59.56242744,-65,Market,Filled,-3871.5577836,"Liquidated" 
2022-01-06T15:30:00Z,LLY,250.566368839,-15,Market,Filled,-3758.495532585,"Liquidated" 
2022-01-06T15:30:00Z,GOOGL,136.741825275,-27,Market,Filled,-3692.029282425,"Liquidated" 
2022-01-06T15:42:39Z,META,321.921297544,12,Market,Filled,3863.055570528,"" 
2022-01-07T11:49:51Z,HON,183.65142269055,21,Market On Open,Filled,3856.6798765015,"" 
2022-01-07T15:30:00Z,UNH,438.980774805,-8,Market,Filled,-3511.84619844,"Liquidated" 
2022-01-07T15:30:00Z,AAPL,168.0963224,-22,Market,Filled,-3698.1190928,"Liquidated" 
2022-01-07T20:50:00Z,BLK,809.949481887,-4,Market,Filled,-3239.797927548,"Liquidated" 
2022-01-07T20:50:00Z,MS,89.75818984,-45,Market,Filled,-4039.1185428,"Liquidated" 
2022-01-07T20:50:00Z,GE,61.063836085304,-68,Market,Filled,-4152.3408538007,"Liquidated" 
2022-01-07T20:50:00Z,KO,53.665395558,-76,Market,Filled,-4078.570062408,"Liquidated" 
2022-01-07T20:50:00Z,PEP,153.369538454,-26,Market,Filled,-3987.607999804,"Liquidated" 
2022-01-07T20:50:00Z,CVX,103.870068008,-39,Market,Filled,-4050.932652312,"Liquidated" 
2022-01-07T21:05:46Z,BLK,803.80808781,4,Market On Open,Filled,3215.23235124,"" 
2022-01-07T21:55:26Z,MS,90.904039072,43,Market On Open,Filled,3908.873680096,"" 
2022-01-09T11:20:37Z,HD,350.14230862,11,Market On Open,Filled,3851.56539482,"" 
2022-01-10T08:30:29Z,ISRG,321.18,12,Market On Open,Filled,3854.16,"" 
2022-01-10T11:59:58Z,AXP,168.260550165,23,Market On Open,Filled,3869.992653795,"" 
2022-01-10T13:39:01Z,LMT,325.9799169,12,Market On Open,Filled,3911.7590028,"" 
2022-01-10T15:30:00Z,QCOM,164.975220901,-23,Market,Filled,-3794.430080723,"Liquidated" 
2022-01-10T18:08:35Z,AAPL,168.262464114,23,Market,Filled,3870.036674622,"" 
2022-01-10T20:50:00Z,JPM,150.721301724,-27,Market,Filled,-4069.475146548,"Liquidated" 
2022-01-10T20:50:00Z,GS,359.185583888,-11,Market,Filled,-3951.041422768,"Liquidated" 
2022-01-10T20:50:00Z,ABBV,115.38525408,-34,Market,Filled,-3923.09863872,"Liquidated" 
2022-01-10T20:50:00Z,COST,510.493975392,-7,Market,Filled,-3573.457827744,"Liquidated" 
2022-01-10T20:50:00Z,MSFT,303.16762116,-12,Market,Filled,-3638.01145392,"Liquidated" 
2022-01-10T20:50:00Z,META,329.488439128,-12,Market,Filled,-3953.861269536,"Liquidated" 
2022-01-10T20:50:00Z,HON,186.75917007428,-21,Market,Filled,-3921.9425715599,"Liquidated" 
2022-01-11T07:10:50Z,JPM,151.722143103,26,Market On Open,Filled,3944.775720678,"" 
2022-01-11T08:11:37Z,GS,361.6614172,10,Market On Open,Filled,3616.614172,"" 
2022-01-11T11:34:55Z,UNH,436.69076544,9,Market On Open,Filled,3930.21688896,"" 
2022-01-11T12:16:57Z,MA,355.591268213,11,Market On Open,Filled,3911.503950343,"" 
2022-01-11T13:23:42Z,AMZN,161.121121,24,Market On Open,Filled,3866.906904,"" 
2022-01-11T14:26:26Z,AMD,133.4,29,Market On Open,Filled,3868.6,"" 
2022-01-11T17:24:44Z,AVGO,57.5393428128,68,Market,Filled,3912.6753112704,"" 
2022-01-11T21:21:13Z,META,332.676172,11,Market On Open,Filled,3659.437892,"" 
2022-01-12T11:48:37Z,COP,70.9952124,56,Market On Open,Filled,3975.7318944,"" 
2022-01-12T12:05:58Z,MSFT,308.87301105,13,Market On Open,Filled,4015.34914365,"" 
2022-01-12T12:33:03Z,CAT,205.712906292,19,Market On Open,Filled,3908.545219548,"" 
2022-01-12T20:50:00Z,HD,349.482515421,-11,Market,Filled,-3844.307669631,"Liquidated" 
2022-01-12T21:17:26Z,PG,143.31444728,27,Market On Open,Filled,3869.49007656,"" 
2022-01-12T22:23:20Z,DIS,154.3647992,25,Market On Open,Filled,3859.11998,"" 
2022-01-12T22:23:20Z,CMCSA,39.568457070352,99,Market On Open,Filled,3917.2772499648,"" 
2022-01-13T20:50:00Z,BLK,800.561017893,-4,Market,Filled,-3202.244071572,"Liquidated" 
2022-01-13T20:50:00Z,MS,89.445685504,-43,Market,Filled,-3846.164476672,"Liquidated" 
2022-01-13T20:50:00Z,ISRG,323.16,-12,Market,Filled,-3877.92,"Liquidated" 
2022-01-13T20:50:00Z,AXP,166.70408517,-23,Market,Filled,-3834.19395891,"Liquidated" 
2022-01-13T20:50:00Z,LMT,324.435328864,-12,Market,Filled,-3893.223946368,"Liquidated" 
2022-01-13T21:07:16Z,NFLX,51.76,75,Market On Open,Filled,3882,"" 
2022-01-13T21:07:21Z,ISRG,310.39,12,Market On Open,Filled,3724.68,"" 
2022-01-13T22:15:09Z,MS,86.667869184,44,Market On Open,Filled,3813.386244096,"" 
2022-01-14T11:51:40Z,BLK,764.2824735,5,Market On Open,Filled,3821.4123675,"" 
2022-01-14T12:27:51Z,CVX,106.920608704,36,Market On Open,Filled,3849.141913344,"" 
2022-01-14T15:30:00Z,AVGO,55.3189518552,-68,Market,Filled,-3761.6887261536,"Liquidated" 
2022-01-14T15:30:00Z,MSFT,294.2475192,-13,Market,Filled,-3825.2177496,"Liquidated" 
2022-01-14T20:50:00Z,JPM,151.686076747,-26,Market,Filled,-3943.837995422,"Liquidated" 
2022-01-14T20:50:00Z,GS,353.12250304,-10,Market,Filled,-3531.2250304,"Liquidated" 
2022-01-14T20:50:00Z,UNH,436.905745911,-9,Market,Filled,-3932.151713199,"Liquidated" 
2022-01-14T20:50:00Z,MA,361.450459192,-11,Market,Filled,-3975.955051112,"Liquidated" 
2022-01-14T20:50:00Z,AMZN,160.835791956,-24,Market,Filled,-3860.059006944,"Liquidated" 
2022-01-14T20:50:00Z,AMD,132.74,-29,Market,Filled,-3849.46,"Liquidated" 
2022-01-15T07:10:06Z,JPM,140.225992128,27,Market On Open,Filled,3786.101787456,"" 
2022-01-15T11:17:35Z,GS,325.291968,11,Market On Open,Filled,3578.211648,"" 
2022-01-15T12:46:13Z,QCOM,169.968096607,22,Market On Open,Filled,3739.298125354,"" 
2022-01-17T15:46:09Z,AXP,160.334992215,24,Market On Open,Filled,3848.03981316,"" 
2022-01-18T14:21:10Z,GOOGL,135.153823675,28,Market On Open,Filled,3784.3070629,"" 
2022-01-18T15:30:00Z,DIS,148.424685408,-25,Market,Filled,-3710.6171352,"Liquidated" 
2022-01-18T15:30:00Z,MS,85.825843612,-44,Market,Filled,-3776.337118928,"Liquidated" 
2022-01-18T20:50:00Z,AAPL,169.142037894,-23,Market,Filled,-3890.266871562,"Liquidated" 
2022-01-18T20:50:00Z,META,329.59767608,-11,Market,Filled,-3625.57443688,"Liquidated" 
2022-01-18T20:50:00Z,COP,73.311008614,-56,Market,Filled,-4105.416482384,"Liquidated" 
2022-01-18T20:50:00Z,CAT,212.029140854,-19,Market,Filled,-4028.553676226,"Liquidated" 
2022-01-18T20:50:00Z,PG,143.547990096,-27,Market,Filled,-3875.795732592,"Liquidated" 
2022-01-18T20:50:00Z,CMCSA,40.253894909365,-99,Market,Filled,-3985.1355960272,"Liquidated" 
2022-01-18T20:50:00Z,CVX,108.66497866,-36,Market,Filled,-3911.93923176,"Liquidated" 
2022-01-18T21:09:31Z,MS,85.079305476,47,Market On Open,Filled,3998.727357372,"" 
2022-01-19T08:02:10Z,GS,323.792010592,12,Market On Open,Filled,3885.504127104,"" 
2022-01-19T11:12:23Z,UNH,437.980648266,9,Market On Open,Filled,3941.825834394,"" 
2022-01-19T12:12:39Z,PG,141.571858576,27,Market On Open,Filled,3822.440181552,"" 
2022-01-19T15:30:00Z,ISRG,295.49,-12,Market,Filled,-3545.88,"Liquidated" 
2022-01-19T15:30:00Z,BLK,752.5242816,-5,Market,Filled,-3762.621408,"Liquidated" 
2022-01-19T15:30:00Z,JPM,136.393941803,-27,Market,Filled,-3682.636428681,"Liquidated" 
2022-01-19T15:44:30Z,BLK,752.5242816,5,Market,Filled,3762.621408,"" 
2022-01-19T15:45:54Z,JPM,136.393941803,28,Market,Filled,3819.030370484,"" 
2022-01-19T20:50:00Z,NFLX,51.08,-75,Market,Filled,-3831,"Liquidated" 
2022-01-19T21:10:58Z,ABT,116.941502448,33,Market On Open,Filled,3859.069580784,"" 
2022-01-20T06:15:33Z,AMD,126.01,30,Market On Open,Filled,3780.3,"" 
2022-01-20T08:45:43Z,AAPL,163.06320577,23,Market On Open,Filled,3750.45373271,"" 
2022-01-20T14:24:22Z,V,208.38140952,18,Market On Open,Filled,3750.86537136,"" 
2022-01-20T14:55:54Z,CAT,206.28300248,18,Market,Filled,3713.09404464,"" 
2022-01-20T14:55:54Z,CVX,108.656551752,35,Market,Filled,3802.97931132,"" 
2022-01-20T15:30:00Z,AXP,154.109132235,-24,Market,Filled,-3698.61917364,"Liquidated" 
2022-01-20T15:30:00Z,GOOGL,134.1032613665,-28,Market,Filled,-3754.891318262,"Liquidated" 
2022-01-20T17:31:21Z,NVDA,25.0176556105,155,Market,Filled,3877.7366196275,"" 
2022-01-20T17:42:26Z,ABBV,116.86781703,33,Market,Filled,3856.63796199,"" 
2022-01-20T21:07:51Z,MCD,231.936885922,16,Market On Open,Filled,3710.990174752,"" 
2022-01-20T21:09:05Z,CMCSA,39.256894416254,99,Market On Open,Filled,3886.4325472092,"" 
2022-01-20T21:31:20Z,ISRG,273.62,13,Market On Open,Filled,3557.06,"" 
2022-01-20T21:51:18Z,MA,354.622887734,10,Market On Open,Filled,3546.22887734,"" 
2022-01-20T23:23:49Z,AXP,152.734095675,25,Market On Open,Filled,3818.352391875,"" 
2022-01-21T02:47:05Z,NFLX,39.999,76,Market On Open,Filled,3039.924,"" 
2022-01-21T15:30:00Z,AMD,121.89,-30,Market,Filled,-3656.7,"Liquidated" 
2022-01-21T15:30:00Z,NVDA,24.102460725,-155,Market,Filled,-3735.881412375,"Liquidated" 
2022-01-21T17:28:32Z,GOOGL,132.3078270575,29,Market,Filled,3836.9269846675,"" 
2022-01-21T18:52:37Z,DIS,144.184538392,26,Market,Filled,3748.797998192,"" 
2022-01-24T15:30:00Z,BLK,724.413158196,-5,Market,Filled,-3622.06579098,"Liquidated" 
2022-01-24T15:30:00Z,JPM,130.812673212,-28,Market,Filled,-3662.754849936,"Liquidated" 
2022-01-24T15:30:00Z,V,199.405128543,-18,Market,Filled,-3589.292313774,"Liquidated" 
2022-01-24T15:30:00Z,CAT,199.23814852,-18,Market,Filled,-3586.28667336,"Liquidated" 
2022-01-24T15:30:00Z,ISRG,269.53,-13,Market,Filled,-3503.89,"Liquidated" 
2022-01-24T15:30:00Z,NFLX,39.75,-76,Market,Filled,-3021,"Liquidated" 
2022-01-24T15:30:00Z,DIS,134.199676064,-26,Market,Filled,-3489.191577664,"Liquidated" 
2022-01-24T18:10:17Z,JPM,130.812673212,29,Market,Filled,3793.567523148,"" 
2022-01-24T20:50:00Z,MS,85.834524288,-47,Market,Filled,-4034.222641536,"Liquidated" 
2022-01-24T20:50:00Z,GS,310.753224208,-23,Market,Filled,-7147.324156784,"Liquidated" 
2022-01-24T20:50:00Z,UNH,431.054538309,-9,Market,Filled,-3879.490844781,"Liquidated" 
2022-01-24T20:50:00Z,PG,146.851546205,-27,Market,Filled,-3964.991747535,"Liquidated" 
2022-01-24T20:50:00Z,AAPL,158.723975122,-23,Market,Filled,-3650.651427806,"Liquidated" 
2022-01-24T20:50:00Z,ABBV,114.07598914,-33,Market,Filled,-3764.50764162,"Liquidated" 
2022-01-24T21:25:19Z,GE,55.656983165295,64,Market On Open,Filled,3562.0469225789,"" 
2022-01-25T03:12:36Z,MS,83.837968808,44,Market On Open,Filled,3688.870627552,"" 
2022-01-25T06:56:47Z,GS,305.286511968,12,Market On Open,Filled,3663.438143616,"" 
2022-01-25T07:26:47Z,BLK,700.073700963,5,Market On Open,Filled,3500.368504815,"" 
2022-01-25T11:06:59Z,COP,70.251453032,54,Market On Open,Filled,3793.578463728,"" 
2022-01-25T11:37:35Z,MSFT,281.37901713,13,Market On Open,Filled,3657.92722269,"" 
2022-01-25T11:50:32Z,UNH,424.418184639,8,Market On Open,Filled,3395.345477112,"" 
2022-01-25T12:11:17Z,RTX,77.763007595,47,Market On Open,Filled,3654.861356965,"" 
